region_id,year,composite_index,shock,distribution,income,distortion,structural
BAHRAICH_UTTAR PRADESH,2016.0,0.5167286991171413,0.6734887049693082,0.8116042985790864,0.7,0.2631578947368421,0.1353925973004694
BAHRAICH_UTTAR PRADESH,2017.0,0.4947996643969582,0.6734887049693082,0.7794480908187691,0.6,0.2894736842105262,0.1315878419861874
BAHRAICH_UTTAR PRADESH,2018.0,0.5024683177963172,0.6734887049693082,0.7441245910581863,0.65,0.2894736842105262,0.1552546087435652
BAHRAICH_UTTAR PRADESH,2019.0,0.5179859865341369,0.6734887049693082,0.7430834820419396,0.65,0.3421052631578947,0.1812524825015419
BAHRAICH_UTTAR PRADESH,2020.0,0.4930546634410129,0.6734887049693082,0.71766061688543,0.55,0.3421052631578947,0.1820187321924312
BAHRAICH_UTTAR PRADESH,2021.0,0.5018532920311984,0.6734887049693082,0.6955742698527104,0.65,0.2894736842105262,0.2007298011234474
BAHRAICH_UTTAR PRADESH,2022.0,0.4667141980213336,0.6734887049693082,0.600991808288652,0.5,0.3421052631578947,0.216985213690813
BAHRAICH_UTTAR PRADESH,2023.0,0.4353050257006743,0.6734887049693082,0.3953864811582008,0.3999999999999999,0.4210526315789473,0.2865973107969155
BAHRAICH_UTTAR PRADESH,2024.0,0.464962242839298,0.6734887049693082,0.4923483386481511,0.3,0.4210526315789473,0.4379215390000833
BALESHWAR_ODISHA,2015.0,0.5336221215668654,0.6734887049693082,0.9239302329789472,0.7,0.3421052631578947,0.0285864067281766
BALESHWAR_ODISHA,2016.0,0.4973996652014632,0.6734887049693082,0.9277508553552474,0.6,0.2368421052631578,0.0489166604196025
BALESHWAR_ODISHA,2017.0,0.5103058636695945,0.6734887049693082,0.8977253806933855,0.75,0.1842105263157894,0.046104706369489
BALESHWAR_ODISHA,2018.0,0.5277479300797883,0.6734887049693082,0.9128371521523064,0.8,0.1842105263157894,0.0682032669615367
BALESHWAR_ODISHA,2019.0,0.4995034276495183,0.6734887049693082,0.8274736508978539,0.65,0.2894736842105262,0.0570810981699032
BALESHWAR_ODISHA,2020.0,0.4983436086695758,0.6734887049693082,0.8114791346710744,0.65,0.2368421052631578,0.1199080984443385
BALESHWAR_ODISHA,2021.0,0.4965059231536387,0.6734887049693082,0.8142030542264179,0.6,0.2631578947368421,0.1316799618356251
BALESHWAR_ODISHA,2022.0,0.4877069970195391,0.6734887049693082,0.7432658428033236,0.55,0.3421052631578947,0.1296751741671695
BALESHWAR_ODISHA,2023.0,0.5111907056415715,0.6734887049693082,0.7584750442621676,0.6,0.3421052631578947,0.1818845158184873
BALESHWAR_ODISHA,2024.0,0.5611368456011763,0.6734887049693082,0.8772943575613665,0.9,0.1842105263157894,0.1706906391594171
BALLIA_UTTAR PRADESH,2015.0,0.476269660954087,0.8040920040547825,0.6734707907744272,0.6,0.1842105263157894,0.1195749836254358
BALLIA_UTTAR PRADESH,2016.0,0.4999917417061424,0.6734887049693082,0.799879475821827,0.6,0.2894736842105262,0.1371168435290506
BALLIA_UTTAR PRADESH,2017.0,0.5077722255809399,0.6734887049693082,0.7830499219516013,0.6,0.3421052631578947,0.140217237825895
BALLIA_UTTAR PRADESH,2018.0,0.5019295012377789,0.6734887049693082,0.7414498543885074,0.6,0.3421052631578947,0.1526036836731843
BALLIA_UTTAR PRADESH,2019.0,0.5163493384450588,0.6734887049693082,0.7881948101174849,0.7,0.2368421052631578,0.1832210718753428
BALLIA_UTTAR PRADESH,2020.0,0.5112201037324933,0.6734887049693082,0.7416894722081555,0.65,0.3421052631578947,0.148817078327108
BALLIA_UTTAR PRADESH,2021.0,0.5097233290872912,0.6734887049693082,0.8289253310638351,0.6,0.2631578947368421,0.1830447146664707
BALLIA_UTTAR PRADESH,2022.0,0.4941571131418808,0.6734887049693082,0.7389835055612154,0.65,0.2894736842105262,0.1188396709683539
BALLIA_UTTAR PRADESH,2023.0,0.4820788496606657,0.6734887049693082,0.6597639910689214,0.55,0.3421052631578947,0.1850362891072046
BALLIA_UTTAR PRADESH,2024.0,0.5124196344740322,0.6734887049693082,0.7557944294406572,0.6,0.2894736842105262,0.2433413537496693
BALRAMPUR_CHHATTISGARH,2015.0,0.3384751460611399,0.6734887049693082,0.0732420531925506,0.3,0.5263157894736842,0.1193291826701562
BALRAMPUR_CHHATTISGARH,2016.0,0.5395329989995388,0.4491277027833018,0.6735194794347701,0.3999999999999999,0.4999999999999999,0.6750178127796219
BALRAMPUR_CHHATTISGARH,2017.0,0.4303256722768137,0.2428701476438288,0.6735477707418376,0.0999999999999999,0.7368421052631579,0.3983683377352443
BALRAMPUR_CHHATTISGARH,2018.0,0.5172006953931457,0.6734887049693082,0.593921117712106,0.3999999999999999,0.3684210526315789,0.5501726016527355
BALRAMPUR_CHHATTISGARH,2019.0,0.4035178122192365,0.6734887049693082,0.2259832720427605,0.3,0.5263157894736842,0.29180129461043
BALRAMPUR_CHHATTISGARH,2020.0,0.4033790968523032,0.6734887049693082,0.1544897538849592,0.0999999999999999,0.5263157894736842,0.5626012359335643
BALRAMPUR_CHHATTISGARH,2021.0,0.4731061398285184,0.6734887049693082,0.2031377678026372,0.3999999999999999,0.4736842105263157,0.6152200158443314
BALRAMPUR_CHHATTISGARH,2022.0,0.4589091329656126,0.6734887049693082,0.3205889448467697,0.3,0.4210526315789473,0.5794153834330377
BALRAMPUR_CHHATTISGARH,2023.0,0.463662294679846,0.6734887049693082,0.3781665024028272,0.3,0.4736842105263157,0.4929720555007786
BALRAMPUR_CHHATTISGARH,2024.0,0.472710219089306,0.6734887049693082,0.4447302132635745,0.3999999999999999,0.3947368421052631,0.4505953351083843
BANDA_UTTAR PRADESH,2015.0,0.4643890756395423,0.7156403432592674,0.6734829232419846,0.45,0.3421052631578947,0.1407168485385649
BANDA_UTTAR PRADESH,2016.0,0.4958448574638129,0.6734887049693082,0.7640451883276418,0.55,0.2894736842105262,0.2022167098115881
BANDA_UTTAR PRADESH,2017.0,0.4795364682755931,0.7681418871523855,0.6734757218703848,0.5,0.2894736842105262,0.166591048144669
BANDA_UTTAR PRADESH,2018.0,0.5190798284649616,0.6734887049693082,0.768860849580882,0.7,0.2894736842105262,0.1635759035640917
BANDA_UTTAR PRADESH,2019.0,0.4714495750789892,0.6734887049693082,0.6812387344785414,0.55,0.2894736842105262,0.1630467517365701
