District,Year,Total Income
AURANGABAD,2020,13297.12658
AURANGABAD,2021,20372.28967
AURANGABAD,2022,18269.78693
AURANGABAD,2023,14642.61983
AURANGABAD,2024,23205.18068
AURANGABAD,2025,30535.33559
AZAMGARH,2014,9044.193605
AZAMGARH,2015,7350.021462
AZAMGARH,2016,4476.040127
AZAMGARH,2017,6688.571038
AZAMGARH,2018,12616.40179
AZAMGARH,2019,8955.045169
AZAMGARH,2020,9108.006101
AZAMGARH,2021,11413.03171
AZAMGARH,2022,11893.50693
AZAMGARH,2023,12223.26097
AZAMGARH,2024,16486.40563
AZAMGARH,2025,24117.34711
BADGAM,2017,22596.31583
BADGAM,2018,25491.03416
BADGAM,2019,6139.496013
BADGAM,2020,-99.0
BADGAM,2021,1403.599196
BADGAM,2022,6841.163627
BADGAM,2023,16259.65001
BADGAM,2024,26871.64659
BADGAM,2025,27560.43448
BAGALKOT,2017,16526.89305
BAGALKOT,2018,18748.81474
BAGALKOT,2019,8400.387615
BAGALKOT,2020,5038.317457
BAGALKOT,2021,9852.643286
BAGALKOT,2022,16585.88448
BAGALKOT,2023,10107.00799
BAGALKOT,2024,7788.119645
BAGALKOT,2025,6392.023052
BAGESHWAR,2017,5090.186834
BAGESHWAR,2018,10495.71911
BAGESHWAR,2019,10218.96794
BAGESHWAR,2020,1873.338618
BAGESHWAR,2021,12396.9311
BAGESHWAR,2022,7699.559604
BAGESHWAR,2023,3324.696721
BAGESHWAR,2024,4934.010845
BAGESHWAR,2025,13514.80018
BAHRAICH,2014,13297.09749
BAHRAICH,2015,12134.85259
BAHRAICH,2016,8041.495308
BAHRAICH,2017,9379.812736
BAHRAICH,2018,13641.14178
BAHRAICH,2019,14462.03249
BAHRAICH,2020,12941.47555
BAHRAICH,2021,13028.79319
BAHRAICH,2022,13655.7169
BAHRAICH,2023,16118.53434
BAHRAICH,2024,20152.94585
BAHRAICH,2025,19499.83335
BAKSA,2014,11719.69208
BAKSA,2015,14062.50721
BAKSA,2016,12279.32853
BAKSA,2017,13997.99142
BAKSA,2018,16221.6462
BAKSA,2019,18957.56579
BAKSA,2020,18635.7153
BAKSA,2021,6845.06307
BAKSA,2022,6117.513955
BAKSA,2023,3236.33374
BAKSA,2024,-99.0
BAKSA,2025,-99.0
BALAGHAT,2014,3397.644626
BALAGHAT,2015,5215.897184
BALAGHAT,2016,1777.228522
BALAGHAT,2017,3136.351239
BALAGHAT,2018,9710.408572
BALAGHAT,2019,11012.76692
BALAGHAT,2020,10677.48328
BALAGHAT,2021,9510.056294
BALAGHAT,2022,10527.10834
BALAGHAT,2023,6265.725929
BALAGHAT,2024,3038.544016
BALAGHAT,2025,1816.88667
BALANGIR,2014,4384.67475
BALANGIR,2015,5700.769769
BALANGIR,2016,6446.517016
BALANGIR,2017,5827.880699
BALANGIR,2018,6374.466567
BALANGIR,2019,6759.129179
BALANGIR,2020,2946.05882
BALANGIR,2021,3659.695774
BALANGIR,2022,3354.080475
BALANGIR,2023,5259.624661
BALANGIR,2024,11671.55237
BALANGIR,2025,10280.71736
BALESHWAR,2014,6028.239261
BALESHWAR,2015,6423.493059
BALESHWAR,2016,8085.291559
BALESHWAR,2017,8927.008281
BALESHWAR,2018,9475.136682
BALESHWAR,2019,8825.541365
BALESHWAR,2020,7373.176073
BALESHWAR,2021,2657.818685
BALESHWAR,2022,8360.37359
BALESHWAR,2023,12749.03183
BALESHWAR,2024,17340.96696
BALESHWAR,2025,10992.35908
BALLIA,2014,13207.87626
BALLIA,2015,11363.69939
BALLIA,2016,8523.016866
BALLIA,2017,14241.52603
BALLIA,2018,19394.72344
BALLIA,2019,15411.85792
BALLIA,2020,13525.51748
BALLIA,2021,12520.49038
BALLIA,2022,13756.57256
BALLIA,2023,16138.70825
BALLIA,2024,24485.87386
BALLIA,2025,36808.30302
BALRAMPUR,2014,15433.4276
BALRAMPUR,2015,12404.62192
BALRAMPUR,2016,10835.9168
BALRAMPUR,2017,13889.83633
BALRAMPUR,2018,14799.219
BALRAMPUR,2019,14002.41443
BALRAMPUR,2020,13103.72867
BALRAMPUR,2021,15782.54628
BALRAMPUR,2022,15342.202
BALRAMPUR,2023,15683.01423
BALRAMPUR,2024,23176.92657
BALRAMPUR,2025,21111.59095
BANAS KANTHA,2014,6607.125274
BANAS KANTHA,2015,9838.803228
BANAS KANTHA,2016,12462.99843
BANAS KANTHA,2017,13011.03604
BANAS KANTHA,2018,12949.02676
BANAS KANTHA,2019,14039.45446
BANAS KANTHA,2020,13325.6228
BANAS KANTHA,2021,15786.58081
BANAS KANTHA,2022,16265.72996
BANAS KANTHA,2023,11630.52423
BANAS KANTHA,2024,16782.49614
BANAS KANTHA,2025,18521.13206
BANDA,2014,6350.532464
BANDA,2015,5668.307457
BANDA,2016,6718.143952
BANDA,2017,9848.539541
BANDA,2018,9374.659057
BANDA,2019,12857.69795
BANDA,2020,8496.096799
BANDA,2021,9429.970448
BANDA,2022,13612.88821
BANDA,2023,16903.07732
BANDA,2024,17294.61163
BANDA,2025,-99.0
BANDIPORE,2014,15168.62021
BANDIPORE,2015,17101.7318
BANDIPORE,2016,11514.47193
BANDIPORE,2017,19773.7091
BANDIPORE,2018,25052.40369
BANDIPORE,2019,24967.71191
BANDIPORE,2020,16769.1097
BANDIPORE,2021,24648.09541
BANDIPORE,2022,26765.48561
BANDIPORE,2023,30363.49964
BANDIPORE,2024,31624.70467
BANDIPORE,2025,32195.62664
BANGALORE,2014,19953.19534
BANGALORE,2015,17968.23933
BANGALORE,2016,21796.2279
BANGALORE,2017,30021.6084
BANGALORE,2018,22608.40967
BANGALORE,2019,17003.37589
BANGALORE,2020,11505.57206
BANGALORE,2021,20695.62581
BANGALORE,2022,28350.55216
BANGALORE,2023,13908.11436
BANGALORE,2024,20259.42577
BANGALORE,2025,29398.22519
BANGALORE RURAL,2014,16441.96539
