District,Year,ADJ_TOT_EXP
AURANGABAD,2025,52646276
AZAMGARH,2014,6874757
AZAMGARH,2015,6861756
AZAMGARH,2016,5522770
AZAMGARH,2017,6334641
AZAMGARH,2018,8652893
AZAMGARH,2019,6297003
AZAMGARH,2020,5702021
AZAMGARH,2021,5511857
AZAMGARH,2022,8066564
AZAMGARH,2023,7035463
AZAMGARH,2024,8240395
AZAMGARH,2025,4086267
BADGAM,2017,12032371
BADGAM,2018,18277938
BADGAM,2019,5096578
BADGAM,2020,-114048
BADGAM,2021,1070380
BADGAM,2022,6004711
BADGAM,2023,13748388
BADGAM,2024,22815964
BADGAM,2025,8238686
BAGALKOT,2017,1788808
BAGALKOT,2018,6060947
BAGALKOT,2019,4337754
BAGALKOT,2020,1814846
BAGALKOT,2021,3329878
BAGALKOT,2022,6759759
BAGALKOT,2023,5981386
BAGALKOT,2024,4553619
BAGALKOT,2025,1030005
BAGESHWAR,2017,1535386
BAGESHWAR,2018,8766288
BAGESHWAR,2019,9070884
BAGESHWAR,2020,1693463
BAGESHWAR,2021,13383177
BAGESHWAR,2022,7813414
BAGESHWAR,2023,3443080
BAGESHWAR,2024,5329543
BAGESHWAR,2025,4117808
BAHRAICH,2014,53644331
BAHRAICH,2015,54499530
BAHRAICH,2016,42148502
BAHRAICH,2017,44531962
BAHRAICH,2018,54315290
BAHRAICH,2019,59821547
BAHRAICH,2020,42797853
BAHRAICH,2021,42300387
BAHRAICH,2022,43847533
BAHRAICH,2023,52382324
BAHRAICH,2024,73716296
BAHRAICH,2025,30688146
BAKSA,2014,1327893
BAKSA,2015,1489453
BAKSA,2016,2030094
BAKSA,2017,2645926
BAKSA,2018,3035380
BAKSA,2019,2282553
BAKSA,2020,1604538
BAKSA,2021,900480
BAKSA,2022,933592
BAKSA,2023,440783
BAKSA,2024,-19008
BAKSA,2025,-6336
BALAGHAT,2014,1050244
BALAGHAT,2015,1968497
BALAGHAT,2016,735152
BALAGHAT,2017,2937308
BALAGHAT,2018,11573580
BALAGHAT,2019,13276997
BALAGHAT,2020,8463532
BALAGHAT,2021,12119606
BALAGHAT,2022,11377669
BALAGHAT,2023,5752927
BALAGHAT,2024,2723295
BALAGHAT,2025,715400
BALANGIR,2014,23354608
BALANGIR,2015,38998596
BALANGIR,2016,39221507
BALANGIR,2017,36973061
BALANGIR,2018,58803966
BALANGIR,2019,60922914
BALANGIR,2020,19260315
BALANGIR,2021,37860839
BALANGIR,2022,49590910
BALANGIR,2023,49710825
BALANGIR,2024,68704485
BALANGIR,2025,20969259
BALESHWAR,2014,10295055
BALESHWAR,2015,16033654
BALESHWAR,2016,17770645
BALESHWAR,2017,19446248
BALESHWAR,2018,20746701
BALESHWAR,2019,19895524
BALESHWAR,2020,14800324
BALESHWAR,2021,5049325
BALESHWAR,2022,17500792
BALESHWAR,2023,31168269
BALESHWAR,2024,40938619
BALESHWAR,2025,7493017
BALLIA,2014,44997627
BALLIA,2015,40010451
BALLIA,2016,34622045
BALLIA,2017,39399468
BALLIA,2018,44824826
BALLIA,2019,41414885
BALLIA,2020,32759111
BALLIA,2021,29884180
BALLIA,2022,45257068
BALLIA,2023,39545797
BALLIA,2024,35835279
BALLIA,2025,19014910
BALRAMPUR,2014,40940769
BALRAMPUR,2015,41403744
BALRAMPUR,2016,33446964
BALRAMPUR,2017,37754163
BALRAMPUR,2018,44294486
BALRAMPUR,2019,47464329
BALRAMPUR,2020,44407980
BALRAMPUR,2021,51578221
BALRAMPUR,2022,54025441
BALRAMPUR,2023,44145100
BALRAMPUR,2024,42486381
BALRAMPUR,2025,17130035
BANAS KANTHA,2014,38594636
BANAS KANTHA,2015,37935822
BANAS KANTHA,2016,40724068
BANAS KANTHA,2017,42323376
BANAS KANTHA,2018,48900931
BANAS KANTHA,2019,56648575
BANAS KANTHA,2020,39550065
BANAS KANTHA,2021,53709965
BANAS KANTHA,2022,62287638
BANAS KANTHA,2023,32093552
BANAS KANTHA,2024,39810937
BANAS KANTHA,2025,11018197
BANDA,2014,1742704
BANDA,2015,2188907
BANDA,2016,1946906
BANDA,2017,2557221
BANDA,2018,2405085
BANDA,2019,3178159
BANDA,2020,2090846
BANDA,2021,2165657
BANDA,2022,4029796
BANDA,2023,5424298
BANDA,2024,4290698
BANDA,2025,-11979
BANDIPORE,2014,28835484
BANDIPORE,2015,35900263
BANDIPORE,2016,23088054
BANDIPORE,2017,30550770
BANDIPORE,2018,35314355
BANDIPORE,2019,34726904
BANDIPORE,2020,16706353
BANDIPORE,2021,29646307
BANDIPORE,2022,45978640
BANDIPORE,2023,55182872
BANDIPORE,2024,52802075
BANDIPORE,2025,18374705
BANGALORE,2014,159580545
BANGALORE,2015,165414402
BANGALORE,2016,203807252
BANGALORE,2017,220895039
BANGALORE,2018,224487053
BANGALORE,2019,174605843
BANGALORE,2020,87807777
BANGALORE,2021,139770201
BANGALORE,2022,268684148
BANGALORE,2023,157823406
BANGALORE,2024,134376265
BANGALORE,2025,66212200
BANGALORE RURAL,2014,9646886
BANGALORE RURAL,2015,14703209
BANGALORE RURAL,2016,16559707
BANGALORE RURAL,2017,13094041
BANGALORE RURAL,2018,11286607
BANGALORE RURAL,2019,12662996
BANGALORE RURAL,2020,4076090
BANGALORE RURAL,2021,7046294
BANGALORE RURAL,2022,18165717
BANGALORE RURAL,2023,10713431
BANGALORE RURAL,2024,13844599
BANGALORE RURAL,2025,7207585
BANKA,2014,22503061
BANKA,2015,21811196
BANKA,2016,33482179
BANKA,2017,37829616
BANKA,2018,49332736
BANKA,2019,54659154
BANKA,2020,38104897
BANKA,2021,55279060
BANKA,2022,70373497
BANKA,2023,38934716
BANKA,2024,26800738
BANKA,2025,11174325
BANKURA,2014,9310046
BANKURA,2015,8263027
BANKURA,2016,11113267
BANKURA,2017,10925937
BANKURA,2018,13185507
BANKURA,2019,13653038
BANKURA,2020,1728322
BANKURA,2021,3322348
BANKURA,2022,7459176
BANKURA,2023,5947100
BANKURA,2024,9665281
BANKURA,2025,7458131
BANSWARA,2014,13262710
BANSWARA,2015,12888263
BANSWARA,2016,20573532
BANSWARA,2017,17294631
BANSWARA,2018,25926160
