District,State,Year,Women_Employment_Provided,Workers_SC,Workers_ST,Workers_Total
ALIRAJPUR,MADHYA PRADESH,2025,60849.0,39646.0,13808.0,5145.0
ALLURI SITHARAMA RAJU,ANDHRA PRADESH,2022,196247.0,183536.0,7291.0,21584.0
ALLURI SITHARAMA RAJU,ANDHRA PRADESH,2023,204515.0,188343.0,7272.0,21724.0
ALLURI SITHARAMA RAJU,ANDHRA PRADESH,2024,215016.0,196895.0,7412.0,22477.0
ALLURI SITHARAMA RAJU,ANDHRA PRADESH,2025,207047.0,187047.0,6419.0,20927.0
ALMORA,UTTARAKHAND,2014,38762.0,24551.0,8485.0,36822.0
ALMORA,UTTARAKHAND,2015,40959.0,28592.0,9593.0,40524.0
ALMORA,UTTARAKHAND,2016,35937.0,26612.0,9708.0,36118.0
ALMORA,UTTARAKHAND,2017,37131.0,28918.0,10454.0,39080.0
ALMORA,UTTARAKHAND,2018,34010.0,26750.0,9387.0,36066.0
ALMORA,UTTARAKHAND,2019,31041.0,23918.0,8496.0,32529.0
ALMORA,UTTARAKHAND,2020,52392.0,40577.0,14822.0,59779.0
ALMORA,UTTARAKHAND,2021,44069.0,34966.0,12390.0,50187.0
ALMORA,UTTARAKHAND,2022,37272.0,29663.0,10928.0,42120.0
ALMORA,UTTARAKHAND,2023,26879.0,21541.0,8219.0,29704.0
ALMORA,UTTARAKHAND,2024,24185.0,18549.0,6961.0,26010.0
ALMORA,UTTARAKHAND,2025,19228.0,14411.0,5183.0,19895.0
ALWAR,RAJASTHAN,2014,62912.0,48234.0,26672.0,38903.0
ALWAR,RAJASTHAN,2015,80545.0,65029.0,33030.0,51147.0
ALWAR,RAJASTHAN,2016,93840.0,77914.0,37175.0,64772.0
ALWAR,RAJASTHAN,2017,85082.0,71094.0,34876.0,58461.0
ALWAR,RAJASTHAN,2018,94659.0,80364.0,39440.0,65435.0
ALWAR,RAJASTHAN,2019,103570.0,89405.0,42621.0,70695.0
ALWAR,RAJASTHAN,2020,183112.0,154152.0,67868.0,136061.0
ALWAR,RAJASTHAN,2021,163843.0,139715.0,56381.0,113928.0
ALWAR,RAJASTHAN,2022,129617.0,113567.0,46624.0,87566.0
ALWAR,RAJASTHAN,2023,117229.0,102947.0,42166.0,74141.0
ALWAR,RAJASTHAN,2024,91543.0,80016.0,33221.0,54931.0
ALWAR,RAJASTHAN,2025,66452.0,58991.0,24813.0,38848.0
AMBALA,HARYANA,2014,5908.0,2888.0,3955.0,3154.0
AMBALA,HARYANA,2015,2656.0,1437.0,1883.0,1406.0
AMBALA,HARYANA,2016,4856.0,2834.0,3452.0,2637.0
AMBALA,HARYANA,2017,4105.0,2569.0,2859.0,2273.0
AMBALA,HARYANA,2018,4145.0,2700.0,2755.0,2493.0
AMBALA,HARYANA,2019,3739.0,2409.0,2581.0,2277.0
AMBALA,HARYANA,2020,7455.0,4635.0,5292.0,4697.0
AMBALA,HARYANA,2021,5146.0,3478.0,3835.0,2725.0
AMBALA,HARYANA,2022,3607.0,2698.0,2682.0,1675.0
AMBALA,HARYANA,2023,6188.0,4729.0,4555.0,2913.0
AMBALA,HARYANA,2024,3769.0,2764.0,2661.0,1691.0
AMBALA,HARYANA,2025,2861.0,2391.0,2175.0,1541.0
AMBEDKAR NAGAR,UTTAR PRADESH,2014,50539.0,17827.0,30061.0,28414.0
AMBEDKAR NAGAR,UTTAR PRADESH,2015,72710.0,30513.0,44680.0,43088.0
AMBEDKAR NAGAR,UTTAR PRADESH,2016,66931.0,28876.0,38805.0,41765.0
AMBEDKAR NAGAR,UTTAR PRADESH,2017,63386.0,31319.0,35563.0,41415.0
AMBEDKAR NAGAR,UTTAR PRADESH,2018,64750.0,32453.0,32241.0,44484.0
AMBEDKAR NAGAR,UTTAR PRADESH,2019,67643.0,32309.0,30364.0,49499.0
AMBEDKAR NAGAR,UTTAR PRADESH,2020,148744.0,69566.0,69990.0,109996.0
AMBEDKAR NAGAR,UTTAR PRADESH,2021,119557.0,59008.0,55795.0,91128.0
AMBEDKAR NAGAR,UTTAR PRADESH,2022,111118.0,59142.0,51754.0,79536.0
AMBEDKAR NAGAR,UTTAR PRADESH,2023,99109.0,56140.0,41245.0,73618.0
