District,Year,asset_index_0_1
JALANDHAR,2025,0.879133344
KAPURTHALA,2014,0.597111049
KAPURTHALA,2015,0.647450423
KAPURTHALA,2016,0.624146926
KAPURTHALA,2017,0.563443683
KAPURTHALA,2018,0.558020885
KAPURTHALA,2019,0.619246674
KAPURTHALA,2020,0.599648899
KAPURTHALA,2021,0.625948983
KAPURTHALA,2022,0.608243967
KAPURTHALA,2023,0.625348353
KAPURTHALA,2024,0.715635952
KAPURTHALA,2025,0.765934849
LUDHIANA,2014,0.527221101
LUDHIANA,2015,0.612202728
LUDHIANA,2016,0.638127085
LUDHIANA,2017,0.647272955
LUDHIANA,2018,0.711142397
LUDHIANA,2019,0.759712324
LUDHIANA,2020,0.664487207
LUDHIANA,2021,0.661390073
LUDHIANA,2022,0.662238809
LUDHIANA,2023,0.720083196
LUDHIANA,2024,0.865807105
LUDHIANA,2025,0.898541171
MANSA,2017,0.645302438
MANSA,2018,0.693095653
MANSA,2019,0.713572793
MANSA,2020,0.697375228
MANSA,2021,0.612514919
MANSA,2022,0.626980469
MANSA,2023,0.735812926
MANSA,2024,0.909424283
MANSA,2025,0.866256387
MOGA,2014,0.452298828
MOGA,2015,0.513110927
MOGA,2016,0.490255335
MOGA,2017,0.500984506
MOGA,2018,0.594926474
MOGA,2019,0.628595441
MOGA,2020,0.607491961
MOGA,2021,0.595211083
MOGA,2022,0.600855616
MOGA,2023,0.643277211
MOGA,2024,0.73706248
MOGA,2025,0.753542809
MUKTSAR,2017,0.63159503
MUKTSAR,2018,0.665885411
MUKTSAR,2019,0.685991466
MUKTSAR,2020,0.667809511
MUKTSAR,2021,0.640427246
MUKTSAR,2022,0.607447399
MUKTSAR,2023,0.760062451
MUKTSAR,2024,0.875065959
MUKTSAR,2025,0.87013787
PATIALA,2014,0.598493337
PATIALA,2015,0.669306084
PATIALA,2016,0.674158328
PATIALA,2017,0.648585476
PATIALA,2018,0.687298655
PATIALA,2019,0.745718338
PATIALA,2020,0.668095424
PATIALA,2021,0.661282902
PATIALA,2022,0.674857911
PATIALA,2023,0.674042901
PATIALA,2024,0.80706167
PATIALA,2025,0.860453966
RUPNAGAR,2014,0.719521984
RUPNAGAR,2015,0.77292948
RUPNAGAR,2016,0.753478346
RUPNAGAR,2017,0.713871716
RUPNAGAR,2018,0.781498937
RUPNAGAR,2019,0.830179314
RUPNAGAR,2020,0.767855456
RUPNAGAR,2021,0.770464182
RUPNAGAR,2022,0.789148204
RUPNAGAR,2023,0.803715646
RUPNAGAR,2024,0.841322358
RUPNAGAR,2025,0.841209362
SAHIBZADA AJIT SINGH NAGAR,2014,0.757771337
SAHIBZADA AJIT SINGH NAGAR,2015,0.848958158
SAHIBZADA AJIT SINGH NAGAR,2016,0.798287496
SAHIBZADA AJIT SINGH NAGAR,2017,0.723343252
SAHIBZADA AJIT SINGH NAGAR,2018,0.811688471
SAHIBZADA AJIT SINGH NAGAR,2019,0.893929072
SAHIBZADA AJIT SINGH NAGAR,2020,0.887419294
SAHIBZADA AJIT SINGH NAGAR,2021,0.877052597
SAHIBZADA AJIT SINGH NAGAR,2022,0.868769393
