DISTRICT,YEAR,asset_index_0_1
Jehanabad,2025,0.17428009378329617
Kaimur (Bhabua),2014,0.11499084436818026
Kaimur (Bhabua),2015,0.14851833498696584
Kaimur (Bhabua),2016,0.14047983223160349
Kaimur (Bhabua),2017,0.15307707916469016
Kaimur (Bhabua),2018,0.1112017292306614
Kaimur (Bhabua),2019,0.15142078023878122
Kaimur (Bhabua),2020,0.16224504327063569
Kaimur (Bhabua),2021,0.16371179608983638
Kaimur (Bhabua),2022,0.17887491513310483
Kaimur (Bhabua),2023,0.16164768286943304
Katihar,2014,0.07789043757324891
Katihar,2015,0.08659566289617669
Katihar,2016,0.1031122302670126
Katihar,2017,0.14641905327784516
Katihar,2018,0.11920604410698449
Katihar,2019,0.1656016224121821
Katihar,2020,0.19094655883440695
Katihar,2021,0.2602709958051155
Katihar,2022,0.1062078816985928
Katihar,2023,0.234416825157015
Katihar,2024,0.20638663246100547
Katihar,2025,0.2370099394809611
Khagaria,2017,0.14447660005625543
Khagaria,2018,0.1329105541707928
Khagaria,2019,0.1808176935379849
Khagaria,2020,0.1970876496916364
Khagaria,2021,0.17070594187529348
Khagaria,2022,0.15423685544871227
Khagaria,2023,0.19996747921086366
Khagaria,2024,0.20834043929521537
Khagaria,2025,0.19164401213426757
Kishanganj,2014,0.06047285252413472
Kishanganj,2015,0.10645535427472008
Kishanganj,2016,0.13345548600721352
Kishanganj,2017,0.0877651325510135
Kishanganj,2018,0.14250452155587778
Kishanganj,2019,0.1634103564052992
Kishanganj,2020,0.395848048460856
Kishanganj,2021,0.25456635195119537
Kishanganj,2023,0.2951792927552096
Madhepura,2014,0.10795730310390139
Madhepura,2015,0.13736931191956872
Madhepura,2016,0.16547535599127697
Madhepura,2017,0.18000747403834394
Madhepura,2018,0.22761374533329987
Madhepura,2019,0.24051641302996224
Madhepura,2020,0.2816426724575166
Madhepura,2021,0.2863569974790986
Madhepura,2022,0.3252586856920161
Madhepura,2023,0.34051958123809867
Madhepura,2024,0.1581475423080954
Madhepura,2025,0.21415596513386348
Madhubani,2018,0.07479273031416636
Madhubani,2019,0.08144952157210456
Madhubani,2020,0.20434267371914308
Madhubani,2021,0.2574321922929932
Madhubani,2022,0.32094119455448006
Madhubani,2023,0.3144712038562823
Madhubani,2024,0.4326480894638184
Muzaffarpur,2014,0.11588456346933654
Muzaffarpur,2015,0.1384772635520929
Muzaffarpur,2016,0.13307668008204573
Muzaffarpur,2017,0.16889895392526916
Muzaffarpur,2018,0.2157422064932802
Muzaffarpur,2019,0.21971335343195592
Muzaffarpur,2020,0.2156763710483102
Muzaffarpur,2021,0.21961847004609364
Muzaffarpur,2022,0.19273177324384605
Muzaffarpur,2023,0.21667211259541833
Muzaffarpur,2024,0.16805794484049033
Muzaffarpur,2025,0.24471628387906882
Nalanda,2014,0.10696766681909226
Nalanda,2015,0.1319303383630654
Nalanda,2016,0.15002660902001638
Nalanda,2017,0.16091269292135835
Nalanda,2018,0.23251391835149432
Nalanda,2019,0.2445801160589834
Nalanda,2020,0.23137716972021272
Nalanda,2021,0.27960882981038837
Nalanda,2022,0.2598989557207769
Nalanda,2023,0.281750287082635
Nalanda,2024,0.18841903990903125
Nalanda,2025,0.23329882442883196
Nawada,2014,0.10011775133341672
Nawada,2015,0.11381607385256884
Nawada,2016,0.12129131773525285
Nawada,2017,0.16553021084962105
Nawada,2018,0.22859037280260178
Nawada,2019,0.2147830560823553
Nawada,2020,0.2024747731804149
Nawada,2021,0.2727540152981651
Nawada,2022,0.25642200653491687
Nawada,2023,0.22010377140830384
Nawada,2024,0.182741201988704
Nawada,2025,0.2826030236197269
Pashchim Champaran,2014,0.10107592528292293
Pashchim Champaran,2015,0.11424811600193686
Pashchim Champaran,2016,0.1248010487714079
Pashchim Champaran,2017,0.14008837699639085
Pashchim Champaran,2018,0.2304351031239683
Pashchim Champaran,2019,0.24090054866213834
Pashchim Champaran,2020,0.1977274612038396
Pashchim Champaran,2021,0.2374089497613954
Pashchim Champaran,2022,0.2109335766356421
Pashchim Champaran,2023,0.21809899144087228
Pashchim Champaran,2024,0.1828730278276506
Pashchim Champaran,2025,0.2636161260037287
Patna,2014,0.20294878652422438
Patna,2015,0.22702722056387495
Patna,2016,0.2253385445380308
Patna,2017,0.20825255279445737
Patna,2018,0.23879038452974732
Patna,2019,0.2864850326719062
Patna,2020,0.28736701875121023
Patna,2021,0.2636180441940747
Patna,2022,0.24648559322938302
Patna,2023,0.2500658534310834
Patna,2024,0.2446419078431581
Patna,2025,0.32787521034885186
Purba Champaran,2014,0.09538892827147927
Purba Champaran,2015,0.09845236638494957
Purba Champaran,2016,0.09792982656460279
Purba Champaran,2017,0.15332289605747942
Purba Champaran,2018,0.21029861954806414
Purba Champaran,2019,0.23442510240891912
Purba Champaran,2020,0.18477271141880758
Purba Champaran,2021,0.18928809220564563
Purba Champaran,2022,0.22741467277809227
Purba Champaran,2023,0.2302968915373891
Purba Champaran,2024,0.2253609465094645
Purba Champaran,2025,0.23082800621485078
Purnia,2014,0.11524973073793494
Purnia,2015,0.11590394558513079
Purnia,2016,0.1353366630338831
Purnia,2017,0.13934834544786892
Purnia,2018,0.15378015214408927
Purnia,2019,0.22046547307615488
Purnia,2020,0.25769828835614766
Purnia,2021,0.2876474538385552
Purnia,2022,0.3173143847088532
Purnia,2023,0.31224199852194023
Purnia,2024,0.32105866532697874
Purnia,2025,0.3049840557132012
Rohtas,2017,0.16400745984812895
Rohtas,2018,0.23049066823420905
Rohtas,2019,0.2947808664949103
Rohtas,2020,0.2140364619035248
Rohtas,2021,0.21414906913676224
Rohtas,2022,0.21672936149708794
Rohtas,2023,0.19207160664817963
Rohtas,2024,0.3078171597980048
Rohtas,2025,0.3047220187861542
Saharsa,2014,0.24235841893863141
Saharsa,2015,0.2792803741761967
Saharsa,2016,0.2702690618943371
Saharsa,2017,0.14470302830393114
Saharsa,2018,0.14524705148869374
Saharsa,2019,0.19210646321773053
Saharsa,2020,0.21773698219434925
Saharsa,2021,0.2079252387055739
Saharsa,2022,0.18009224832445153
