region_id,year,pillar4_distortion_score_refined
AZAMGARH_UTTAR PRADESH,2017.0,0.7582177562556177
AZAMGARH_UTTAR PRADESH,2018.0,0.721823054380575
AZAMGARH_UTTAR PRADESH,2019.0,0.7502778786255946
AZAMGARH_UTTAR PRADESH,2020.0,0.6977589011083833
AZAMGARH_UTTAR PRADESH,2021.0,0.7790895657775054
AZAMGARH_UTTAR PRADESH,2022.0,0.7379421857013735
AZAMGARH_UTTAR PRADESH,2023.0,0.5738747622511324
AZAMGARH_UTTAR PRADESH,2024.0,0.5282438275921819
BAHRAICH_UTTAR PRADESH,2015.0,0.8064347499196743
BAHRAICH_UTTAR PRADESH,2016.0,0.8116042985790863
BAHRAICH_UTTAR PRADESH,2017.0,0.7794480908187691
BAHRAICH_UTTAR PRADESH,2018.0,0.7441245910581862
BAHRAICH_UTTAR PRADESH,2019.0,0.7430834820419396
BAHRAICH_UTTAR PRADESH,2020.0,0.71766061688543
BAHRAICH_UTTAR PRADESH,2021.0,0.6955742698527103
BAHRAICH_UTTAR PRADESH,2022.0,0.6009918082886518
BAHRAICH_UTTAR PRADESH,2023.0,0.39538648115820085
BAHRAICH_UTTAR PRADESH,2024.0,0.4923483386481513
BALESHWAR_ODISHA,2015.0,0.9239302329789473
BALESHWAR_ODISHA,2016.0,0.9277508553552474
BALESHWAR_ODISHA,2017.0,0.8977253806933853
BALESHWAR_ODISHA,2018.0,0.9128371521523064
BALESHWAR_ODISHA,2019.0,0.8274736508978539
BALESHWAR_ODISHA,2020.0,0.8114791346710741
BALESHWAR_ODISHA,2021.0,0.8142030542264178
BALESHWAR_ODISHA,2022.0,0.7432658428033236
BALESHWAR_ODISHA,2023.0,0.7584750442621677
BALESHWAR_ODISHA,2024.0,0.8772943575613663
BALLIA_UTTAR PRADESH,2015.0,0.8040920040547825
BALLIA_UTTAR PRADESH,2016.0,0.799879475821827
BALLIA_UTTAR PRADESH,2017.0,0.7830499219516013
BALLIA_UTTAR PRADESH,2018.0,0.7414498543885074
BALLIA_UTTAR PRADESH,2019.0,0.7881948101174847
BALLIA_UTTAR PRADESH,2020.0,0.7416894722081555
BALLIA_UTTAR PRADESH,2021.0,0.828925331063835
BALLIA_UTTAR PRADESH,2022.0,0.7389835055612153
BALLIA_UTTAR PRADESH,2023.0,0.6597639910689214
BALLIA_UTTAR PRADESH,2024.0,0.7557944294406572
BALRAMPUR_CHHATTISGARH,2015.0,0.07324205319255084
BALRAMPUR_CHHATTISGARH,2016.0,0.44912770278330194
BALRAMPUR_CHHATTISGARH,2017.0,0.24287014764382886
BALRAMPUR_CHHATTISGARH,2018.0,0.5939211177121061
BALRAMPUR_CHHATTISGARH,2019.0,0.2259832720427608
BALRAMPUR_CHHATTISGARH,2020.0,0.15448975388495945
BALRAMPUR_CHHATTISGARH,2021.0,0.20313776780263726
BALRAMPUR_CHHATTISGARH,2022.0,0.3205889448467698
BALRAMPUR_CHHATTISGARH,2023.0,0.37816650240282734
BALRAMPUR_CHHATTISGARH,2024.0,0.44473021326357454
BANDA_UTTAR PRADESH,2015.0,0.7156403432592675
BANDA_UTTAR PRADESH,2016.0,0.7640451883276418
BANDA_UTTAR PRADESH,2017.0,0.7681418871523857
BANDA_UTTAR PRADESH,2018.0,0.768860849580882
BANDA_UTTAR PRADESH,2019.0,0.6812387344785413
BANDA_UTTAR PRADESH,2020.0,0.6589201261482358
BANDA_UTTAR PRADESH,2021.0,0.7240996525381435
BANDA_UTTAR PRADESH,2022.0,0.8045723620223464
BANDA_UTTAR PRADESH,2023.0,0.611193479566895
BANDA_UTTAR PRADESH,2024.0,0.7364696446928096
BANKA_BIHAR,2015.0,0.879687655702189
BANKA_BIHAR,2016.0,0.8730391613028127
BANKA_BIHAR,2017.0,0.8967852409426516
BANKA_BIHAR,2018.0,0.8743741050062304
BANKA_BIHAR,2019.0,0.7988596727102298
BANKA_BIHAR,2020.0,0.7029439981991048
BANKA_BIHAR,2021.0,0.8267677876469526
BANKA_BIHAR,2022.0,0.8002321939425401
BANKA_BIHAR,2023.0,0.7777632727799377
BANKA_BIHAR,2024.0,0.8495615896908064
BANKURA_WEST BENGAL,2015.0,0.5929002713161697
BANKURA_WEST BENGAL,2016.0,0.6751333277943861
BANKURA_WEST BENGAL,2017.0,0.5418553242617155
BANKURA_WEST BENGAL,2018.0,0.51098213689279
BANKURA_WEST BENGAL,2019.0,0.5763902381457925
BANKURA_WEST BENGAL,2020.0,0.3523008961209949
BANKURA_WEST BENGAL,2021.0,0.43130818318382447
BANKURA_WEST BENGAL,2022.0,0.9782279945678125
BANKURA_WEST BENGAL,2023.0,1.0
BANKURA_WEST BENGAL,2024.0,1.0
BANSWARA_RAJASTHAN,2015.0,0.1443957820510443
BANSWARA_RAJASTHAN,2016.0,0.2057513915521273
BANSWARA_RAJASTHAN,2017.0,0.32940670392507276
BANSWARA_RAJASTHAN,2018.0,0.24496820356888427
BANSWARA_RAJASTHAN,2019.0,0.2213687913834087
BANSWARA_RAJASTHAN,2020.0,0.05225723823781503
BANSWARA_RAJASTHAN,2021.0,0.052926586210053195
BANSWARA_RAJASTHAN,2022.0,0.2503069974035995
BANSWARA_RAJASTHAN,2023.0,0.12847309210978097
BANSWARA_RAJASTHAN,2024.0,0.33032104402807994
BAREILLY_UTTAR PRADESH,2015.0,0.8849474037032478
BAREILLY_UTTAR PRADESH,2016.0,0.919693244501647
BAREILLY_UTTAR PRADESH,2017.0,0.893746241715192
BAREILLY_UTTAR PRADESH,2018.0,0.8594375534574821
BAREILLY_UTTAR PRADESH,2019.0,0.8032716761936579
BAREILLY_UTTAR PRADESH,2020.0,0.7201343494104169
BAREILLY_UTTAR PRADESH,2021.0,0.7370081351073385
BAREILLY_UTTAR PRADESH,2022.0,0.7140065381768586
BAREILLY_UTTAR PRADESH,2023.0,0.7106949764905535
BAREILLY_UTTAR PRADESH,2024.0,0.7346853411443263
BARNALA_PUNJAB,2015.0,0.6442226624984575
BARNALA_PUNJAB,2016.0,0.6294585250482412
BARNALA_PUNJAB,2017.0,0.5497045725913543
BARNALA_PUNJAB,2018.0,0.7442742406467123
BARNALA_PUNJAB,2019.0,0.7216966486900057
BARNALA_PUNJAB,2020.0,0.6266404542124053
BARNALA_PUNJAB,2021.0,0.6732146868599558
BARNALA_PUNJAB,2022.0,0.6531201725162045
BARNALA_PUNJAB,2023.0,0.5944822835422001
BARNALA_PUNJAB,2024.0,0.6947844005373952
BARWANI_MADHYA PRADESH,2015.0,0.8597481913860292
BARWANI_MADHYA PRADESH,2016.0,0.7975721787550762
BARWANI_MADHYA PRADESH,2017.0,0.6975394483342015
