region_id,year,pillar5_structural_persistence_score
AZAMGARH_UTTAR PRADESH,2016.0,0.13195395177257047
AZAMGARH_UTTAR PRADESH,2017.0,0.14531962674568716
AZAMGARH_UTTAR PRADESH,2018.0,0.17088000151476307
AZAMGARH_UTTAR PRADESH,2019.0,0.19766627329472974
AZAMGARH_UTTAR PRADESH,2020.0,0.17672370153537845
AZAMGARH_UTTAR PRADESH,2021.0,0.21537733882060853
AZAMGARH_UTTAR PRADESH,2022.0,0.1555184809200206
AZAMGARH_UTTAR PRADESH,2023.0,0.18580269397765442
AZAMGARH_UTTAR PRADESH,2024.0,0.3065552862056649
BAHRAICH_UTTAR PRADESH,2015.0,0.10896426037100229
BAHRAICH_UTTAR PRADESH,2016.0,0.13539259730046938
BAHRAICH_UTTAR PRADESH,2017.0,0.13158784198618748
BAHRAICH_UTTAR PRADESH,2018.0,0.15525460874356523
BAHRAICH_UTTAR PRADESH,2019.0,0.18125248250154197
BAHRAICH_UTTAR PRADESH,2020.0,0.18201873219243117
BAHRAICH_UTTAR PRADESH,2021.0,0.2007298011234474
BAHRAICH_UTTAR PRADESH,2022.0,0.21698521369081303
BAHRAICH_UTTAR PRADESH,2023.0,0.2865973107969155
BAHRAICH_UTTAR PRADESH,2024.0,0.43792153900008335
BALESHWAR_ODISHA,2015.0,0.028586406728176673
BALESHWAR_ODISHA,2016.0,0.04891666041960245
BALESHWAR_ODISHA,2017.0,0.046104706369489074
BALESHWAR_ODISHA,2018.0,0.06820326696153674
BALESHWAR_ODISHA,2019.0,0.05708109816990322
BALESHWAR_ODISHA,2020.0,0.11990809844433847
BALESHWAR_ODISHA,2021.0,0.1316799618356251
BALESHWAR_ODISHA,2022.0,0.12967517416716956
BALESHWAR_ODISHA,2023.0,0.1818845158184873
BALESHWAR_ODISHA,2024.0,0.1706906391594171
BALLIA_UTTAR PRADESH,2015.0,0.11957498362543585
BALLIA_UTTAR PRADESH,2016.0,0.13711684352905065
BALLIA_UTTAR PRADESH,2017.0,0.14021723782589504
BALLIA_UTTAR PRADESH,2018.0,0.1526036836731843
BALLIA_UTTAR PRADESH,2019.0,0.18322107187534287
BALLIA_UTTAR PRADESH,2020.0,0.14881707832710803
BALLIA_UTTAR PRADESH,2021.0,0.18304471466647074
BALLIA_UTTAR PRADESH,2022.0,0.11883967096835396
BALLIA_UTTAR PRADESH,2023.0,0.18503628910720463
BALLIA_UTTAR PRADESH,2024.0,0.2433413537496693
BALRAMPUR_CHHATTISGARH,2015.0,0.11932918267015624
BALRAMPUR_CHHATTISGARH,2016.0,0.6750178127796219
BALRAMPUR_CHHATTISGARH,2017.0,0.3983683377352443
BALRAMPUR_CHHATTISGARH,2018.0,0.5501726016527355
BALRAMPUR_CHHATTISGARH,2019.0,0.29180129461043
BALRAMPUR_CHHATTISGARH,2020.0,0.5626012359335643
BALRAMPUR_CHHATTISGARH,2021.0,0.6152200158443314
BALRAMPUR_CHHATTISGARH,2022.0,0.5794153834330377
BALRAMPUR_CHHATTISGARH,2023.0,0.49297205550077866
BALRAMPUR_CHHATTISGARH,2024.0,0.45059533510838434
BANDA_UTTAR PRADESH,2015.0,0.1407168485385649
BANDA_UTTAR PRADESH,2016.0,0.2022167098115881
BANDA_UTTAR PRADESH,2017.0,0.16659104814466907
BANDA_UTTAR PRADESH,2018.0,0.1635759035640917
BANDA_UTTAR PRADESH,2019.0,0.1630467517365701
BANDA_UTTAR PRADESH,2020.0,0.2275360776039788
BANDA_UTTAR PRADESH,2021.0,0.24396243302622647
BANDA_UTTAR PRADESH,2022.0,0.19599071136289214
BANDA_UTTAR PRADESH,2023.0,0.1367633030847571
BANDA_UTTAR PRADESH,2024.0,0.2790889448702725
BANKA_BIHAR,2015.0,0.014991042696010124
BANKA_BIHAR,2016.0,0.0814789191585343
BANKA_BIHAR,2017.0,0.08637216923984357
BANKA_BIHAR,2018.0,0.06889520390776502
BANKA_BIHAR,2019.0,0.08538965906642677
BANKA_BIHAR,2020.0,0.14096780650490448
BANKA_BIHAR,2021.0,0.2115611399586301
BANKA_BIHAR,2022.0,0.12042760935949992
BANKA_BIHAR,2023.0,0.1399576395064589
BANKA_BIHAR,2024.0,0.15649462422831562
BANKURA_WEST BENGAL,2015.0,0.09883769863691573
BANKURA_WEST BENGAL,2016.0,0.29255263114015445
BANKURA_WEST BENGAL,2017.0,0.23202961854107762
BANKURA_WEST BENGAL,2018.0,0.33012139127148105
BANKURA_WEST BENGAL,2019.0,0.35284386308667026
BANKURA_WEST BENGAL,2020.0,0.3047039117610641
BANKURA_WEST BENGAL,2021.0,0.4696322587242881
BANKURA_WEST BENGAL,2022.0,0.41148339213571355
BANKURA_WEST BENGAL,2023.0,0.008953849240194423
BANKURA_WEST BENGAL,2024.0,0.0
BANSWARA_RAJASTHAN,2015.0,0.555070120135187
BANSWARA_RAJASTHAN,2016.0,0.6226491156570154
BANSWARA_RAJASTHAN,2017.0,0.5774917727843014
BANSWARA_RAJASTHAN,2018.0,0.4864822402531461
BANSWARA_RAJASTHAN,2019.0,0.5486284456815983
