State,District,Year,arhar_area,arhar_production,arhar_yield
Arunachal Pradesh,East siang,2021-2022,70.0,63.0,0.9
Arunachal Pradesh,East siang,2022-2023,72.0,65.0,0.9
Arunachal Pradesh,Kamle,2018-2019,40.0,32.0,0.8
Arunachal Pradesh,Kamle,2019-2020,40.0,36.0,0.9
Arunachal Pradesh,Kamle,2020-2021,40.0,36.0,0.9
Arunachal Pradesh,Kamle,2021-2022,41.0,38.0,0.93
Arunachal Pradesh,Kamle,2022-2023,42.0,39.0,0.93
Arunachal Pradesh,Leparada,2019-2020,10.0,11.0,1.1
Arunachal Pradesh,Leparada,2020-2021,10.0,11.0,1.1
Arunachal Pradesh,Leparada,2021-2022,12.0,14.0,1.17
Arunachal Pradesh,Leparada,2022-2023,13.0,15.0,1.15
Arunachal Pradesh,Lohit,2016-2017,26.0,14.0,0.54
Arunachal Pradesh,Lohit,2017-2018,15.0,14.0,0.93
Arunachal Pradesh,Lohit,2018-2019,15.0,14.0,0.93
Arunachal Pradesh,Lohit,2019-2020,16.0,14.0,0.88
Arunachal Pradesh,Lohit,2020-2021,16.0,14.0,0.88
Arunachal Pradesh,Lohit,2021-2022,19.0,16.0,0.84
Arunachal Pradesh,Lohit,2022-2023,20.0,17.0,0.85
Arunachal Pradesh,Longding,2016-2017,28.0,9.0,0.32
Arunachal Pradesh,Longding,2017-2018,24.0,8.0,0.33
Arunachal Pradesh,Longding,2018-2019,24.0,8.0,0.33
Arunachal Pradesh,Longding,2019-2020,24.0,8.0,0.33
Arunachal Pradesh,Longding,2020-2021,24.0,8.0,0.33
Arunachal Pradesh,Longding,2021-2022,24.0,8.0,0.33
Arunachal Pradesh,Longding,2022-2023,25.0,10.0,0.4
Arunachal Pradesh,Lower dibang valley,2016-2017,89.0,80.0,0.9
Arunachal Pradesh,Lower dibang valley,2017-2018,95.0,90.0,0.95
Arunachal Pradesh,Lower dibang valley,2018-2019,95.0,90.0,0.95
Arunachal Pradesh,Lower dibang valley,2019-2020,96.0,90.0,0.94
Arunachal Pradesh,Lower dibang valley,2020-2021,96.0,90.0,0.94
Arunachal Pradesh,Lower dibang valley,2021-2022,98.0,92.0,0.94
Arunachal Pradesh,Lower dibang valley,2022-2023,101.0,94.0,0.93
Arunachal Pradesh,Lower siang,2018-2019,32.0,32.0,1.0
Arunachal Pradesh,Lower siang,2019-2020,29.0,29.0,1.0
Arunachal Pradesh,Lower siang,2020-2021,29.0,29.0,1.0
Arunachal Pradesh,Lower siang,2021-2022,31.0,32.0,1.03
Arunachal Pradesh,Lower siang,2022-2023,33.0,34.0,1.03
Arunachal Pradesh,Lower subansiri,2016-2017,46.0,42.0,0.91
Arunachal Pradesh,Lower subansiri,2017-2018,54.0,41.0,0.76
Arunachal Pradesh,Lower subansiri,2018-2019,40.0,41.0,1.03
Arunachal Pradesh,Lower subansiri,2019-2020,40.0,42.0,1.05
Arunachal Pradesh,Lower subansiri,2020-2021,40.0,42.0,1.05
Arunachal Pradesh,Lower subansiri,2021-2022,41.0,44.0,1.07
Arunachal Pradesh,Lower subansiri,2022-2023,42.0,46.0,1.1
Arunachal Pradesh,Namsai,2016-2017,34.0,21.0,0.62
Arunachal Pradesh,Namsai,2017-2018,50.0,21.0,0.42
Arunachal Pradesh,Namsai,2018-2019,50.0,21.0,0.42
Arunachal Pradesh,Namsai,2019-2020,51.0,21.0,0.41
Arunachal Pradesh,Namsai,2020-2021,51.0,21.0,0.41
Arunachal Pradesh,Namsai,2021-2022,54.0,24.0,0.44
Arunachal Pradesh,Namsai,2022-2023,57.0,32.0,0.56
Arunachal Pradesh,Pakke kessang,2019-2020,24.0,23.0,0.96
Arunachal Pradesh,Pakke kessang,2020-2021,24.0,23.0,0.96
