State,District,Year,sugarcane_area,sugarcane_production,sugarcane_yield
Maharashtra,Dharashiv,2016-2017,12000.0,427900.0,35.66
Maharashtra,Dharashiv,2017-2018,35000.0,1575000.0,45.0
Maharashtra,Dharashiv,2018-2019,57200.0,2839246.0,49.64
Maharashtra,Dharashiv,2019-2020,30006.0,1621905.0,54.05
Maharashtra,Dharashiv,2020-2021,60000.0,4627647.19,77.13
Maharashtra,Dharashiv,2021-2022,93396.0,6327878.46,67.75
Maharashtra,Dharashiv,2022-2023,74275.0,4047244.75,54.49
Maharashtra,Dhule,2013-2014,6500.0,536900.0,82.6
Maharashtra,Dhule,2014-2015,7000.0,438400.0,62.63
Maharashtra,Dhule,2015-2016,2100.0,154000.0,73.33
Maharashtra,Dhule,2016-2017,4508.0,522400.0,115.88
Maharashtra,Dhule,2017-2018,2501.0,199200.0,79.65
Maharashtra,Dhule,2018-2019,2924.0,204680.0,70.0
Maharashtra,Dhule,2021-2022,4000.0,373437.61,93.36
Maharashtra,Dhule,2022-2023,4381.0,394290.0,90.0
Maharashtra,Gadchiroli,2014-2015,100.0,9900.0,99.0
Maharashtra,Gadchiroli,2015-2016,100.0,4600.0,46.0
Maharashtra,Gadchiroli,2018-2019,15.0,1009.0,67.27
Maharashtra,Gadchiroli,2019-2020,14.0,949.0,67.79
Maharashtra,Gondia,2013-2014,300.0,21500.0,71.67
Maharashtra,Gondia,2014-2015,1500.0,97000.0,64.67
Maharashtra,Gondia,2015-2016,1000.0,57700.0,57.7
Maharashtra,Gondia,2016-2017,667.0,28300.0,42.43
Maharashtra,Gondia,2017-2018,1129.0,45200.0,40.04
Maharashtra,Gondia,2018-2019,1528.0,102812.0,67.29
Maharashtra,Gondia,2019-2020,1030.0,76838.0,74.6
Maharashtra,Gondia,2022-2023,1728.0,105632.64,61.13
Maharashtra,Hingoli,2013-2014,7200.0,516500.0,71.74
Maharashtra,Hingoli,2014-2015,15200.0,855700.0,56.3
Maharashtra,Hingoli,2015-2016,15200.0,462800.0,30.45
Maharashtra,Hingoli,2016-2017,5000.0,312700.0,62.54
Maharashtra,Hingoli,2017-2018,9500.0,66500.0,7.0
Maharashtra,Hingoli,2018-2019,11200.0,784000.0,70.0
Maharashtra,Hingoli,2019-2020,6121.0,401124.0,65.53
Maharashtra,Hingoli,2020-2021,13500.0,1017432.18,75.37
Maharashtra,Hingoli,2021-2022,27968.0,2311725.13,82.66
Maharashtra,Hingoli,2022-2023,17520.0,1203448.8,68.69
Maharashtra,Jalgaon,2013-2014,11700.0,883200.0,75.49
Maharashtra,Jalgaon,2014-2015,7900.0,553600.0,70.08
Maharashtra,Jalgaon,2015-2016,10000.0,776600.0,77.66
Maharashtra,Jalgaon,2016-2017,9163.0,845900.0,92.32
Maharashtra,Jalgaon,2017-2018,9330.0,793100.0,85.01
Maharashtra,Jalgaon,2018-2019,10006.0,689413.0,68.9
Maharashtra,Jalgaon,2019-2020,6988.0,483270.0,69.16
Maharashtra,Jalgaon,2020-2021,4860.0,535070.41,110.1
Maharashtra,Jalgaon,2021-2022,12035.0,731795.42,60.81
Maharashtra,Jalgaon,2022-2023,16000.0,1120000.0,70.0
Maharashtra,Jalna,2013-2014,13500.0,972300.0,72.02
Maharashtra,Jalna,2014-2015,21100.0,1007500.0,47.75
Maharashtra,Jalna,2015-2016,26100.0,1334100.0,51.11
Maharashtra,Jalna,2016-2017,16430.0,611600.0,37.22
Maharashtra,Jalna,2017-2018,23792.0,1417400.0,59.57
Maharashtra,Jalna,2018-2019,37766.0,2001598.0,53.0
Maharashtra,Jalna,2019-2020,26471.0,1490170.0,56.29
Maharashtra,Jalna,2020-2021,39093.0,3009886.66,76.99
Maharashtra,Jalna,2021-2022,34434.0,2001481.13,58.13
Maharashtra,Jalna,2022-2023,47227.0,3778160.0,80.0
Maharashtra,Kolhapur,2013-2014,135200.0,13580200.0,100.45
Maharashtra,Kolhapur,2014-2015,146300.0,15031600.0,102.75
Maharashtra,Kolhapur,2015-2016,145300.0,13097700.0,90.14
Maharashtra,Kolhapur,2016-2017,132631.0,12499000.0,94.24
Maharashtra,Kolhapur,2017-2018,143905.0,14779000.0,102.7
Maharashtra,Kolhapur,2018-2019,149280.0,12491750.0,83.68
Maharashtra,Kolhapur,2019-2020,140484.0,11384118.0,81.03
Maharashtra,Kolhapur,2020-2021,157752.0,14699900.74,93.18
Maharashtra,Kolhapur,2021-2022,178091.0,17146726.25,96.28
Maharashtra,Kolhapur,2022-2023,175560.0,15817956.0,90.1
Maharashtra,Latur,2013-2014,41500.0,2902800.0,69.95
Maharashtra,Latur,2014-2015,46400.0,2354600.0,50.75
Maharashtra,Latur,2015-2016,41500.0,1247900.0,30.07
Maharashtra,Latur,2016-2017,9000.0,509300.0,56.59
Maharashtra,Latur,2017-2018,40000.0,2440000.0,61.0
Maharashtra,Latur,2018-2019,62300.0,3774134.0,60.58
Maharashtra,Latur,2019-2020,29762.0,2032745.0,68.3
Maharashtra,Latur,2020-2021,30100.0,2275681.57,75.6
Maharashtra,Latur,2021-2022,71218.0,6304898.62,88.53
Maharashtra,Latur,2022-2023,63158.0,5585798.78,88.44
Maharashtra,Nagpur,2013-2014,300.0,20000.0,66.67
Maharashtra,Nagpur,2014-2015,3800.0,258500.0,68.03
Maharashtra,Nagpur,2015-2016,4400.0,296500.0,67.39
Maharashtra,Nagpur,2016-2017,4599.0,198300.0,43.12
Maharashtra,Nagpur,2017-2018,4268.0,221900.0,51.99
Maharashtra,Nagpur,2018-2019,4757.0,264394.0,55.58
Maharashtra,Nagpur,2019-2020,3750.0,212925.0,56.78
Maharashtra,Nagpur,2020-2021,3227.0,182536.87,56.57
Maharashtra,Nagpur,2021-2022,3526.0,348897.65,98.95
Maharashtra,Nagpur,2022-2023,3242.0,171210.02,52.81
Maharashtra,Nanded,2013-2014,12200.0,1020700.0,83.66
Maharashtra,Nanded,2014-2015,18800.0,1113200.0,59.21
Maharashtra,Nanded,2015-2016,18800.0,529500.0,28.16
Maharashtra,Nanded,2016-2017,14501.0,860400.0,59.33
Maharashtra,Nanded,2017-2018,23000.0,1495000.0,65.0
Maharashtra,Nanded,2018-2019,23303.0,745696.0,32.0
Maharashtra,Nanded,2019-2020,30000.0,1966125.0,65.54
Maharashtra,Nanded,2020-2021,21900.0,1836294.46,83.85
Maharashtra,Nanded,2021-2022,38052.0,3221788.46,84.67
Maharashtra,Nanded,2022-2023,35943.0,1797150.0,50.0
Maharashtra,Nandurbar,2013-2014,10800.0,832600.0,77.09
Maharashtra,Nandurbar,2014-2015,8000.0,633800.0,79.23
Maharashtra,Nandurbar,2015-2016,14100.0,1044800.0,74.1
Maharashtra,Nandurbar,2016-2017,10952.0,872300.0,79.65
Maharashtra,Nandurbar,2017-2018,14887.0,1266900.0,85.1
Maharashtra,Nandurbar,2018-2019,15477.0,1354857.0,87.54
Maharashtra,Nandurbar,2019-2020,14585.0,1128876.0,77.4
Maharashtra,Nandurbar,2020-2021,17671.0,1318193.19,74.6
Maharashtra,Nandurbar,2021-2022,23201.0,962023.58,41.46
Maharashtra,Nandurbar,2022-2023,24042.0,2056071.84,85.52
Maharashtra,Nashik,2013-2014,21000.0,1786500.0,85.07
Maharashtra,Nashik,2014-2015,16800.0,1384200.0,82.39
Maharashtra,Nashik,2015-2016,19000.0,1531200.0,80.59
Maharashtra,Nashik,2016-2017,11216.0,966200.0,86.14
Maharashtra,Nashik,2017-2018,11865.0,988600.0,83.32
Maharashtra,Nashik,2018-2019,15345.0,1461304.0,95.23
Maharashtra,Nashik,2019-2020,13644.0,1094464.0,80.22
Maharashtra,Nashik,2020-2021,14366.0,1623785.2,113.03
Maharashtra,Nashik,2021-2022,20923.0,1603003.29,76.61
Maharashtra,Nashik,2022-2023,30965.0,2836084.35,91.59
Maharashtra,Parbhani,2013-2014,35900.0,2549700.0,71.02
Maharashtra,Parbhani,2014-2015,26600.0,1577200.0,59.29
Maharashtra,Parbhani,2015-2016,28500.0,763600.0,26.79
Maharashtra,Parbhani,2016-2017,9000.0,578614.0,64.29
Maharashtra,Parbhani,2017-2018,25000.0,1375000.0,55.0
Maharashtra,Parbhani,2018-2019,45700.0,1919400.0,42.0
Maharashtra,Parbhani,2019-2020,15759.0,1032727.0,65.53
Maharashtra,Parbhani,2020-2021,31500.0,2317556.61,73.57
Maharashtra,Parbhani,2021-2022,50898.0,4345889.15,85.38
Maharashtra,Parbhani,2022-2023,47058.0,4235220.0,90.0
Maharashtra,Pune,2013-2014,143900.0,16963500.0,117.88
Maharashtra,Pune,2014-2015,127800.0,13833900.0,108.25
Maharashtra,Pune,2015-2016,118400.0,12285400.0,103.76
Maharashtra,Pune,2016-2017,95903.0,9070900.0,94.58
Maharashtra,Pune,2017-2018,113140.0,13270600.0,117.29
Maharashtra,Pune,2018-2019,141730.0,13233330.0,93.37
Maharashtra,Pune,2019-2020,110264.0,11385547.0,103.26
Maharashtra,Pune,2020-2021,117830.0,13359894.69,113.38
Maharashtra,Pune,2021-2022,155265.0,17138495.27,110.38
Maharashtra,Pune,2022-2023,157570.0,16859990.0,107.0
Maharashtra,Ratnagiri,2016-2017,95.0,9600.0,101.05
Maharashtra,Ratnagiri,2017-2018,44.0,2600.0,59.09
Maharashtra,Ratnagiri,2022-2023,19.0,1523.8,80.2
Maharashtra,Sangli,2013-2014,62600.0,7466700.0,119.28
Maharashtra,Sangli,2014-2015,74500.0,8107100.0,108.82
Maharashtra,Sangli,2015-2016,84000.0,8087900.0,96.28
Maharashtra,Sangli,2016-2017,72358.0,7809500.0,107.93
Maharashtra,Sangli,2017-2018,80176.0,8546800.0,106.6
Maharashtra,Sangli,2018-2019,89918.0,9178829.0,102.08
Maharashtra,Sangli,2019-2020,89827.0,8987585.0,100.05
Maharashtra,Sangli,2020-2021,111945.0,12394752.83,110.72
Maharashtra,Sangli,2021-2022,92715.0,9867440.05,106.43
Maharashtra,Sangli,2022-2023,137585.0,14226289.0,103.4
Maharashtra,Satara,2013-2014,59800.0,6015200.0,100.59
Maharashtra,Satara,2014-2015,70000.0,6927400.0,98.96
Maharashtra,Satara,2015-2016,65500.0,6329800.0,96.64
Maharashtra,Satara,2016-2017,50329.0,6259700.0,124.38
Maharashtra,Satara,2017-2018,80644.0,7983800.0,99.0
Maharashtra,Satara,2018-2019,82485.0,8038163.0,97.45
Maharashtra,Satara,2019-2020,84010.0,8977829.0,106.87
Maharashtra,Satara,2020-2021,94933.0,10467495.7,110.26
Maharashtra,Satara,2021-2022,116626.0,13126135.11,112.55
Maharashtra,Satara,2022-2023,116625.0,12747112.5,109.3
Maharashtra,Sindhudurg,2013-2014,1100.0,96700.0,87.91
Maharashtra,Sindhudurg,2015-2016,1400.0,108300.0,77.36
Maharashtra,Sindhudurg,2016-2017,1209.0,121400.0,100.41
Maharashtra,Sindhudurg,2017-2018,1098.0,65900.0,60.02
Maharashtra,Sindhudurg,2022-2023,1236.0,99127.2,80.2
Maharashtra,Solapur,2013-2014,122600.0,10488200.0,85.55
Maharashtra,Solapur,2014-2015,205500.0,20049700.0,97.57
Maharashtra,Solapur,2015-2016,183100.0,10964400.0,59.88
Maharashtra,Solapur,2016-2017,64744.0,4762070.0,73.55
Maharashtra,Solapur,2017-2018,100505.0,10468150.0,104.16
Maharashtra,Solapur,2018-2019,190018.0,14093635.0,74.17
Maharashtra,Solapur,2019-2020,97086.0,8886198.0,91.53
Maharashtra,Solapur,2020-2021,215000.0,22608354.26,105.16
Maharashtra,Solapur,2021-2022,254125.0,26087769.41,102.66
Maharashtra,Solapur,2022-2023,230050.0,20058059.5,87.19
Maharashtra,Thane,2022-2023,11.0,882.2,80.2
Maharashtra,Wardha,2013-2014,3200.0,187500.0,58.59
Maharashtra,Wardha,2014-2015,3100.0,201800.0,65.1
Maharashtra,Wardha,2015-2016,3100.0,214700.0,69.26
Maharashtra,Wardha,2016-2017,3017.0,180200.0,59.73
Maharashtra,Wardha,2017-2018,2168.0,130100.0,60.01
Maharashtra,Wardha,2018-2019,2505.0,169488.0,67.66
Maharashtra,Wardha,2019-2020,2660.0,171916.0,64.63
Maharashtra,Wardha,2020-2021,1407.0,96250.0,68.41
Maharashtra,Wardha,2021-2022,532.0,33576.96,63.11
Maharashtra,Wardha,2022-2023,1784.0,89200.0,50.0
Maharashtra,Washim,2014-2015,200.0,5800.0,29.0
Maharashtra,Washim,2015-2016,200.0,7200.0,36.0
Maharashtra,Washim,2016-2017,256.0,13500.0,52.73
Maharashtra,Washim,2017-2018,154.0,6900.0,44.81
Maharashtra,Washim,2018-2019,183.0,8784.0,48.0
Maharashtra,Washim,2019-2020,99.0,4178.0,42.2
Maharashtra,Washim,2022-2023,117.0,5850.0,50.0
Maharashtra,Yavatmal,2013-2014,6500.0,490700.0,75.49
Maharashtra,Yavatmal,2014-2015,8100.0,553700.0,68.36
Maharashtra,Yavatmal,2015-2016,13600.0,908400.0,66.79
Maharashtra,Yavatmal,2016-2017,12493.0,888300.0,71.1
Maharashtra,Yavatmal,2017-2018,14127.0,593300.0,42.0
Maharashtra,Yavatmal,2018-2019,3826.0,229560.0,60.0
Maharashtra,Yavatmal,2019-2020,8846.0,614827.0,69.5
Maharashtra,Yavatmal,2020-2021,10960.0,827719.91,75.52
Maharashtra,Yavatmal,2021-2022,12011.0,1184561.8,98.62
Maharashtra,Yavatmal,2022-2023,12000.0,763560.0,63.63
Manipur,Bishnupur,2013-2014,1760.0,103000.0,58.52
Manipur,Bishnupur,2014-2015,1760.0,103000.0,58.52
Manipur,Bishnupur,2015-2016,1750.0,105000.0,60.0
Manipur,Bishnupur,2016-2017,1750.0,105000.0,60.0
Manipur,Bishnupur,2017-2018,1750.0,105000.0,60.0
Manipur,Bishnupur,2018-2019,1200.0,73000.0,60.83
Manipur,Bishnupur,2021-2022,1000.0,60250.0,60.25
Manipur,Bishnupur,2022-2023,1000.0,60250.0,60.25
Manipur,Chandel,2013-2014,260.0,14630.0,56.27
Manipur,Chandel,2014-2015,260.0,14630.0,56.27
Manipur,Chandel,2015-2016,300.0,14090.0,46.97
Manipur,Chandel,2016-2017,300.0,14090.0,46.97
Manipur,Chandel,2017-2018,300.0,14090.0,46.97
Manipur,Chandel,2018-2019,300.0,14090.0,46.97
Manipur,Chandel,2021-2022,300.0,14090.0,46.97
Manipur,Chandel,2022-2023,280.0,13850.0,49.46
Manipur,Churachandpur,2013-2014,240.0,13600.0,56.67
Manipur,Churachandpur,2014-2015,240.0,13600.0,56.67
Manipur,Churachandpur,2015-2016,280.0,13070.0,46.68
Manipur,Churachandpur,2016-2017,280.0,13070.0,46.68
Manipur,Churachandpur,2017-2018,280.0,13070.0,46.68
Manipur,Churachandpur,2018-2019,280.0,13070.0,46.68
Manipur,Churachandpur,2021-2022,280.0,12350.0,44.11
Manipur,Churachandpur,2022-2023,230.0,9750.0,42.39
Manipur,Imphal east,2013-2014,630.0,37000.0,58.73
Manipur,Imphal east,2014-2015,630.0,37000.0,58.73
Manipur,Imphal east,2015-2016,620.0,39430.0,63.6
Manipur,Imphal east,2016-2017,620.0,39430.0,63.6
Manipur,Imphal east,2017-2018,620.0,39430.0,63.6
Manipur,Imphal east,2018-2019,620.0,38500.0,62.1
Manipur,Imphal east,2021-2022,620.0,39430.0,63.6
Manipur,Imphal east,2022-2023,600.0,34260.0,57.1
Manipur,Imphal west,2013-2014,890.0,51000.0,57.3
Manipur,Imphal west,2014-2015,890.0,51000.0,57.3
Manipur,Imphal west,2015-2016,870.0,52290.0,60.1
Manipur,Imphal west,2016-2017,870.0,52290.0,60.1
Manipur,Imphal west,2017-2018,870.0,52290.0,60.1
Manipur,Imphal west,2018-2019,870.0,52290.0,60.1
Manipur,Imphal west,2021-2022,530.0,28770.0,54.28
Manipur,Imphal west,2022-2023,790.0,46210.0,58.49
Manipur,Senapati,2013-2014,230.0,13110.0,57.0
Manipur,Senapati,2014-2015,230.0,13110.0,57.0
Manipur,Senapati,2015-2016,270.0,12850.0,47.59
Manipur,Senapati,2016-2017,270.0,12850.0,47.59
Manipur,Senapati,2017-2018,270.0,12850.0,47.59
Manipur,Senapati,2018-2019,270.0,12850.0,47.59
Manipur,Senapati,2021-2022,300.0,13250.0,44.17
Manipur,Senapati,2022-2023,300.0,13250.0,44.17
Manipur,Tamenglong,2013-2014,210.0,11910.0,56.71
Manipur,Tamenglong,2014-2015,210.0,11910.0,56.71
Manipur,Tamenglong,2015-2016,250.0,13100.0,52.4
Manipur,Tamenglong,2016-2017,250.0,13100.0,52.4
Manipur,Tamenglong,2017-2018,250.0,13100.0,52.4
Manipur,Tamenglong,2018-2019,250.0,13100.0,52.4
Manipur,Tamenglong,2021-2022,250.0,13100.0,52.4
Manipur,Tamenglong,2022-2023,250.0,13040.0,52.16
Manipur,Thoubal,2013-2014,1460.0,86010.0,58.91
Manipur,Thoubal,2014-2015,1460.0,86010.0,58.91
Manipur,Thoubal,2015-2016,1450.0,87270.0,60.19
Manipur,Thoubal,2016-2017,1450.0,87270.0,60.19
Manipur,Thoubal,2017-2018,1450.0,87270.0,60.19
Manipur,Thoubal,2018-2019,1450.0,87270.0,60.19
Manipur,Thoubal,2021-2022,1450.0,87270.0,60.19
Manipur,Thoubal,2022-2023,1370.0,88000.0,64.23
Manipur,Ukhrul,2013-2014,170.0,9050.0,53.24
Manipur,Ukhrul,2014-2015,170.0,9050.0,53.24
Manipur,Ukhrul,2015-2016,210.0,10900.0,51.9
Manipur,Ukhrul,2016-2017,210.0,10900.0,51.9
Manipur,Ukhrul,2017-2018,210.0,10900.0,51.9
Manipur,Ukhrul,2018-2019,210.0,10900.0,51.9
Manipur,Ukhrul,2021-2022,210.0,10900.0,51.9
Manipur,Ukhrul,2022-2023,210.0,10900.0,51.9
Meghalaya,East garo hills,2013-2014,21.0,62.0,2.95
Meghalaya,East garo hills,2014-2015,22.0,64.0,2.91
Meghalaya,East garo hills,2015-2016,24.0,71.0,2.96
Meghalaya,East garo hills,2016-2017,24.0,71.0,2.96
Meghalaya,East garo hills,2017-2018,24.0,71.0,2.96
Meghalaya,East garo hills,2018-2019,25.0,74.0,2.96
Meghalaya,East garo hills,2019-2020,26.0,77.0,2.96
Meghalaya,East garo hills,2020-2021,27.0,80.0,2.96
Meghalaya,East garo hills,2022-2023,28.0,83.0,2.96
Meghalaya,East jaintia hills,2013-2014,5.0,4.0,0.8
Meghalaya,East jaintia hills,2014-2015,5.0,4.0,0.8
Meghalaya,East jaintia hills,2015-2016,6.0,5.0,0.83
Meghalaya,East jaintia hills,2016-2017,6.0,5.0,0.83
Meghalaya,East jaintia hills,2017-2018,6.0,5.0,0.83
Meghalaya,East jaintia hills,2018-2019,6.0,5.0,0.83
Meghalaya,East jaintia hills,2019-2020,6.0,5.0,0.83
Meghalaya,East jaintia hills,2020-2021,6.0,5.0,0.83
Meghalaya,East jaintia hills,2022-2023,6.0,5.0,0.83
Meghalaya,North garo hills,2013-2014,17.0,52.0,3.06
Meghalaya,North garo hills,2014-2015,18.0,56.0,3.11
Meghalaya,North garo hills,2015-2016,19.0,57.0,3.0
Meghalaya,North garo hills,2016-2017,20.0,58.0,2.9
Meghalaya,North garo hills,2017-2018,20.0,58.0,2.9
Meghalaya,North garo hills,2018-2019,21.0,61.0,2.9
Meghalaya,North garo hills,2019-2020,22.0,64.0,2.91
Meghalaya,North garo hills,2020-2021,23.0,67.0,2.91
Meghalaya,North garo hills,2022-2023,24.0,70.0,2.92
Meghalaya,South garo hills,2013-2014,9.0,32.0,3.56
Meghalaya,South garo hills,2014-2015,10.0,37.0,3.7
Meghalaya,South garo hills,2015-2016,10.0,38.0,3.8
Meghalaya,South garo hills,2016-2017,11.0,39.0,3.55
Meghalaya,South garo hills,2017-2018,11.0,39.0,3.55
Meghalaya,South garo hills,2018-2019,11.0,39.0,3.55
Meghalaya,South garo hills,2019-2020,11.0,39.0,3.55
Meghalaya,South garo hills,2020-2021,11.0,39.0,3.55
Meghalaya,South garo hills,2022-2023,11.0,39.0,3.55
Meghalaya,South west garo hills,2013-2014,11.0,40.0,3.64
Meghalaya,South west garo hills,2014-2015,12.0,43.0,3.58
Meghalaya,South west garo hills,2015-2016,12.0,44.0,3.67
Meghalaya,South west garo hills,2016-2017,13.0,45.0,3.46
Meghalaya,South west garo hills,2017-2018,13.0,45.0,3.46
Meghalaya,South west garo hills,2018-2019,15.0,52.0,3.47
Meghalaya,South west garo hills,2019-2020,15.0,52.0,3.47
Meghalaya,South west garo hills,2020-2021,15.0,52.0,3.47
Meghalaya,South west garo hills,2022-2023,15.0,52.0,3.47
Meghalaya,West garo hills,2013-2014,26.0,93.0,3.58
Meghalaya,West garo hills,2014-2015,28.0,99.0,3.54
Meghalaya,West garo hills,2015-2016,28.0,101.0,3.61
Meghalaya,West garo hills,2016-2017,29.0,103.0,3.55
Meghalaya,West garo hills,2017-2018,29.0,103.0,3.55
Meghalaya,West garo hills,2018-2019,29.0,103.0,3.55
Meghalaya,West garo hills,2019-2020,30.0,107.0,3.57
Meghalaya,West garo hills,2020-2021,30.0,107.0,3.57
Meghalaya,West garo hills,2022-2023,30.0,107.0,3.57
Meghalaya,West jaintia hills,2013-2014,7.0,8.0,1.14
Meghalaya,West jaintia hills,2014-2015,6.0,7.0,1.17
Meghalaya,West jaintia hills,2015-2016,7.0,9.0,1.29
Meghalaya,West jaintia hills,2016-2017,7.0,9.0,1.29
Meghalaya,West jaintia hills,2017-2018,7.0,9.0,1.29
Meghalaya,West jaintia hills,2018-2019,7.0,9.0,1.29
Meghalaya,West jaintia hills,2019-2020,7.0,9.0,1.29
Meghalaya,West jaintia hills,2020-2021,7.0,9.0,1.29
Meghalaya,West jaintia hills,2022-2023,7.0,9.0,1.29
Meghalaya,West khasi hills,2013-2014,9.0,24.0,2.67
Meghalaya,West khasi hills,2014-2015,10.0,28.0,2.8
Meghalaya,West khasi hills,2015-2016,11.0,31.0,2.82
Meghalaya,West khasi hills,2016-2017,11.0,31.0,2.82
Meghalaya,West khasi hills,2017-2018,11.0,31.0,2.82
Meghalaya,West khasi hills,2018-2019,11.0,31.0,2.82
Meghalaya,West khasi hills,2019-2020,11.0,31.0,2.82
Meghalaya,West khasi hills,2020-2021,11.0,31.0,2.82
Mizoram,Aizawl,2013-2014,412.0,860.0,2.09
Mizoram,Aizawl,2014-2015,413.0,14455.0,35.0
Mizoram,Aizawl,2015-2016,421.0,15288.0,36.31
Mizoram,Aizawl,2016-2017,428.0,15630.0,36.52
Mizoram,Aizawl,2017-2018,439.0,16041.0,36.54
Mizoram,Aizawl,2018-2019,395.0,14870.0,37.65
Mizoram,Aizawl,2019-2020,395.0,12047.0,30.5
Mizoram,Aizawl,2020-2021,365.0,11243.0,30.8
Mizoram,Aizawl,2021-2022,245.0,7969.0,32.53
Mizoram,Aizawl,2022-2023,393.0,9655.0,24.57
Mizoram,Champhai,2013-2014,141.0,1781.0,12.63
Mizoram,Champhai,2014-2015,179.0,2362.0,13.2
Mizoram,Champhai,2015-2016,182.0,5055.0,27.77
Mizoram,Champhai,2016-2017,181.0,2730.0,15.08
Mizoram,Champhai,2017-2018,173.1,861.9,4.98
Mizoram,Champhai,2018-2019,106.0,740.0,6.98
Mizoram,Champhai,2019-2020,97.0,3137.0,32.34
Mizoram,Champhai,2020-2021,59.0,1897.0,32.15
Mizoram,Champhai,2021-2022,74.0,1072.0,14.49
Mizoram,Champhai,2022-2023,61.0,2440.0,40.0
Mizoram,Hnahthial,2020-2021,29.0,158.0,5.45
Mizoram,Hnahthial,2021-2022,13.0,190.0,14.62
Mizoram,Hnahthial,2022-2023,38.0,167.0,4.39
Mizoram,Khawzawl,2020-2021,26.0,360.0,13.85
Mizoram,Khawzawl,2021-2022,3.0,45.0,15.0
Mizoram,Khawzawl,2022-2023,24.0,360.0,15.0
Mizoram,Kolasib,2013-2014,181.0,2763.0,15.27
Mizoram,Kolasib,2014-2015,183.0,4575.0,25.0
Mizoram,Kolasib,2015-2016,189.0,4982.0,26.36
Mizoram,Kolasib,2016-2017,192.0,5065.0,26.38
Mizoram,Kolasib,2017-2018,198.0,5224.0,26.38
Mizoram,Kolasib,2018-2019,198.0,5375.0,27.15
Mizoram,Kolasib,2019-2020,199.0,5973.0,30.02
Mizoram,Kolasib,2020-2021,175.0,5293.0,30.25
Mizoram,Kolasib,2021-2022,146.0,4415.0,30.24
Mizoram,Kolasib,2022-2023,135.0,3775.0,27.96
Mizoram,Lawngtlai,2013-2014,59.0,696.0,11.8
Mizoram,Lawngtlai,2014-2015,59.0,1180.0,20.0
Mizoram,Lawngtlai,2015-2016,60.0,2095.0,34.92
Mizoram,Lawngtlai,2016-2017,71.0,2485.0,35.0
Mizoram,Lawngtlai,2017-2018,58.0,2025.5,34.92
Mizoram,Lawngtlai,2018-2019,62.0,2077.0,33.5
Mizoram,Lawngtlai,2019-2020,64.0,2040.0,31.88
Mizoram,Lawngtlai,2020-2021,64.0,2043.0,31.92
Mizoram,Lawngtlai,2021-2022,60.0,1597.0,26.62
Mizoram,Lawngtlai,2022-2023,76.0,2466.0,32.45
Mizoram,Lunglei,2013-2014,105.0,297.0,2.83
Mizoram,Lunglei,2014-2015,101.0,3030.0,30.0
Mizoram,Lunglei,2015-2016,110.0,3630.0,33.0
Mizoram,Lunglei,2016-2017,110.0,3960.0,36.0
Mizoram,Lunglei,2017-2018,87.9,1999.0,22.74
Mizoram,Lunglei,2018-2019,89.0,2092.0,23.51
Mizoram,Lunglei,2019-2020,91.0,1940.0,21.32
Mizoram,Lunglei,2020-2021,79.0,1796.0,22.73
Mizoram,Lunglei,2021-2022,80.0,987.0,12.34
Mizoram,Lunglei,2022-2023,95.0,997.0,10.49
Mizoram,Mamit,2013-2014,67.0,501.0,7.48
Mizoram,Mamit,2014-2015,56.0,1680.0,30.0
Mizoram,Mamit,2015-2016,60.0,2010.0,33.5
Mizoram,Mamit,2016-2017,80.0,2240.0,28.0
Mizoram,Mamit,2017-2018,83.0,485.0,5.84
Mizoram,Mamit,2018-2019,85.0,438.0,5.15
Mizoram,Mamit,2019-2020,102.0,3071.0,30.11
Mizoram,Mamit,2020-2021,33.0,755.0,22.88
Mizoram,Mamit,2021-2022,100.0,1206.0,12.06
Mizoram,Mamit,2022-2023,95.0,2275.0,23.95
Mizoram,Saiha,2013-2014,16.0,41.0,2.56
Mizoram,Saiha,2014-2015,10.0,350.0,35.0
Mizoram,Saiha,2015-2016,10.0,360.0,36.0
Mizoram,Saiha,2016-2017,11.0,396.0,36.0
Mizoram,Saiha,2017-2018,10.0,355.0,35.5
Mizoram,Saiha,2018-2019,7.0,260.0,37.14
Mizoram,Saiha,2020-2021,5.0,100.0,20.0
Mizoram,Saiha,2021-2022,5.0,80.0,16.0
Mizoram,Saitual,2020-2021,22.0,681.0,30.95
Mizoram,Saitual,2021-2022,41.0,908.0,22.15
Mizoram,Saitual,2022-2023,27.0,756.0,28.0
Mizoram,Serchhip,2013-2014,440.0,40.0,0.09
Mizoram,Serchhip,2014-2015,475.0,16625.0,35.0
Mizoram,Serchhip,2015-2016,510.0,17850.0,35.0
Mizoram,Serchhip,2016-2017,515.0,18026.0,35.0
Mizoram,Serchhip,2017-2018,509.8,17843.7,35.0
Mizoram,Serchhip,2018-2019,520.0,18408.0,35.4
Mizoram,Serchhip,2019-2020,520.0,18634.0,35.83
Mizoram,Serchhip,2020-2021,520.0,18634.0,35.83
Mizoram,Serchhip,2021-2022,520.0,18480.0,35.54
Mizoram,Serchhip,2022-2023,520.0,18480.0,35.54
Nagaland,Chumoukedima,2022-2023,274.0,11995.0,43.78
Nagaland,Dimapur,2014-2015,1140.0,49630.0,43.54
Nagaland,Dimapur,2015-2016,1160.0,50500.0,43.53
Nagaland,Dimapur,2016-2017,1160.0,50500.0,43.53
