State,District,Year,cotton_area,cotton_production,cotton_yield
Chhattisgarh,Durg,2016-2017,29,49,1.69
Chhattisgarh,Durg,2017-2018,171,254,1.49
Chhattisgarh,Durg,2018-2019,302,449,1.49
Chhattisgarh,Durg,2019-2020,624,"1,006.00",1.61
Chhattisgarh,Durg,2020-2021,982,"1,754.00",1.79
Chhattisgarh,Durg,2021-2022,982,"1,461.00",1.49
Chhattisgarh,Durg,2022-2023,"2,375.00","1,651.00",0.7
Chhattisgarh,Gariyaband,2019-2020,1,3,3.0
Chhattisgarh,Gariyaband,2020-2021,2,6,3.0
Chhattisgarh,Gariyaband,2021-2022,3,1,0.33
Chhattisgarh,Gariyaband,2022-2023,6,3,0.5
Chhattisgarh,Kabirdham,2013-2014,2,5,2.5
Chhattisgarh,Khairgarh chhuikhadan gandai,2022-2023,"1,330.00",481,0.36
Chhattisgarh,Manendragarh chirimiri bharatpur,2022-2023,3,9,3.0
Chhattisgarh,Mohla manpur ambagarh chouki,2022-2023,12,4,0.33
Chhattisgarh,Mungeli,2020-2021,73,159,2.18
Chhattisgarh,Mungeli,2021-2022,64,101,1.58
Chhattisgarh,Raipur,2015-2016,7,16,2.29
Chhattisgarh,Raipur,2016-2017,9,20,2.22
Chhattisgarh,Raipur,2017-2018,32,64,2.0
Chhattisgarh,Raipur,2018-2019,28,70,2.5
Chhattisgarh,Raipur,2019-2020,137,319,2.33
Chhattisgarh,Raipur,2020-2021,226,527,2.33
Chhattisgarh,Raipur,2021-2022,254,635,2.5
Chhattisgarh,Raipur,2022-2023,956,383,0.4
Chhattisgarh,Rajnandgaon,2015-2016,11,30,2.73
Chhattisgarh,Rajnandgaon,2016-2017,9,29,3.22
Chhattisgarh,Rajnandgaon,2017-2018,50,150,3.0
Chhattisgarh,Rajnandgaon,2018-2019,144,430,2.99
Chhattisgarh,Rajnandgaon,2019-2020,395,"1,274.00",3.23
Chhattisgarh,Rajnandgaon,2020-2021,584,"1,883.00",3.22
Chhattisgarh,Rajnandgaon,2021-2022,627,"2,022.00",3.22
Chhattisgarh,Rajnandgaon,2022-2023,"1,448.00",524,0.36
Chhattisgarh,Sarangarh bilaigarh,2022-2023,2,1,0.5
Chhattisgarh,Sukma,2020-2021,327,846,2.59
Chhattisgarh,Sukma,2021-2022,6,12,2.0
Chhattisgarh,Sukma,2022-2023,12,6,0.5
Gujarat,Ahmadabad,2013-2014,"1,77,864.00","3,65,249.00",2.05
Gujarat,Ahmadabad,2014-2015,"1,59,044.00","2,66,317.00",1.67
Gujarat,Ahmadabad,2015-2016,"1,31,881.00","3,02,016.00",2.29
Gujarat,Ahmadabad,2016-2017,"1,06,997.00","2,41,209.00",2.25
Gujarat,Ahmadabad,2017-2018,"1,05,422.00","2,76,885.00",2.63
Gujarat,Ahmadabad,2018-2019,"1,03,200.00","1,79,965.00",1.74
Gujarat,Ahmadabad,2019-2020,"1,13,401.00","1,83,140.00",1.61
Gujarat,Ahmadabad,2020-2021,"1,15,728.00","1,86,397.00",1.61
Gujarat,Ahmadabad,2021-2022,"97,511.00","1,582.36",0.02
Gujarat,Ahmadabad,2022-2023,"53,957.00","1,37,895.00",2.56
Gujarat,Amreli,2013-2014,"3,47,234.00","19,15,027.00",5.52
Gujarat,Amreli,2014-2015,"4,12,952.00","7,49,800.00",1.82
Gujarat,Amreli,2015-2016,"3,78,757.00","10,60,172.00",2.8
Gujarat,Amreli,2016-2017,"3,48,632.00","5,84,455.00",1.68
Gujarat,Amreli,2017-2018,"3,74,746.00","8,35,007.00",2.23
Gujarat,Amreli,2018-2019,"4,02,302.00","5,52,628.00",1.37
Gujarat,Amreli,2019-2020,"4,02,664.00","14,66,989.00",3.64
Gujarat,Amreli,2020-2021,"3,31,335.00","8,11,458.00",2.45
Gujarat,Amreli,2021-2022,"3,01,849.00","9,590.47",0.03
Gujarat,Amreli,2022-2023,"3,51,764.00","12,15,953.00",3.46
Gujarat,Anand,2013-2014,"6,120.00","29,759.00",4.86
Gujarat,Anand,2014-2015,"5,239.00","27,127.00",5.18
Gujarat,Anand,2015-2016,"2,941.00","12,272.00",4.17
Gujarat,Anand,2016-2017,"2,205.00","8,507.00",3.86
