State,District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2018 - 2019,,,,559,308,0.55,,,
,,2019 - 2020,,,,464,188,0.41,,,
,,2020 - 2021,,,,456,202,0.44,,,
,,2021 - 2022,,,,51,26,0.51,,,
,,2022 - 2023,,,,108,59,0.55,,,
,45. Sheopur,2013 - 2014,,,,"1,894.00","1,421.00",0.75,,,
,,2014 - 2015,,,,"5,000.00","6,000.00",1.2,,,
,,2015 - 2016,,,,"1,000.00","1,000.00",1,,,
,,2016 - 2017,,,,"2,000.00","2,000.00",1,,,
,,2017 - 2018,,,,"2,010.00","1,830.00",0.91,,,
,,2018 - 2019,,,,"9,242.00","7,763.00",0.84,,,
,,2019 - 2020,,,,518,546,1.05,,,
,,2020 - 2021,,,,622,513,0.82,,,
,,2021 - 2022,,,,601,394,0.66,,,
,,2022 - 2023,,,,102,98,0.96,,,
,46. Shivpuri,2013 - 2014,,,,874,296,0.34,,,
,,2014 - 2015,,,,"5,000.00","4,000.00",0.8,,,
,,2015 - 2016,,,,"2,000.00","1,000.00",0.5,,,
,,2018 - 2019,,,,237,137,0.58,,,
,,2019 - 2020,,,,63,33,0.52,,,
,,2020 - 2021,,,,42,22,0.52,,,
,,2021 - 2022,,,,38,22,0.58,,,
,,2022 - 2023,,,,28,21,0.75,,,
,47. Sidhi,2013 - 2014,,,,"18,643.00","5,890.00",0.32,,,
,,2014 - 2015,,,,"20,000.00","18,000.00",0.9,,,
,,2015 - 2016,,,,"30,000.00","32,000.00",1.07,,,
,,2016 - 2017,,,,"21,000.00","20,000.00",0.95,,,
,,2017 - 2018,,,,"21,500.00","32,100.00",1.49,,,
,,2018 - 2019,,,,"6,792.00","3,131.00",0.46,,,
,,2019 - 2020,,,,"21,438.00","25,618.00",1.19,,,
,,2020 - 2021,,,,"19,984.00","26,379.00",1.32,,,
,,2021 - 2022,,,,"17,932.00","12,248.00",0.68,,,
,,2022 - 2023,,,,"16,551.00","11,917.00",0.72,,,
,48. Singrauli,2013 - 2014,,,,"17,449.00","24,635.00",1.41,,,
,,2014 - 2015,,,,"22,000.00","32,000.00",1.45,,,
,,2015 - 2016,,,,"23,000.00","45,000.00",1.96,,,
,,2016 - 2017,,,,"23,000.00","22,000.00",0.96,,,
,,2017 - 2018,,,,"24,700.00","26,920.00",1.09,,,
,,2018 - 2019,,,,"2,909.00","4,355.00",1.5,,,
,,2019 - 2020,,,,"24,530.00","57,351.00",2.34,,,
,,2020 - 2021,,,,"22,752.00","38,109.00",1.67,,,
,,2021 - 2022,,,,"19,664.00","23,696.00",1.21,,,
,,2022 - 2023,,,,"18,849.00","12,063.00",0.64,,,
,49. Tikamgarh,2013 - 2014,,,,61,4,0.07,,,
,,2016 - 2017,,,,"7,000.00","7,000.00",1,,,
,,2017 - 2018,,,,60,90,1.5,,,
,,2018 - 2019,,,,71,17,0.24,,,
,,2019 - 2020,,,,13,4,0.31,,,
,,2020 - 2021,,,,9,5,0.56,,,
,50. Ujjain,2013 - 2014,,,,"1,312.00",423,0.32,,,
,,2014 - 2015,,,,"5,000.00","4,000.00",0.8,,,
,,2015 - 2016,,,,"1,000.00","1,000.00",1,,,
,,2016 - 2017,,,,"7,000.00","10,000.00",1.43,,,
,,2017 - 2018,,,,870,660,0.76,,,
,,2018 - 2019,,,,317,180,0.57,,,
,,2019 - 2020,,,,270,135,0.5,,,
,,2020 - 2021,,,,192,214,1.11,,,
,,2021 - 2022,,,,8,10,1.25,,,
,,2022 - 2023,,,,69,51,0.74,,,
,51. Umaria,2013 - 2014,,,,"9,162.00","3,799.00",0.41,,,
,,2014 - 2015,,,,"12,000.00","9,000.00",0.75,,,
,,2015 - 2016,,,,"14,000.00","9,000.00",0.64,,,
,,2016 - 2017,,,,"19,000.00","22,000.00",1.16,,,
,,2017 - 2018,,,,"10,350.00","13,140.00",1.27,,,
,,2018 - 2019,,,,"4,239.00","1,823.00",0.43,,,
,,2019 - 2020,,,,"6,878.00","7,786.00",1.13,,,
,,2020 - 2021,,,,"7,873.00","8,739.00",1.11,,,
,,2021 - 2022,,,,"6,980.00","4,698.00",0.67,,,
,,2022 - 2023,,,,"5,390.00","3,746.00",0.69,,,
,52. Vidisha,2013 - 2014,,,,"9,092.00","4,982.00",0.55,,,
,,2014 - 2015,,,,"4,000.00","3,000.00",0.75,,,
,,2015 - 2016,,,,"5,000.00","2,000.00",0.4,,,
,,2016 - 2017,,,,"4,000.00","4,000.00",1,,,
,,2017 - 2018,,,,"7,300.00","8,320.00",1.14,,,
,,2018 - 2019,,,,"1,244.00",878,0.71,,,
,,2019 - 2020,,,,150,69,0.46,,,
,,2020 - 2021,,,,104,69,0.66,,,
,,2021 - 2022,,,,"1,164.00",875,0.75,,,
,,2022 - 2023,,,,250,210,0.84,,,
15. Maharashtra,1. Ahilyanagar,2013 - 2014,,,,"11,000.00","9,200.00",0.84,,,
,,2014 - 2015,,,,"9,100.00","1,800.00",0.2,,,
,,2015 - 2016,,,,"9,300.00","2,200.00",0.24,,,
,,2016 - 2017,,,,"21,968.00","22,038.00",1,,,
,,2017 - 2018,,,,"15,700.00","15,600.00",0.99,,,
,,2018 - 2019,,,,"19,058.00","4,757.00",0.25,,,
,,2019 - 2020,,,,"19,747.00","9,948.00",0.5,,,
,,2020 - 2021,,,,"20,664.59","15,667.30",0.76,,,
,,2021 - 2022,,,,"22,874.75","18,530.84",0.81,,,
,,2022 - 2023,,,,"23,881.00","22,018.00",0.92,,,
,2. Akola,2013 - 2014,,,,"66,500.00","83,800.00",1.26,,,
,,2014 - 2015,,,,"50,100.00","19,600.00",0.39,,,
,,2015 - 2016,,,,"54,300.00","45,100.00",0.83,,,
,,2016 - 2017,,,,"59,920.00","1,42,043.00",2.37,,,
,,2017 - 2018,,,,"58,681.00","59,742.00",1.02,,,
,,2018 - 2019,,,,"57,074.00","34,547.00",0.61,,,
,,2019 - 2020,,,,"50,907.00","1,15,501.00",2.27,,,
,,2020 - 2021,,,,"54,116.38","50,377.98",0.93,,,
,,2021 - 2022,,,,"57,839.22","1,58,086.14",2.73,,,
,,2022 - 2023,,,,"55,836.00","42,268.00",0.76,,,
,3. Amravati,2013 - 2014,,,,"96,200.00","1,33,900.00",1.39,,,
,,2014 - 2015,,,,"1,03,800.00","36,800.00",0.35,,,
,,2015 - 2016,,,,"1,08,200.00","57,600.00",0.53,,,
,,2016 - 2017,,,,"1,22,612.00","1,46,932.00",1.2,,,
,,2017 - 2018,,,,"1,12,300.00","1,11,100.00",0.99,,,
,,2018 - 2019,,,,"1,12,813.00","1,25,540.00",1.11,,,
,,2019 - 2020,,,,"1,10,012.00","90,183.00",0.82,,,
,,2020 - 2021,,,,"1,10,012.00","1,01,099.96",0.92,,,
,,2021 - 2022,,,,"1,14,828.33","1,13,392.98",0.99,,,
,,2022 - 2023,,,,"1,16,835.00","39,630.00",0.34,,,
,4. Beed,2013 - 2014,,,,"56,400.00","37,700.00",0.67,,,
,,2014 - 2015,,,,"60,600.00","10,200.00",0.17,,,
,,2015 - 2016,,,,"72,300.00","11,700.00",0.16,,,
,,2016 - 2017,,,,"89,190.00","81,624.00",0.92,,,
,,2017 - 2018,,,,"92,600.00","52,200.00",0.56,,,
,,2018 - 2019,,,,"51,121.00","5,609.00",0.11,,,
,,2019 - 2020,,,,"58,598.00","44,228.00",0.75,,,
,,2020 - 2021,,,,"60,460.09","87,034.29",1.44,,,
,,2021 - 2022,,,,"66,224.16","54,740.89",0.83,,,
,,2022 - 2023,,,,"48,520.00","41,795.00",0.86,,,
,5. Bhandara,2013 - 2014,,,,"11,300.00","7,100.00",0.63,,,
,,2014 - 2015,,,,"11,600.00","4,000.00",0.34,,,
,,2015 - 2016,,,,"11,500.00","5,200.00",0.45,,,
,,2016 - 2017,,,,"11,824.00","22,988.00",1.94,,,
,,2017 - 2018,,,,"12,305.00","13,120.00",1.07,,,
,,2018 - 2019,,,,"12,865.00","12,743.00",0.99,,,
,,2019 - 2020,,,,"10,414.00","5,207.00",0.5,,,
,,2020 - 2021,,,,"10,886.40","16,266.46",1.49,,,
,,2021 - 2022,,,,"10,963.93","6,541.08",0.6,,,
,,2022 - 2023,,,,"11,041.00","4,710.00",0.43,,,
,6. Buldhana,2013 - 2014,,,,"21,100.00","14,800.00",0.7,,,
,,2014 - 2015,,,,"69,600.00","18,500.00",0.27,,,
,,2015 - 2016,,,,"72,600.00","24,200.00",0.33,,,
,,2016 - 2017,,,,"77,864.00","64,484.00",0.83,,,
,,2017 - 2018,,,,"76,195.00","47,788.00",0.63,,,
,,2018 - 2019,,,,"88,381.00","45,400.00",0.51,,,
,,2019 - 2020,,,,"93,099.00","1,11,274.00",1.2,,,
,,2020 - 2021,,,,"94,953.55","1,42,648.30",1.5,,,
,,2021 - 2022,,,,"1,00,510.05","3,71,696.23",3.7,,,
,,2022 - 2023,,,,"78,974.00","68,944.00",0.87,,,
,7. Chandrapur,2013 - 2014,,,,"32,600.00","28,500.00",0.87,,,
,,2014 - 2015,,,,"38,200.00","19,800.00",0.52,,,
,,2015 - 2016,,,,"38,700.00","26,200.00",0.68,,,
,,2016 - 2017,,,,"40,143.00","72,902.00",1.82,,,
,,2017 - 2018,,,,"40,431.00","53,949.00",1.33,,,
,,2018 - 2019,,,,"44,322.00","48,875.00",1.1,,,
,,2019 - 2020,,,,"46,520.00","62,586.00",1.35,,,
,,2020 - 2021,,,,"47,931.74","77,837.08",1.62,,,
,,2021 - 2022,,,,"49,800.35","45,029.47",0.9,,,
,,2022 - 2023,,,,"51,520.00","91,289.00",1.77,,,
,8. Chhatrapati Sambhajinagar,2013 - 2014,,,,"28,600.00","26,800.00",0.94,,,
,,2014 - 2015,,,,"32,900.00","8,700.00",0.26,,,
,,2015 - 2016,,,,"44,600.00","12,100.00",0.27,,,
,,2016 - 2017,,,,"60,725.00","71,469.00",1.18,,,
,,2017 - 2018,,,,"63,900.00","52,600.00",0.82,,,
,,2018 - 2019,,,,"37,901.00","9,835.00",0.26,,,
,,2019 - 2020,,,,"37,808.00","29,059.00",0.77,,,
,,2020 - 2021,,,,"40,863.31","28,337.08",0.69,,,
,,2021 - 2022,,,,"40,863.31","25,200.40",0.62,,,
,,2022 - 2023,,,,"32,605.00","19,674.00",0.6,,,
,9. Dharashiv,2013 - 2014,,,,"1,01,000.00","1,15,700.00",1.15,,,
,,2014 - 2015,,,,"1,01,000.00","28,600.00",0.28,,,
,,2015 - 2016,,,,"60,500.00","8,700.00",0.14,,,
,,2016 - 2017,,,,"66,804.00","58,649.00",0.88,,,
,,2017 - 2018,,,,"70,300.00","58,100.00",0.83,,,
,,2018 - 2019,,,,"58,049.00","13,351.00",0.23,,,
,,2019 - 2020,,,,"66,619.00","24,783.00",0.37,,,
,,2020 - 2021,,,,"69,376.95","65,014.01",0.94,,,
,,2021 - 2022,,,,"69,628.55","49,450.19",0.71,,,
,,2022 - 2023,,,,"41,972.00","26,094.00",0.62,,,
,10. Dhule,2013 - 2014,,,,"9,000.00","7,500.00",0.83,,,
,,2014 - 2015,,,,"11,600.00","5,200.00",0.45,,,
,,2015 - 2016,,,,"15,000.00","5,300.00",0.35,,,
,,2016 - 2017,,,,"9,082.00","7,639.00",0.84,,,
,,2017 - 2018,,,,"9,900.00","9,300.00",0.94,,,
,,2018 - 2019,,,,"11,036.00","4,240.00",0.38,,,
,,2019 - 2020,,,,"15,594.00","8,019.00",0.51,,,
,,2020 - 2021,,,,"15,939.95","10,242.60",0.64,,,
,,2021 - 2022,,,,"17,541.57","9,916.25",0.57,,,
,,2022 - 2023,,,,"3,097.00","1,992.00",0.64,,,
,11. Gadchiroli,2013 - 2014,,,,"4,100.00","2,600.00",0.63,,,
,,2014 - 2015,,,,"4,600.00","1,600.00",0.35,,,
,,2015 - 2016,,,,"4,600.00","1,800.00",0.39,,,
,,2016 - 2017,,,,"4,648.00","9,037.00",1.94,,,
,,2017 - 2018,,,,"5,299.00","5,650.00",1.07,,,
,,2018 - 2019,,,,"5,409.00","5,358.00",0.99,,,
,,2019 - 2020,,,,"5,349.00","4,814.00",0.9,,,
,,2020 - 2021,,,,"5,617.79","8,394.11",1.49,,,
,,2021 - 2022,,,,"5,362.21","6,396.58",1.19,,,
,,2022 - 2023,,,,"5,224.00","5,729.00",1.1,,,
,12. Gondia,2013 - 2014,,,,"6,000.00","3,800.00",0.63,,,
,,2014 - 2015,,,,"6,500.00","2,200.00",0.34,,,
,,2015 - 2016,,,,"6,500.00","2,900.00",0.45,,,
,,2016 - 2017,,,,"6,560.00","12,754.00",1.94,,,
,,2017 - 2018,,,,"6,354.00","6,775.00",1.07,,,
,,2018 - 2019,,,,"5,751.00","5,696.00",0.99,,,
,,2019 - 2020,,,,"5,868.00","4,107.00",0.7,,,
,,2020 - 2021,,,,"5,985.11","8,942.95",1.49,,,
,,2021 - 2022,,,,"5,860.25","6,990.70",1.19,,,
,,2022 - 2023,,,,"5,785.00","6,344.00",1.1,,,
,13. Hingoli,2013 - 2014,,,,"38,900.00","33,200.00",0.85,,,
,,2014 - 2015,,,,"41,100.00","18,500.00",0.45,,,
,,2015 - 2016,,,,"47,000.00","13,600.00",0.29,,,
,,2016 - 2017,,,,"76,379.00","82,738.00",1.08,,,
,,2017 - 2018,,,,"77,000.00","61,900.00",0.8,,,
,,2018 - 2019,,,,"47,044.00","18,150.00",0.39,,,
,,2019 - 2020,,,,"50,494.00","46,688.00",0.92,,,
,,2020 - 2021,,,,"46,272.87","13,092.29",0.28,,,
,,2021 - 2022,,,,"45,690.81","45,028.29",0.99,,,
,,2022 - 2023,,,,"44,459.00","27,311.00",0.61,,,
,14. Jalgaon,2013 - 2014,,,,"18,400.00","20,400.00",1.11,,,
,,2014 - 2015,,,,"15,600.00","8,200.00",0.53,,,
,,2015 - 2016,,,,"15,500.00","7,700.00",0.5,,,
,,2016 - 2017,,,,"19,764.00","21,387.00",1.08,,,
,,2017 - 2018,,,,"19,500.00","14,400.00",0.74,,,
,,2018 - 2019,,,,"20,891.00","10,516.00",0.5,,,
,,2019 - 2020,,,,"21,751.00","11,066.00",0.51,,,
,,2020 - 2021,,,,"21,085.50","17,119.11",0.81,,,
,,2021 - 2022,,,,"22,786.21","13,156.76",0.58,,,
,,2022 - 2023,,,,"11,916.00","9,023.00",0.76,,,
,15. Jalna,2013 - 2014,,,,"44,200.00","47,500.00",1.07,,,
,,2014 - 2015,,,,"47,200.00","11,900.00",0.25,,,
,,2015 - 2016,,,,"46,500.00","10,100.00",0.22,,,
,,2016 - 2017,,,,"46,176.00","61,424.00",1.33,,,
,,2017 - 2018,,,,"54,400.00","42,600.00",0.78,,,
,,2018 - 2019,,,,"54,333.00","19,263.00",0.35,,,
,,2019 - 2020,,,,"54,922.00","70,046.00",1.28,,,
,,2020 - 2021,,,,"53,863.75","66,346.67",1.23,,,
,,2021 - 2022,,,,"61,715.52","69,226.30",1.12,,,
,,2022 - 2023,,,,"48,935.00","56,114.00",1.15,,,
,16. Kolhapur,2013 - 2014,,,,400,200,0.5,,,
,,2014 - 2015,,,,"1,500.00",400,0.27,,,
,,2015 - 2016,,,,"1,500.00",200,0.13,,,
,,2016 - 2017,,,,"1,321.00",498,0.38,,,
,,2017 - 2018,,,,"2,000.00",300,0.15,,,
,,2018 - 2019,,,,"1,887.00","2,504.00",1.33,,,
,,2019 - 2020,,,,786,"1,545.00",1.97,,,
,,2020 - 2021,,,,695.57,418.25,0.6,,,
,,2021 - 2022,,,,888.16,"1,284.19",1.45,,,
,,2022 - 2023,,,,881,"1,045.00",1.19,,,
,17. Latur,2013 - 2014,,,,"1,12,400.00","1,56,200.00",1.39,,,
,,2014 - 2015,,,,"1,13,200.00","28,300.00",0.25,,,
,,2015 - 2016,,,,"1,16,200.00","30,900.00",0.27,,,
,,2016 - 2017,,,,"1,26,097.00","4,32,434.00",3.43,,,
,,2017 - 2018,,,,"1,11,300.00","1,31,400.00",1.18,,,
,,2018 - 2019,,,,"1,14,087.00","54,420.00",0.48,,,
,,2019 - 2020,,,,"1,08,642.00","1,32,824.00",1.22,,,
,,2020 - 2021,,,,"1,11,326.31","1,64,494.09",1.48,,,
,,2021 - 2022,,,,"1,15,458.26","73,916.38",0.64,,,
,,2022 - 2023,,,,"68,615.00","23,521.00",0.34,,,
,18. Nagpur,2013 - 2014,,,,"58,600.00","26,600.00",0.45,,,
,,2014 - 2015,,,,"62,000.00","21,100.00",0.34,,,
,,2015 - 2016,,,,"67,800.00","27,900.00",0.41,,,
,,2016 - 2017,,,,"65,650.00","1,68,643.00",2.57,,,
,,2017 - 2018,,,,"65,973.00","73,976.00",1.12,,,
,,2018 - 2019,,,,"63,334.00","49,192.00",0.78,,,
,,2019 - 2020,,,,"65,043.00","83,767.00",1.29,,,
,,2020 - 2021,,,,"67,757.56","1,02,809.48",1.52,,,
,,2021 - 2022,,,,"78,135.08","98,426.76",1.26,,,
,,2022 - 2023,,,,"57,804.00","70,151.00",1.21,,,
,19. Nanded,2013 - 2014,,,,"71,600.00","46,100.00",0.64,,,
,,2014 - 2015,,,,"71,600.00","14,700.00",0.21,,,
,,2015 - 2016,,,,"76,900.00","14,400.00",0.19,,,
,,2016 - 2017,,,,"86,628.00","1,04,818.00",1.21,,,
,,2017 - 2018,,,,"77,200.00","67,900.00",0.88,,,
,,2018 - 2019,,,,"74,341.00","68,706.00",0.92,,,
,,2019 - 2020,,,,"80,193.00","56,710.00",0.71,,,
,,2020 - 2021,,,,"80,193.14","85,722.64",1.07,,,
,,2021 - 2022,,,,"90,900.79","59,667.28",0.66,,,
,,2022 - 2023,,,,"64,133.00","58,278.00",0.91,,,
,20. Nandurbar,2013 - 2014,,,,"12,000.00","4,700.00",0.39,,,
,,2014 - 2015,,,,"12,600.00","2,800.00",0.22,,,
,,2015 - 2016,,,,"13,600.00","4,200.00",0.31,,,
,,2016 - 2017,,,,"17,925.00","9,592.00",0.54,,,
,,2017 - 2018,,,,"21,000.00","11,600.00",0.55,,,
,,2018 - 2019,,,,"20,597.00","4,788.00",0.23,,,
,,2019 - 2020,,,,"23,918.00","10,879.00",0.45,,,
,,2020 - 2021,,,,"24,864.60","12,098.13",0.49,,,
,,2021 - 2022,,,,"22,471.21","7,819.98",0.35,,,
,,2022 - 2023,,,,"12,760.00","6,165.00",0.48,,,
,21. Nashik,2013 - 2014,,,,"10,100.00","7,100.00",0.7,,,
,,2014 - 2015,,,,"5,700.00","1,500.00",0.26,,,
,,2015 - 2016,,,,"5,900.00","1,700.00",0.29,,,
,,2016 - 2017,,,,"7,437.00","5,673.00",0.76,,,
,,2017 - 2018,,,,"7,600.00","6,200.00",0.82,,,
,,2018 - 2019,,,,"7,579.00","1,891.00",0.25,,,
,,2019 - 2020,,,,"6,343.00","2,245.00",0.35,,,
,,2020 - 2021,,,,"6,220.59","5,629.33",0.9,,,
,,2021 - 2022,,,,"6,941.76","4,762.05",0.69,,,
,,2022 - 2023,,,,"5,939.00","4,692.00",0.79,,,
,22. Palghar,2014 - 2015,,,,"2,300.00",900,0.39,,,
,,2015 - 2016,,,,"2,500.00",900,0.36,,,
,,2016 - 2017,,,,"2,574.00","2,109.00",0.82,,,
,,2017 - 2018,,,,"2,500.00","1,200.00",0.48,,,
,,2018 - 2019,,,,"2,310.00",377,0.16,,,
,,2019 - 2020,,,,"2,310.00","1,026.00",0.44,,,
,,2020 - 2021,,,,"2,486.20","1,645.86",0.66,,,
,,2021 - 2022,,,,"2,903.30","1,746.34",0.6,,,
,,2022 - 2023,,,,"2,903.00","1,865.00",0.64,,,
,23. Parbhani,2013 - 2014,,,,"70,500.00","52,900.00",0.75,,,
,,2014 - 2015,,,,"68,600.00","14,100.00",0.21,,,
,,2015 - 2016,,,,"64,800.00","9,200.00",0.14,,,
,,2016 - 2017,,,,"52,753.00","66,643.00",1.26,,,
,,2017 - 2018,,,,"53,300.00","80,100.00",1.5,,,
,,2018 - 2019,,,,"42,947.00","19,383.00",0.45,,,
,,2019 - 2020,,,,"46,116.00","52,938.00",1.15,,,
,,2020 - 2021,,,,"46,115.15","59,386.76",1.29,,,
,,2021 - 2022,,,,"48,303.58","81,241.80",1.68,,,
,,2022 - 2023,,,,"47,085.00","42,589.00",0.9,,,
,24. Pune,2013 - 2014,,,,"4,200.00","2,400.00",0.57,,,
,,2014 - 2015,,,,"3,000.00",700,0.23,,,
,,2015 - 2016,,,,"1,300.00",600,0.46,,,
,,2016 - 2017,,,,"1,773.00","1,547.00",0.87,,,
,,2017 - 2018,,,,"2,000.00","1,300.00",0.65,,,
,,2018 - 2019,,,,"1,103.00",338,0.31,,,
,,2019 - 2020,,,,"2,122.00","1,374.00",0.65,,,
,,2020 - 2021,,,,"2,322.26","1,918.72",0.83,,,
,,2021 - 2022,,,,"1,986.17","1,512.67",0.76,,,
,,2022 - 2023,,,,997,829,0.83,,,
,25. Raigad,2013 - 2014,,,,600,300,0.5,,,
,,2014 - 2015,,,,"1,200.00",500,0.42,,,
,,2015 - 2016,,,,"1,600.00",600,0.38,,,
,,2016 - 2017,,,,"1,758.00","1,440.00",0.82,,,
,,2017 - 2018,,,,300,200,0.67,,,
,,2018 - 2019,,,,193,31,0.16,,,
,,2019 - 2020,,,,222,130,0.59,,,
,,2020 - 2021,,,,208.94,138.32,0.66,,,
,,2021 - 2022,,,,"1,290.52",776.25,0.6,,,
,,2022 - 2023,,,,980,630,0.64,,,
,26. Ratnagiri,2013 - 2014,,,,100,100,1,,,
,,2014 - 2015,,,,600,200,0.33,,,
,,2015 - 2016,,,,800,300,0.38,,,
,,2016 - 2017,,,,180,147,0.82,,,
,,2020 - 2021,,,,45.67,30.23,0.66,,,
,,2021 - 2022,,,,45.67,27.47,0.6,,,
,,2022 - 2023,,,,43,28,0.65,,,
,27. Sangli,2013 - 2014,,,,"6,300.00","3,300.00",0.52,,,
,,2014 - 2015,,,,"6,900.00","2,000.00",0.29,,,
,,2015 - 2016,,,,"5,300.00",600,0.11,,,
,,2016 - 2017,,,,"10,707.00","4,040.00",0.38,,,
,,2017 - 2018,,,,"7,400.00","2,200.00",0.3,,,
,,2018 - 2019,,,,"7,749.00","1,174.00",0.15,,,
,,2019 - 2020,,,,"8,152.00","1,676.00",0.21,,,
,,2020 - 2021,,,,"10,588.18","6,293.07",0.59,,,
,,2021 - 2022,,,,"11,929.24","7,360.34",0.62,,,
,,2022 - 2023,,,,"9,941.00","7,009.00",0.71,,,
,28. Satara,2013 - 2014,,,,"1,600.00",800,0.5,,,
,,2014 - 2015,,,,"1,300.00",400,0.31,,,
,,2015 - 2016,,,,"2,000.00",200,0.1,,,
,,2016 - 2017,,,,"2,326.00",878,0.38,,,
,,2017 - 2018,,,,"1,700.00",300,0.18,,,
,,2018 - 2019,,,,"1,635.00","1,165.00",0.71,,,
,,2019 - 2020,,,,"1,903.00","1,588.00",0.83,,,
,,2020 - 2021,,,,"1,153.00",392.14,0.34,,,
,,2021 - 2022,,,,"1,223.00",409.46,0.33,,,
,,2022 - 2023,,,,"1,122.00",978,0.87,,,
,29. Sindhudurg,2014 - 2015,,,,100,,0,,,
,,2015 - 2016,,,,700,300,0.43,,,
,,2016 - 2017,,,,713,584,0.82,,,
,,2020 - 2021,,,,2,1.32,0.66,,,
,,2021 - 2022,,,,2,1.2,0.6,,,
,30. Solapur,2013 - 2014,,,,"18,800.00","9,200.00",0.49,,,
,,2014 - 2015,,,,"18,800.00","9,000.00",0.48,,,
,,2015 - 2016,,,,"18,200.00","3,000.00",0.16,,,
,,2016 - 2017,,,,"29,968.00","16,798.00",0.56,,,
,,2017 - 2018,,,,"29,800.00","18,700.00",0.63,,,
,,2018 - 2019,,,,"35,316.00","4,052.00",0.11,,,
,,2019 - 2020,,,,"51,532.00","29,432.00",0.57,,,
,,2020 - 2021,,,,"55,028.24","33,980.26",0.62,,,
,,2021 - 2022,,,,"60,637.32","31,379.81",0.52,,,
,,2022 - 2023,,,,"62,818.00","33,495.00",0.53,,,
,31. Thane,2013 - 2014,,,,"2,800.00","1,500.00",0.54,,,
,,2014 - 2015,,,,400,200,0.5,,,
,,2015 - 2016,,,,600,200,0.33,,,
,,2016 - 2017,,,,79,65,0.82,,,
,,2020 - 2021,,,,744.4,492.79,0.66,,,
,,2021 - 2022,,,,"1,244.09",748.32,0.6,,,
,,2022 - 2023,,,,"1,256.00",806,0.64,,,
,32. Wardha,2013 - 2014,,,,"70,600.00","47,600.00",0.67,,,
,,2014 - 2015,,,,"72,800.00","19,200.00",0.26,,,
,,2015 - 2016,,,,"77,900.00","29,000.00",0.37,,,
,,2016 - 2017,,,,"84,984.00","1,28,712.00",1.51,,,
,,2017 - 2018,,,,"88,536.00","1,00,637.00",1.14,,,
,,2018 - 2019,,,,"74,812.00","83,244.00",1.11,,,
,,2019 - 2020,,,,"74,538.00","1,00,804.00",1.35,,,
,,2020 - 2021,,,,"71,632.50","1,32,842.79",1.85,,,
,,2021 - 2022,,,,"78,312.92","1,09,121.23",1.39,,,
,,2022 - 2023,,,,"76,863.00","50,153.00",0.65,,,
,33. Washim,2013 - 2014,,,,"46,200.00","22,300.00",0.48,,,
,,2014 - 2015,,,,"52,300.00","16,200.00",0.31,,,
,,2015 - 2016,,,,"52,500.00","23,000.00",0.44,,,
,,2016 - 2017,,,,"55,586.00","35,565.00",0.64,,,
,,2017 - 2018,,,,"55,031.00","19,041.00",0.35,,,
,,2018 - 2019,,,,"57,063.00","34,405.00",0.6,,,
,,2019 - 2020,,,,"62,018.00","39,030.00",0.63,,,
,,2020 - 2021,,,,"62,655.72","53,497.59",0.85,,,
,,2021 - 2022,,,,"66,198.05","36,859.07",0.56,,,
,,2022 - 2023,,,,"63,628.00","39,666.00",0.62,,,
,34. Yavatmal,2013 - 2014,,,,"1,09,200.00","80,400.00",0.74,,,
,,2014 - 2015,,,,"1,11,800.00","25,500.00",0.23,,,
,,2015 - 2016,,,,"1,19,700.00","62,600.00",0.52,,,
,,2016 - 2017,,,,"1,73,525.00","2,30,958.00",1.33,,,
,,2017 - 2018,,,,"1,34,600.00","1,30,800.00",0.97,,,
,,2018 - 2019,,,,"1,30,308.00","1,44,939.00",1.11,,,
,,2019 - 2020,,,,"1,37,562.00","43,324.00",0.31,,,
,,2020 - 2021,,,,"1,37,562.24","79,938.93",0.58,,,
,,2021 - 2022,,,,"1,37,562.25","1,39,075.43",1.01,,,
,,2022 - 2023,,,,"1,33,003.00","54,279.00",0.41,,,
16. Manipur,1. Bishnupur,2013 - 2014,,,,52,51,0.98,,,
,,2014 - 2015,,,,83,85,1.02,,,
,,2015 - 2016,,,,85,96,1.13,,,
,,2016 - 2017,,,,85,99,1.16,,,
,,2017 - 2018,,,,85,98,1.15,,,
,,2018 - 2019,,,,75,84,1.12,,,
,2. Chandel,2013 - 2014,,,,72,70,0.97,,,
,,2014 - 2015,,,,43,42,0.98,,,
,,2015 - 2016,,,,43,46,1.07,,,
,,2016 - 2017,,,,43,47,1.09,,,
,,2017 - 2018,,,,43,45,1.05,,,
,,2018 - 2019,,,,45,52,1.16,,,
,3. Churachandpur,2013 - 2014,,,,80,80,1,,,
,,2014 - 2015,,,,65,62,0.95,,,
,,2015 - 2016,,,,65,70,1.08,,,
,,2016 - 2017,,,,65,70,1.08,,,
,,2017 - 2018,,,,65,70,1.08,,,
,,2018 - 2019,,,,65,53,0.82,,,
,4. Imphal east,2013 - 2014,,,,50,44,0.88,,,
,,2014 - 2015,,,,65,66,1.02,,,
,,2015 - 2016,,,,65,66,1.02,,,
,,2016 - 2017,,,,65,73,1.12,,,
,,2017 - 2018,,,,60,67,1.12,,,
,,2018 - 2019,,,,60,59,0.98,,,
