State,District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,10. Durg,2013 - 2014,,,,"1,081.00",649,0.6,,,
,,2014 - 2015,,,,"1,321.00",845,0.64,,,
,,2015 - 2016,,,,"1,162.00",637,0.55,,,
,,2016 - 2017,,,,"1,150.00",779,0.68,,,
,,2017 - 2018,,,,"1,344.00",433,0.32,,,
,,2018 - 2019,,,,"1,144.00",467,0.41,,,
,,2019 - 2020,,,,640,386,0.6,,,
,,2020 - 2021,,,,"1,335.00",664,0.5,,,
,,2021 - 2022,,,,"1,870.00","1,092.00",0.58,,,
,,2022 - 2023,,,,"1,199.00",843,0.7,,,
,11. Gariyaband,2013 - 2014,,,,477,156,0.33,,,
,,2014 - 2015,,,,333,113,0.34,,,
,,2015 - 2016,,,,526,171,0.33,,,
,,2016 - 2017,,,,937,470,0.5,,,
,,2017 - 2018,,,,407,92,0.23,,,
,,2018 - 2019,,,,313,104,0.33,,,
,,2019 - 2020,,,,265,128,0.48,,,
,,2020 - 2021,,,,423,156,0.37,,,
,,2021 - 2022,,,,"1,093.00",400,0.37,,,
,,2022 - 2023,,,,814,348,0.43,,,
,12. Gaurella-pendra-marwahi,2019 - 2020,,,,330,179,0.54,,,
,,2020 - 2021,,,,286,159,0.56,,,
,,2021 - 2022,,,,540,322,0.6,,,
,,2022 - 2023,,,,383,266,0.69,,,
,13. Janjgir-champa,2013 - 2014,,,,"1,090.00",668,0.61,,,
,,2014 - 2015,,,,"1,035.00",683,0.66,,,
,,2015 - 2016,,,,957,504,0.53,,,
,,2016 - 2017,,,,777,505,0.65,,,
,,2017 - 2018,,,,704,300,0.43,,,
,,2018 - 2019,,,,706,353,0.5,,,
,,2019 - 2020,,,,397,268,0.68,,,
,,2020 - 2021,,,,290,160,0.55,,,
,,2021 - 2022,,,,228,140,0.61,,,
,,2022 - 2023,,,,93,65,0.7,,,
,14. Jashpur,2013 - 2014,,,,"4,962.00","3,432.00",0.69,,,
,,2014 - 2015,,,,"4,905.00","3,124.00",0.64,,,
,,2015 - 2016,,,,"4,918.00","2,118.00",0.43,,,
,,2016 - 2017,,,,"4,928.00","2,620.00",0.53,,,
,,2017 - 2018,,,,"4,506.00","1,915.00",0.42,,,
,,2018 - 2019,,,,"4,146.00","2,030.00",0.49,,,
,,2019 - 2020,,,,"4,252.00","2,581.00",0.61,,,
,,2020 - 2021,,,,"4,319.00","4,936.00",1.14,,,
,,2021 - 2022,,,,"4,314.00","2,602.00",0.6,,,
,,2022 - 2023,,,,"4,189.00","2,944.00",0.7,,,
,15. Kabirdham,2013 - 2014,,,,"5,039.00","2,299.00",0.46,,,
,,2014 - 2015,,,,"5,041.00","3,221.00",0.64,,,
,,2015 - 2016,,,,"5,958.00","3,037.00",0.51,,,
,,2016 - 2017,,,,"6,439.00","3,428.00",0.53,,,
,,2017 - 2018,,,,"6,914.00","2,676.00",0.39,,,
,,2018 - 2019,,,,"7,023.00","2,349.00",0.33,,,
,,2019 - 2020,,,,"4,328.00","2,479.00",0.57,,,
,,2020 - 2021,,,,"6,657.00","3,187.00",0.48,,,
,,2021 - 2022,,,,"5,924.00","3,813.00",0.64,,,
,,2022 - 2023,,,,"4,725.00","3,289.00",0.7,,,
,16. Kanker,2013 - 2014,,,,605,390,0.64,,,
,,2014 - 2015,,,,607,348,0.57,,,
,,2015 - 2016,,,,526,208,0.4,,,
,,2016 - 2017,,,,443,265,0.6,,,
,,2017 - 2018,,,,356,134,0.38,,,
,,2018 - 2019,,,,405,185,0.46,,,
,,2019 - 2020,,,,151,87,0.58,,,
,,2020 - 2021,,,,106,54,0.51,,,
,,2021 - 2022,,,,187,107,0.57,,,
,,2022 - 2023,,,,95,65,0.68,,,
,17. Khairgarh chhuikhadan gandai,2022 - 2023,,,,"2,513.00","1,769.00",0.7,,,
,18. Kondagaon,2013 - 2014,,,,173,97,0.56,,,
,,2014 - 2015,,,,176,116,0.66,,,
,,2015 - 2016,,,,194,94,0.48,,,
,,2016 - 2017,,,,139,84,0.6,,,
,,2017 - 2018,,,,146,60,0.41,,,
,,2018 - 2019,,,,106,53,0.5,,,
,,2019 - 2020,,,,63,46,0.73,,,
,,2020 - 2021,,,,40,22,0.55,,,
,,2021 - 2022,,,,46,28,0.61,,,
,,2022 - 2023,,,,42,29,0.69,,,
,19. Korba,2013 - 2014,,,,"1,330.00",789,0.59,,,
,,2014 - 2015,,,,"1,331.00",851,0.64,,,
,,2015 - 2016,,,,"1,373.00",525,0.38,,,
,,2016 - 2017,,,,"1,281.00",832,0.65,,,
,,2017 - 2018,,,,"1,269.00",532,0.42,,,
,,2018 - 2019,,,,"1,175.00",520,0.44,,,
,,2019 - 2020,,,,731,438,0.6,,,
,,2020 - 2021,,,,557,298,0.54,,,
,,2021 - 2022,,,,570,306,0.54,,,
,,2022 - 2023,,,,518,348,0.67,,,
,20. Korea,2013 - 2014,,,,"3,798.00","2,017.00",0.53,,,
,,2014 - 2015,,,,"3,843.00","2,324.00",0.6,,,
,,2015 - 2016,,,,"3,486.00","1,411.00",0.4,,,
,,2016 - 2017,,,,"3,624.00","2,004.00",0.55,,,
,,2017 - 2018,,,,"3,581.00","1,370.00",0.38,,,
,,2018 - 2019,,,,"3,586.00","1,581.00",0.44,,,
,,2019 - 2020,,,,"3,574.00","2,446.00",0.68,,,
,,2020 - 2021,,,,"3,784.00","1,848.00",0.49,,,
,,2021 - 2022,,,,"4,471.00","2,262.00",0.51,,,
,,2022 - 2023,,,,"1,783.00","1,313.00",0.74,,,
,21. Mahasamund,2013 - 2014,,,,695,261,0.38,,,
,,2014 - 2015,,,,696,283,0.41,,,
,,2015 - 2016,,,,642,208,0.32,,,
,,2016 - 2017,,,,541,217,0.4,,,
