State,District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2015 - 2016,"16,162.00","15,761.00",0.98,,,,,,
,,2016 - 2017,"18,285.00","17,888.00",0.98,,,,,,
,,2017 - 2018,"20,212.00","17,496.00",0.87,,,,,,
,,2018 - 2019,"3,900.00","3,277.00",0.84,,,,,,
,,2019 - 2020,"17,050.00","14,297.00",0.84,,,,,,
,,2020 - 2021,"16,500.00","16,688.00",1.01,,,,,,
,,2021 - 2022,"16,112.00","16,685.00",1.04,,,,,,
,,2022 - 2023,"15,780.00","14,127.00",0.9,,,,,,
,11. Devbhumi dwarka,2014 - 2015,985,"1,813.00",1.84,,,,,,
,,2015 - 2016,48,75,1.56,,,,,,
,,2016 - 2017,785,574,0.73,,,,,,
,,2017 - 2018,"3,720.00","7,585.00",2.04,,,,,,
,,2018 - 2019,253,403,1.59,,,,,,
,,2019 - 2020,"10,323.00","19,407.00",1.88,,,,,,
,,2020 - 2021,"47,555.00","91,082.00",1.92,,,,,,
,,2021 - 2022,"80,468.00","1,65,890.00",2.06,,,,,,
,,2022 - 2023,"59,991.00","97,656.00",1.63,,,,,,
,12. Dohad,2013 - 2014,"45,437.00","40,648.00",0.89,,,,,,
,,2014 - 2015,"40,529.00","32,480.00",0.8,,,,,,
,,2015 - 2016,"33,074.00","22,067.00",0.67,,,,,,
,,2016 - 2017,"28,037.00","37,099.00",1.32,,,,,,
,,2017 - 2018,"36,471.00","55,148.00",1.51,,,,,,
,,2018 - 2019,"33,188.00","42,085.00",1.27,,,,,,
,,2019 - 2020,"49,272.00","53,976.00",1.1,,,,,,
,,2020 - 2021,"39,704.00","47,925.00",1.21,,,,,,
,,2021 - 2022,"42,975.00","53,488.00",1.24,,,,,,
,,2022 - 2023,"44,698.00","58,617.00",1.31,,,,,,
,13. Gandhinagar,2016 - 2017,37,42,1.14,,,,,,
,,2017 - 2018,729,937,1.29,,,,,,
,,2018 - 2019,594,807,1.36,,,,,,
,,2019 - 2020,421,660,1.57,,,,,,
,,2020 - 2021,953,"1,679.00",1.76,,,,,,
,,2021 - 2022,"1,579.00","3,012.00",1.91,,,,,,
,,2022 - 2023,"1,161.00","1,973.00",1.7,,,,,,
,14. Gir somnath,2014 - 2015,70,40,0.57,,,,,,
,,2015 - 2016,346,307,0.89,,,,,,
,,2016 - 2017,"1,010.00","1,135.00",1.12,,,,,,
,,2017 - 2018,"2,167.00","2,785.00",1.29,,,,,,
,,2018 - 2019,"1,032.00","1,401.00",1.36,,,,,,
,,2019 - 2020,"3,427.00","6,510.00",1.9,,,,,,
,,2020 - 2021,"27,781.00","62,000.00",2.23,,,,,,
,,2021 - 2022,"37,150.00","82,423.00",2.22,,,,,,
,,2022 - 2023,"22,534.00","49,079.00",2.18,,,,,,
,15. Jamnagar,2013 - 2014,"24,368.00","39,637.00",1.63,,,,,,
,,2014 - 2015,"2,794.00","3,595.00",1.29,,,,,,
,,2015 - 2016,"1,553.00","1,861.00",1.2,,,,,,
,,2016 - 2017,"3,612.00","3,835.00",1.06,,,,,,
,,2017 - 2018,"10,222.00","12,393.00",1.21,,,,,,
,,2018 - 2019,"2,198.00","2,697.00",1.23,,,,,,
,,2019 - 2020,"43,688.00","72,795.00",1.67,,,,,,
,,2020 - 2021,"87,631.00","1,58,310.00",1.81,,,,,,
,,2021 - 2022,"1,15,749.00","2,28,530.00",1.97,,,,,,
,,2022 - 2023,"84,336.00","1,69,459.00",2.01,,,,,,
,16. Junagadh,2013 - 2014,"12,895.00","27,910.00",2.16,,,,,,
,,2014 - 2015,"11,805.00","23,368.00",1.98,,,,,,
,,2015 - 2016,"1,855.00","3,388.00",1.83,,,,,,
,,2016 - 2017,"12,015.00","18,712.00",1.56,,,,,,
,,2017 - 2018,"34,869.00","57,250.00",1.64,,,,,,
,,2018 - 2019,"22,045.00","64,397.00",2.92,,,,,,
,,2019 - 2020,"45,155.00","1,10,137.00",2.44,,,,,,
,,2020 - 2021,"85,248.00","1,94,408.00",2.28,,,,,,
,,2021 - 2022,"1,14,260.00","2,39,674.00",2.1,,,,,,
,,2022 - 2023,"67,795.00","1,34,817.00",1.99,,,,,,
,17. Kachchh,2013 - 2014,"1,024.00","1,265.00",1.24,,,,,,
,,2014 - 2015,2,2,1,,,,,,
,,2015 - 2016,129,114,0.88,,,,,,
,,2016 - 2017,81,91,1.12,,,,,,
,,2017 - 2018,215,276,1.28,,,,,,
,,2018 - 2019,70,95,1.36,,,,,,
,,2019 - 2020,185,290,1.57,,,,,,
,,2020 - 2021,24,42,1.75,,,,,,
,,2021 - 2022,665,"1,269.00",1.91,,,,,,
,,2022 - 2023,255,433,1.7,,,,,,
,18. Kheda,2013 - 2014,794,981,1.24,,,,,,
,,2014 - 2015,401,410,1.02,,,,,,
,,2015 - 2016,207,184,0.89,,,,,,
,,2016 - 2017,442,497,1.12,,,,,,
,,2017 - 2018,513,659,1.28,,,,,,
,,2018 - 2019,502,682,1.36,,,,,,
,,2019 - 2020,913,"1,432.00",1.57,,,,,,
,,2020 - 2021,"1,144.00","2,015.00",1.76,,,,,,
,,2021 - 2022,"1,674.00","3,193.00",1.91,,,,,,
,,2022 - 2023,"1,790.00","2,622.00",1.46,,,,,,
,19. Mahesana,2013 - 2014,156,193,1.24,,,,,,
,,2014 - 2015,178,182,1.02,,,,,,
,,2015 - 2016,126,112,0.89,,,,,,
,,2016 - 2017,355,399,1.12,,,,,,
