State,District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2019 - 2020,"16,429.00","37,409.00",2.28,,,,,,
,,2020 - 2021,"39,135.00","71,147.00",1.82,,,,,,
,,2021 - 2022,"17,365.00","33,341.00",1.92,,,,,,
,,2022 - 2023,"28,300.00","54,619.00",1.93,,,,,,
,46. Shivpuri,2013 - 2014,"87,837.00","81,467.00",0.93,,,,,,
,,2014 - 2015,"85,000.00","1,03,000.00",1.21,,,,,,
,,2015 - 2016,"78,000.00","79,000.00",1.01,,,,,,
,,2016 - 2017,"87,000.00","1,21,000.00",1.39,,,,,,
,,2017 - 2018,"32,000.00","43,200.00",1.35,,,,,,
,,2018 - 2019,"91,069.00","1,01,633.00",1.12,,,,,,
,,2019 - 2020,"86,406.00","1,18,808.00",1.37,,,,,,
,,2020 - 2021,"81,214.00","1,28,318.00",1.58,,,,,,
,,2021 - 2022,"31,314.00","46,846.00",1.5,,,,,,
,,2022 - 2023,"32,320.00","51,712.00",1.6,,,,,,
,47. Sidhi,2013 - 2014,"19,299.00","12,349.00",0.64,,,,,,
,,2014 - 2015,"29,000.00","17,000.00",0.59,,,,,,
,,2015 - 2016,"30,000.00","30,000.00",1,,,,,,
,,2016 - 2017,"35,000.00","48,000.00",1.37,,,,,,
,,2017 - 2018,"38,600.00","50,100.00",1.3,,,,,,
,,2018 - 2019,"15,368.00","16,013.00",1.04,,,,,,
,,2019 - 2020,"11,850.00","14,635.00",1.24,,,,,,
,,2020 - 2021,"10,302.00","17,770.00",1.72,,,,,,
,,2021 - 2022,"7,450.00","9,216.00",1.24,,,,,,
,,2022 - 2023,"17,000.00","22,457.00",1.32,,,,,,
,48. Singrauli,2013 - 2014,"14,244.00","12,477.00",0.88,,,,,,
,,2014 - 2015,"19,000.00","15,000.00",0.79,,,,,,
,,2015 - 2016,"33,000.00","38,000.00",1.15,,,,,,
,,2016 - 2017,"30,000.00","35,000.00",1.17,,,,,,
,,2017 - 2018,"28,000.00","26,600.00",0.95,,,,,,
,,2018 - 2019,"10,997.00","27,921.00",2.54,,,,,,
,,2019 - 2020,"11,756.00","26,827.00",2.28,,,,,,
,,2020 - 2021,"11,728.00","21,110.00",1.8,,,,,,
,,2021 - 2022,"7,862.00","10,590.00",1.35,,,,,,
,,2022 - 2023,"32,300.00","42,604.00",1.32,,,,,,
,49. Tikamgarh,2013 - 2014,"19,670.00","4,864.00",0.25,,,,,,
,,2014 - 2015,"28,000.00","10,000.00",0.36,,,,,,
,,2015 - 2016,"17,000.00","16,000.00",0.94,,,,,,
,,2016 - 2017,"19,000.00","25,000.00",1.32,,,,,,
,,2017 - 2018,"12,400.00","14,090.00",1.14,,,,,,
,,2018 - 2019,"10,387.00","13,545.00",1.3,,,,,,
,,2019 - 2020,"5,416.00","9,267.00",1.71,,,,,,
,,2020 - 2021,"7,849.00","11,381.00",1.45,,,,,,
,,2021 - 2022,"6,513.00","11,977.00",1.84,,,,,,
,,2022 - 2023,"6,200.00","7,725.00",1.25,,,,,,
,50. Ujjain,2013 - 2014,"1,25,099.00","1,14,117.00",0.91,,,,,,
,,2014 - 2015,"1,16,000.00","1,52,000.00",1.31,,,,,,
,,2015 - 2016,"1,14,000.00","1,36,000.00",1.19,,,,,,
,,2016 - 2017,"1,04,000.00","1,38,000.00",1.33,,,,,,
,,2017 - 2018,"1,95,200.00","2,89,680.00",1.48,,,,,,
,,2018 - 2019,"2,30,532.00","1,94,569.00",0.84,,,,,,
,,2019 - 2020,"50,357.00","73,572.00",1.46,,,,,,
,,2020 - 2021,"39,187.00","56,822.00",1.45,,,,,,
,,2021 - 2022,"19,757.00","28,766.00",1.46,,,,,,
,,2022 - 2023,"16,160.00","25,856.00",1.6,,,,,,
,51. Umaria,2013 - 2014,"7,251.00","3,995.00",0.55,,,,,,
,,2014 - 2015,"8,000.00","7,000.00",0.88,,,,,,
,,2015 - 2016,"19,000.00","14,000.00",0.74,,,,,,
,,2016 - 2017,"18,000.00","25,000.00",1.39,,,,,,
,,2017 - 2018,"16,500.00","20,410.00",1.24,,,,,,
,,2018 - 2019,"8,119.00","10,668.00",1.31,,,,,,
,,2019 - 2020,"9,185.00","9,718.00",1.06,,,,,,
,,2020 - 2021,"10,390.00","16,832.00",1.62,,,,,,
,,2021 - 2022,"84,190.00","96,650.00",1.15,,,,,,
,,2022 - 2023,"18,090.00","29,849.00",1.65,,,,,,
,52. Vidisha,2013 - 2014,"1,97,217.00","1,08,151.00",0.55,,,,,,
,,2014 - 2015,"1,72,000.00","1,70,000.00",0.99,,,,,,
,,2015 - 2016,"1,62,000.00","2,04,000.00",1.26,,,,,,
,,2016 - 2017,"1,73,000.00","2,03,000.00",1.17,,,,,,
,,2017 - 2018,"2,07,040.00","3,51,970.00",1.7,,,,,,
,,2018 - 2019,"2,02,075.00","2,60,071.00",1.29,,,,,,
,,2019 - 2020,"1,15,759.00","1,79,426.00",1.55,,,,,,
,,2020 - 2021,"1,13,505.00","1,98,634.00",1.75,,,,,,
,,2021 - 2022,"78,513.00","1,23,344.00",1.57,,,,,,
,,2022 - 2023,"94,130.00","1,74,141.00",1.85,,,,,,
15. Maharashtra,1. Ahilyanagar,2013 - 2014,"1,20,700.00","93,300.00",0.77,,,,,,
,,2014 - 2015,"1,15,200.00","85,200.00",0.74,,,,,,
,,2015 - 2016,"1,35,100.00","54,300.00",0.4,,,,,,
,,2016 - 2017,"1,60,100.00","1,30,600.00",0.82,,,,,,
,,2017 - 2018,"2,08,005.00","1,66,000.00",0.8,,,,,,
,,2018 - 2019,"1,49,700.00","78,400.00",0.52,,,,,,
,,2019 - 2020,"97,038.00","82,529.00",0.85,,,,,,
,,2020 - 2021,"1,07,760.00","92,042.58",0.85,,,,,,
,,2021 - 2022,"1,14,238.91","1,12,409.95",0.98,,,,,,
,,2022 - 2023,"1,13,139.70","1,12,159.91",0.99,,,,,,
,2. Akola,2013 - 2014,"95,100.00","1,21,200.00",1.27,,,,,,
,,2014 - 2015,"91,100.00","59,600.00",0.65,,,,,,
,,2015 - 2016,"93,400.00","60,600.00",0.65,,,,,,
,,2016 - 2017,"1,05,600.00","1,09,200.00",1.03,,,,,,
,,2017 - 2018,"75,300.00","80,700.00",1.07,,,,,,
,,2018 - 2019,"84,600.00","82,500.00",0.98,,,,,,
,,2019 - 2020,"78,542.00","98,591.00",1.26,,,,,,
,,2020 - 2021,"84,270.88","97,007.73",1.15,,,,,,
,,2021 - 2022,"99,878.40","1,25,929.68",1.26,,,,,,
,,2022 - 2023,"1,20,523.35","1,34,040.04",1.11,,,,,,
,3. Amravati,2013 - 2014,"89,900.00","1,03,300.00",1.15,,,,,,
,,2014 - 2015,"1,26,500.00","1,00,400.00",0.79,,,,,,
,,2015 - 2016,"1,25,700.00","99,600.00",0.79,,,,,,
,,2016 - 2017,"1,33,700.00","1,64,200.00",1.23,,,,,,
,,2017 - 2018,"1,03,900.00","1,30,900.00",1.26,,,,,,
,,2018 - 2019,"86,310.00","89,500.00",1.04,,,,,,
,,2019 - 2020,"94,783.00","1,14,439.00",1.21,,,,,,
,,2020 - 2021,"94,782.50","1,17,826.31",1.24,,,,,,
,,2021 - 2022,"1,09,169.14","1,33,859.92",1.23,,,,,,
,,2022 - 2023,"1,26,217.26","1,14,980.14",0.91,,,,,,
,4. Beed,2013 - 2014,"63,400.00","47,260.00",0.75,,,,,,
,,2014 - 2015,"64,400.00","24,000.00",0.37,,,,,,
,,2015 - 2016,"70,600.00","18,600.00",0.26,,,,,,
,,2016 - 2017,"1,18,200.00","1,00,900.00",0.85,,,,,,
,,2017 - 2018,"1,38,400.00","83,500.00",0.6,,,,,,
,,2018 - 2019,"35,450.00","31,700.00",0.89,,,,,,
,,2019 - 2020,"57,618.00","57,360.00",1,,,,,,
,,2020 - 2021,"57,617.56","64,518.70",1.12,,,,,,
,,2021 - 2022,"57,617.57","62,629.72",1.09,,,,,,
,,2022 - 2023,"1,73,460.00","1,78,259.64",1.03,,,,,,
,5. Bhandara,2013 - 2014,"11,100.00","5,700.00",0.51,,,,,,
,,2014 - 2015,"16,500.00","8,200.00",0.5,,,,,,
,,2015 - 2016,"6,900.00","2,700.00",0.39,,,,,,
,,2016 - 2017,"11,000.00","7,400.00",0.67,,,,,,
,,2017 - 2018,"11,400.00","12,100.00",1.06,,,,,,
,,2018 - 2019,"11,460.00","13,200.00",1.15,,,,,,
,,2019 - 2020,"17,551.00","12,267.00",0.7,,,,,,
,,2020 - 2021,"19,220.17","7,984.86",0.42,,,,,,
,,2021 - 2022,"22,055.01","18,859.90",0.86,,,,,,
,,2022 - 2023,"19,984.20","15,789.92",0.79,,,,,,
,6. Buldhana,2013 - 2014,"79,000.00","63,100.00",0.8,,,,,,
,,2014 - 2015,"57,200.00","36,600.00",0.64,,,,,,
,,2015 - 2016,"55,700.00","31,000.00",0.56,,,,,,
,,2016 - 2017,"70,100.00","78,400.00",1.12,,,,,,
,,2017 - 2018,"1,32,200.00","1,07,700.00",0.81,,,,,,
,,2018 - 2019,"1,08,510.00","75,200.00",0.69,,,,,,
,,2019 - 2020,"1,60,241.00","2,12,906.00",1.33,,,,,,
,,2020 - 2021,"1,91,664.24","2,39,103.61",1.25,,,,,,
,,2021 - 2022,"2,16,416.47","3,55,909.87",1.64,,,,,,
,,2022 - 2023,"2,08,150.63","2,06,710.23",0.99,,,,,,
,7. Chandrapur,2013 - 2014,"32,800.00","17,200.00",0.52,,,,,,
,,2014 - 2015,"29,100.00","12,000.00",0.41,,,,,,
,,2015 - 2016,"28,600.00","18,500.00",0.65,,,,,,
,,2016 - 2017,"27,900.00","15,500.00",0.56,,,,,,
,,2017 - 2018,"23,900.00","15,900.00",0.67,,,,,,
,,2018 - 2019,"26,390.00","25,100.00",0.95,,,,,,
,,2019 - 2020,"41,619.00","34,463.00",0.83,,,,,,
,,2020 - 2021,"44,587.08","41,172.93",0.92,,,,,,
,,2021 - 2022,"34,522.46","32,470.10",0.94,,,,,,
,,2022 - 2023,"62,915.17","81,380.14",1.29,,,,,,
,8. Chhatrapati Sambhajinagar,2013 - 2014,"42,900.00","32,600.00",0.76,,,,,,
,,2014 - 2015,"41,800.00","16,300.00",0.39,,,,,,
,,2015 - 2016,"46,800.00","17,200.00",0.37,,,,,,
,,2016 - 2017,"66,400.00","73,200.00",1.1,,,,,,
,,2017 - 2018,"86,400.00","57,800.00",0.67,,,,,,
,,2018 - 2019,"40,650.00","24,400.00",0.6,,,,,,
,,2019 - 2020,"62,755.00","63,036.00",1,,,,,,
,,2020 - 2021,"67,451.19","38,999.78",0.58,,,,,,
,,2021 - 2022,"67,451.19","54,669.86",0.81,,,,,,
,,2022 - 2023,"64,781.93","44,529.80",0.69,,,,,,
,9. Dharashiv,2013 - 2014,"85,900.00","74,700.00",0.87,,,,,,
,,2014 - 2015,"1,12,900.00","48,700.00",0.43,,,,,,
,,2015 - 2016,"68,400.00","15,400.00",0.23,,,,,,
,,2016 - 2017,"77,700.00","61,600.00",0.79,,,,,,
,,2017 - 2018,"1,53,482.00","1,17,900.00",0.77,,,,,,
,,2018 - 2019,"86,910.00","51,900.00",0.6,,,,,,
,,2019 - 2020,"1,96,818.00","1,77,959.00",0.9,,,,,,
,,2020 - 2021,"2,17,137.96","2,53,623.75",1.17,,,,,,
,,2021 - 2022,"2,27,885.51","2,14,410.64",0.94,,,,,,
,,2022 - 2023,"2,56,907.07","2,37,379.56",0.92,,,,,,
,10. Dhule,2013 - 2014,"42,300.00","53,260.00",1.26,,,,,,
,,2014 - 2015,"22,300.00","17,800.00",0.8,,,,,,
,,2015 - 2016,"28,000.00","23,640.00",0.84,,,,,,
,,2016 - 2017,"33,100.00","94,800.00",2.86,,,,,,
,,2017 - 2018,"69,700.00","1,49,700.00",2.15,,,,,,
,,2018 - 2019,"61,270.00","53,500.00",0.87,,,,,,
,,2019 - 2020,"61,271.00","81,577.00",1.33,,,,,,
,,2020 - 2021,"66,194.01","63,555.27",0.96,,,,,,
,,2021 - 2022,"66,688.94","75,890.01",1.14,,,,,,
,,2022 - 2023,"34,017.88","24,959.94",0.73,,,,,,
,11. Gadchiroli,2013 - 2014,"3,600.00","1,700.00",0.47,,,,,,
,,2014 - 2015,"3,800.00","2,300.00",0.61,,,,,,
,,2015 - 2016,"10,200.00","4,500.00",0.44,,,,,,
,,2016 - 2017,"16,100.00","7,200.00",0.45,,,,,,
,,2017 - 2018,"13,700.00","7,300.00",0.53,,,,,,
,,2018 - 2019,"13,390.00","7,800.00",0.58,,,,,,
,,2019 - 2020,"13,539.00","10,778.00",0.8,,,,,,
,,2020 - 2021,"13,654.15","6,974.77",0.51,,,,,,
,,2021 - 2022,"16,601.69","7,862.06",0.47,,,,,,
,,2022 - 2023,"5,481.63","2,722.01",0.5,,,,,,
,12. Gondia,2013 - 2014,"5,900.00","2,900.00",0.49,,,,,,
,,2014 - 2015,"5,200.00","3,400.00",0.65,,,,,,
,,2015 - 2016,"4,100.00","2,000.00",0.49,,,,,,
,,2016 - 2017,"5,100.00","2,600.00",0.51,,,,,,
,,2017 - 2018,"4,000.00","2,700.00",0.68,,,,,,
,,2018 - 2019,"4,160.00","3,200.00",0.77,,,,,,
,,2019 - 2020,"8,743.00","3,429.00",0.39,,,,,,
,,2020 - 2021,"7,229.59","5,143.47",0.71,,,,,,
,,2021 - 2022,"7,235.06","4,290.03",0.59,,,,,,
,,2022 - 2023,"7,283.59","5,660.01",0.78,,,,,,
,13. Hingoli,2013 - 2014,"99,300.00","1,05,400.00",1.06,,,,,,
,,2014 - 2015,"77,300.00","2,20,400.00",2.85,,,,,,
,,2015 - 2016,"68,800.00","26,500.00",0.39,,,,,,
,,2016 - 2017,"69,900.00","78,700.00",1.13,,,,,,
,,2017 - 2018,"75,199.00","84,000.00",1.12,,,,,,
,,2018 - 2019,"60,650.00","43,000.00",0.71,,,,,,
,,2019 - 2020,"90,216.00","94,151.00",1.04,,,,,,
,,2020 - 2021,"1,10,417.40","1,02,079.79",0.92,,,,,,
,,2021 - 2022,"1,11,511.95","1,37,799.78",1.24,,,,,,
,,2022 - 2023,"1,37,266.49","1,70,170.64",1.24,,,,,,
,14. Jalgaon,2013 - 2014,"34,400.00","39,800.00",1.16,,,,,,
,,2014 - 2015,"51,600.00","54,400.00",1.05,,,,,,
,,2015 - 2016,"49,100.00","46,500.00",0.95,,,,,,
,,2016 - 2017,"64,300.00","89,200.00",1.39,,,,,,
,,2017 - 2018,"72,300.00","92,200.00",1.28,,,,,,
,,2018 - 2019,"65,870.00","71,000.00",1.08,,,,,,
,,2019 - 2020,"71,507.00","98,618.00",1.38,,,,,,
,,2020 - 2021,"78,638.76","89,338.23",1.14,,,,,,
,,2021 - 2022,"86,095.29","1,30,880.34",1.52,,,,,,
,,2022 - 2023,"86,656.42","91,950.26",1.06,,,,,,
,15. Jalna,2013 - 2014,"26,900.00","23,600.00",0.88,,,,,,
,,2014 - 2015,"27,100.00","6,800.00",0.25,,,,,,
,,2015 - 2016,"29,800.00","8,400.00",0.28,,,,,,
,,2016 - 2017,"56,300.00","67,600.00",1.2,,,,,,
,,2017 - 2018,"59,200.00","43,000.00",0.73,,,,,,
,,2018 - 2019,"23,880.00","11,200.00",0.47,,,,,,
,,2019 - 2020,"29,420.00","30,081.00",1.02,,,,,,
,,2020 - 2021,"38,665.51","48,275.35",1.25,,,,,,
,,2021 - 2022,"43,046.97","56,779.81",1.32,,,,,,
,,2022 - 2023,"1,05,875.02","1,27,700.10",1.21,,,,,,
,16. Kolhapur,2013 - 2014,"11,400.00","13,600.00",1.19,,,,,,
,,2014 - 2015,"6,300.00","5,700.00",0.9,,,,,,
,,2015 - 2016,"4,800.00","4,000.00",0.83,,,,,,
,,2016 - 2017,"8,900.00","7,500.00",0.84,,,,,,
,,2017 - 2018,"5,400.00","4,600.00",0.85,,,,,,
,,2018 - 2019,"5,430.00","6,400.00",1.18,,,,,,
,,2019 - 2020,"4,557.00","4,834.00",1.06,,,,,,
,,2020 - 2021,"4,864.89","4,518.90",0.93,,,,,,
,,2021 - 2022,"4,817.59","4,850.01",1.01,,,,,,
,,2022 - 2023,"4,913.73","5,430.02",1.11,,,,,,
,17. Latur,2013 - 2014,"88,200.00","1,31,500.00",1.49,,,,,,
,,2014 - 2015,"67,000.00","20,000.00",0.3,,,,,,
,,2015 - 2016,"77,700.00","19,000.00",0.24,,,,,,
,,2016 - 2017,"1,61,100.00","1,58,200.00",0.98,,,,,,
,,2017 - 2018,"2,09,351.00","1,47,500.00",0.7,,,,,,
,,2018 - 2019,"1,42,580.00","77,600.00",0.54,,,,,,
,,2019 - 2020,"1,81,313.00","2,03,875.00",1.12,,,,,,
,,2020 - 2021,"2,12,429.22","2,16,574.70",1.02,,,,,,
,,2021 - 2022,"2,33,114.31","2,35,270.62",1.01,,,,,,
,,2022 - 2023,"3,14,408.71","2,69,429.40",0.86,,,,,,
,18. Nagpur,2013 - 2014,"71,700.00","45,100.00",0.63,,,,,,
,,2014 - 2015,"67,000.00","46,600.00",0.7,,,,,,
,,2015 - 2016,"67,400.00","50,900.00",0.76,,,,,,
,,2016 - 2017,"63,400.00","49,200.00",0.78,,,,,,
,,2017 - 2018,"64,400.00","74,600.00",1.16,,,,,,
,,2018 - 2019,"58,670.00","65,100.00",1.11,,,,,,
,,2019 - 2020,"61,265.00","56,723.00",0.93,,,,,,
,,2020 - 2021,"65,535.05","92,843.44",1.42,,,,,,
,,2021 - 2022,"67,699.91","1,19,549.92",1.77,,,,,,
,,2022 - 2023,"90,673.69","1,19,630.33",1.32,,,,,,
,19. Nanded,2013 - 2014,"65,300.00","59,600.00",0.91,,,,,,
,,2014 - 2015,"51,200.00","25,700.00",0.5,,,,,,
,,2015 - 2016,"46,600.00","15,400.00",0.33,,,,,,
,,2016 - 2017,"93,900.00","1,49,600.00",1.59,,,,,,
,,2017 - 2018,"1,23,586.00","1,55,400.00",1.26,,,,,,
,,2018 - 2019,"1,06,640.00","1,33,200.00",1.25,,,,,,
,,2019 - 2020,"1,42,087.00","2,14,156.00",1.51,,,,,,
,,2020 - 2021,"1,48,350.16","1,61,880.39",1.09,,,,,,
,,2021 - 2022,"1,58,843.64","1,45,940.77",0.92,,,,,,
,,2022 - 2023,"2,75,754.59","2,90,490.92",1.05,,,,,,
,20. Nandurbar,2013 - 2014,"24,300.00","20,800.00",0.86,,,,,,
,,2014 - 2015,"18,900.00","13,400.00",0.71,,,,,,
,,2015 - 2016,"18,400.00","15,100.00",0.82,,,,,,
,,2016 - 2017,"21,200.00","22,700.00",1.07,,,,,,
,,2017 - 2018,"26,500.00","32,100.00",1.21,,,,,,
,,2018 - 2019,"27,440.00","26,200.00",0.95,,,,,,
,,2019 - 2020,"32,014.00","31,413.00",0.98,,,,,,
,,2020 - 2021,"33,559.60","32,938.19",0.98,,,,,,
,,2021 - 2022,"31,046.67","38,319.97",1.23,,,,,,
,,2022 - 2023,"21,761.83","24,319.93",1.12,,,,,,
,21. Nashik,2013 - 2014,"40,000.00","26,220.00",0.66,,,,,,
,,2014 - 2015,"40,900.00","28,500.00",0.7,,,,,,
,,2015 - 2016,"39,900.00","26,630.00",0.67,,,,,,
,,2016 - 2017,"59,600.00","42,500.00",0.71,,,,,,
,,2017 - 2018,"72,500.00","61,700.00",0.85,,,,,,
,,2018 - 2019,"63,080.00","47,400.00",0.75,,,,,,
,,2019 - 2020,"63,084.00","52,623.00",0.83,,,,,,
,,2020 - 2021,"64,028.10","54,036.07",0.84,,,,,,
,,2021 - 2022,"65,088.25","59,659.89",0.92,,,,,,
,,2022 - 2023,"32,439.78","31,920.10",0.98,,,,,,
,22. Palghar,2014 - 2015,"1,200.00",900,0.75,,,,,,
,,2015 - 2016,"1,800.00","1,200.00",0.67,,,,,,
,,2016 - 2017,"1,900.00","1,800.00",0.95,,,,,,
,,2017 - 2018,"1,900.00","1,700.00",0.89,,,,,,
,,2018 - 2019,"1,000.00",900,0.9,,,,,,
,,2019 - 2020,997,726,0.73,,,,,,
,,2020 - 2021,"1,008.70",924.63,0.92,,,,,,
,,2021 - 2022,"1,008.70",926.69,0.92,,,,,,
,,2022 - 2023,"2,009.06","1,739.91",0.87,,,,,,
,23. Parbhani,2013 - 2014,"67,000.00","47,800.00",0.71,,,,,,
,,2014 - 2015,"45,600.00","28,400.00",0.62,,,,,,
,,2015 - 2016,"41,300.00","8,600.00",0.21,,,,,,
,,2016 - 2017,"71,630.00","59,825.00",0.84,,,,,,
,,2017 - 2018,"1,07,869.00","67,192.00",0.62,,,,,,
,,2018 - 2019,"53,830.00","38,500.00",0.72,,,,,,
,,2019 - 2020,"58,221.00","51,901.00",0.89,,,,,,
,,2020 - 2021,"58,220.70","52,173.54",0.9,,,,,,
,,2021 - 2022,"66,551.96","80,929.85",1.22,,,,,,
,,2022 - 2023,"1,72,793.00","2,10,090.37",1.22,,,,,,
,24. Pune,2013 - 2014,"50,600.00","41,200.00",0.81,,,,,,
,,2014 - 2015,"59,900.00","51,800.00",0.86,,,,,,
,,2015 - 2016,"63,700.00","54,500.00",0.86,,,,,,
,,2016 - 2017,"80,500.00","86,500.00",1.07,,,,,,
,,2017 - 2018,"90,303.00","1,02,700.00",1.14,,,,,,
,,2018 - 2019,"83,400.00","61,400.00",0.74,,,,,,
,,2019 - 2020,"82,442.00","88,439.00",1.07,,,,,,
,,2020 - 2021,"80,274.03","68,143.54",0.85,,,,,,
,,2021 - 2022,"85,922.87","90,709.63",1.06,,,,,,
,,2022 - 2023,"29,458.13","32,350.04",1.1,,,,,,
,25. Raigad,2015 - 2016,900,600,0.67,,,,,,
,,2016 - 2017,900,800,0.89,,,,,,
,,2017 - 2018,7,,0,,,,,,
,,2019 - 2020,"1,290.00",539,0.42,,,,,,
,,2020 - 2021,"1,335.73","1,224.39",0.92,,,,,,
,,2021 - 2022,985.16,905.07,0.92,,,,,,
,,2022 - 2023,966.98,837.43,0.87,,,,,,
,26. Ratnagiri,2015 - 2016,20,10,0.5,,,,,,
,,2019 - 2020,211,101,0.48,,,,,,
,,2020 - 2021,66.66,61.1,0.92,,,,,,
,,2021 - 2022,24.9,22.88,0.92,,,,,,
,27. Sangli,2013 - 2014,"27,400.00","20,400.00",0.74,,,,,,
,,2014 - 2015,"27,100.00","26,500.00",0.98,,,,,,
,,2015 - 2016,"22,300.00","14,000.00",0.63,,,,,,
,,2016 - 2017,"28,300.00","23,600.00",0.83,,,,,,
,,2017 - 2018,"29,400.00","26,900.00",0.91,,,,,,
,,2018 - 2019,"17,310.00","11,900.00",0.69,,,,,,
,,2019 - 2020,"22,047.00","19,322.00",0.88,,,,,,
,,2020 - 2021,"25,469.00","30,007.41",1.18,,,,,,
,,2021 - 2022,"24,671.68","28,409.93",1.15,,,,,,
,,2022 - 2023,"24,875.12","26,370.12",1.06,,,,,,
,28. Satara,2013 - 2014,"25,700.00","20,500.00",0.8,,,,,,
,,2014 - 2015,"34,100.00","25,900.00",0.76,,,,,,
,,2015 - 2016,"27,900.00","21,700.00",0.78,,,,,,
,,2016 - 2017,"32,000.00","25,600.00",0.8,,,,,,
,,2017 - 2018,"31,000.00","28,900.00",0.93,,,,,,
,,2018 - 2019,"27,520.00","24,900.00",0.9,,,,,,
,,2019 - 2020,"28,312.00","27,602.00",0.97,,,,,,
,,2020 - 2021,"29,564.61","28,111.31",0.95,,,,,,
,,2021 - 2022,"34,108.66","39,339.91",1.15,,,,,,
,,2022 - 2023,"33,916.31","32,479.95",0.96,,,,,,
,29. Solapur,2013 - 2014,"35,400.00","19,700.00",0.56,,,,,,
,,2014 - 2015,"39,500.00","29,600.00",0.75,,,,,,
,,2015 - 2016,"45,800.00","13,500.00",0.29,,,,,,
,,2016 - 2017,"56,500.00","38,100.00",0.67,,,,,,
,,2017 - 2018,"68,249.00","46,100.00",0.68,,,,,,
,,2018 - 2019,"50,690.00","28,100.00",0.55,,,,,,
,,2019 - 2020,"66,926.00","54,322.00",0.81,,,,,,
,,2020 - 2021,"67,433.02","56,586.40",0.84,,,,,,
,,2021 - 2022,"76,792.41","61,579.83",0.8,,,,,,
,,2022 - 2023,"93,995.97","66,470.19",0.71,,,,,,
,30. Thane,2013 - 2014,"3,300.00","3,900.00",1.18,,,,,,
,,2014 - 2015,"3,400.00","2,900.00",0.85,,,,,,
,,2015 - 2016,"1,300.00",900,0.69,,,,,,
,,2016 - 2017,"1,400.00","1,300.00",0.93,,,,,,
,,2017 - 2018,"1,400.00","1,200.00",0.86,,,,,,
,,2018 - 2019,"1,110.00","1,000.00",0.9,,,,,,
,,2019 - 2020,"1,276.00",894,0.7,,,,,,
,,2020 - 2021,"2,011.72","1,844.05",0.92,,,,,,
,,2021 - 2022,"3,148.20","2,892.25",0.92,,,,,,
,,2022 - 2023,"3,356.96","2,907.23",0.87,,,,,,
,31. Wardha,2013 - 2014,"36,400.00","27,500.00",0.76,,,,,,
,,2014 - 2015,"31,000.00","24,400.00",0.79,,,,,,
,,2015 - 2016,"28,600.00","22,300.00",0.78,,,,,,
,,2016 - 2017,"29,600.00","33,800.00",1.14,,,,,,
,,2017 - 2018,"31,400.00","36,800.00",1.17,,,,,,
,,2018 - 2019,"32,550.00","44,200.00",1.36,,,,,,
,,2019 - 2020,"41,741.00","42,329.00",1.01,,,,,,
,,2020 - 2021,"47,736.67","80,663.59",1.69,,,,,,
,,2021 - 2022,"33,089.84","50,149.97",1.52,,,,,,
,,2022 - 2023,"85,792.13","1,18,150.35",1.38,,,,,,
,32. Washim,2013 - 2014,"94,000.00","1,00,700.00",1.07,,,,,,
,,2014 - 2015,"53,900.00","28,700.00",0.53,,,,,,
,,2015 - 2016,"51,500.00","19,200.00",0.37,,,,,,
,,2016 - 2017,"55,100.00","49,700.00",0.9,,,,,,
,,2017 - 2018,"49,600.00","35,100.00",0.71,,,,,,
,,2018 - 2019,"64,590.00","56,400.00",0.87,,,,,,
,,2019 - 2020,"60,153.00","55,415.00",0.92,,,,,,
,,2020 - 2021,"66,284.34","1,04,518.56",1.58,,,,,,
,,2021 - 2022,"81,031.37","1,03,100.26",1.27,,,,,,
,,2022 - 2023,"83,721.06","96,729.64",1.16,,,,,,
,33. Yavatmal,2013 - 2014,"45,600.00","37,100.00",0.81,,,,,,
,,2014 - 2015,"38,500.00","32,600.00",0.85,,,,,,
,,2015 - 2016,"80,900.00","59,700.00",0.74,,,,,,
,,2016 - 2017,"1,47,700.00","1,09,100.00",0.74,,,,,,
,,2017 - 2018,"94,100.00","75,000.00",0.8,,,,,,
,,2018 - 2019,"99,180.00","1,12,000.00",1.13,,,,,,
,,2019 - 2020,"1,13,611.00","1,62,693.00",1.43,,,,,,
,,2020 - 2021,"1,23,818.66","1,42,517.28",1.15,,,,,,
,,2021 - 2022,"1,23,818.66","1,27,919.53",1.03,,,,,,
,,2022 - 2023,"1,41,324.66","96,410.27",0.68,,,,,,
16. Manipur,1. Bishnupur,2013 - 2014,97,89,0.92,,,,,,
,,2014 - 2015,84,69.9,0.83,,,,,,
,,2015 - 2016,98,93,0.95,,,,,,
,,2016 - 2017,103,97.1,0.94,,,,,,
,,2017 - 2018,102,97.4,0.95,,,,,,
,,2018 - 2019,95,92,0.97,,,,,,
,2. Chandel,2013 - 2014,72,66,0.92,,,,,,
,,2014 - 2015,68,55.1,0.81,,,,,,
,,2015 - 2016,75,65,0.87,,,,,,
,,2016 - 2017,76,71.7,0.94,,,,,,
,,2017 - 2018,78,93.6,1.2,,,,,,
,,2018 - 2019,85,77,0.91,,,,,,
,3. Churachandpur,2013 - 2014,66,61,0.92,,,,,,
,,2014 - 2015,63,54,0.86,,,,,,
,,2015 - 2016,70,66,0.94,,,,,,
