State,District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,2. East jaintia hills,2013 - 2014,,,,18,15,0.83
,,2014 - 2015,,,,18,17,0.94
,,2015 - 2016,,,,19,19,1
,,2016 - 2017,,,,19,19,1
,,2017 - 2018,,,,19,19,1
,,2018 - 2019,,,,20,20,1
,,2019 - 2020,,,,20,20,1
,,2020 - 2021,,,,20,20,1
,,2022 - 2023,,,,21,22,1.05
,3. East khasi hills,2013 - 2014,,,,562,"1,973.00",3.51
,,2014 - 2015,,,,563,"1,993.00",3.54
,,2015 - 2016,,,,565,"2,018.00",3.57
,,2016 - 2017,,,,570,"2,041.00",3.58
,,2017 - 2018,,,,571,"2,046.00",3.58
,,2018 - 2019,,,,572,"2,050.00",3.58
,,2019 - 2020,,,,572,"2,050.00",3.58
,,2020 - 2021,,,,572,"2,050.00",3.58
,,2022 - 2023,,,,573,"2,054.00",3.58
,4. North garo hills,2013 - 2014,,,,105,113,1.08
,,2014 - 2015,,,,106,119,1.12
,,2015 - 2016,,,,107,124,1.16
,,2016 - 2017,,,,108,125,1.16
,,2017 - 2018,,,,110,128,1.16
,,2018 - 2019,,,,112,131,1.17
,,2019 - 2020,,,,112,131,1.17
,,2020 - 2021,,,,112,131,1.17
,,2022 - 2023,,,,113,133,1.18
,5. Ri bhoi,2013 - 2014,,,,56,62,1.11
,,2014 - 2015,,,,58,66,1.14
,,2015 - 2016,,,,60,71,1.18
,,2016 - 2017,,,,63,72,1.14
,,2017 - 2018,,,,63,72,1.14
,,2018 - 2019,,,,63,72,1.14
,,2019 - 2020,,,,63,72,1.14
,,2020 - 2021,,,,63,72,1.14
,,2022 - 2023,,,,64,75,1.17
,6. South garo hills,2013 - 2014,,,,98,320,3.27
,,2014 - 2015,,,,100,331,3.31
,,2015 - 2016,,,,102,359,3.52
,,2016 - 2017,,,,103,362,3.51
,,2017 - 2018,,,,104,366,3.52
,,2018 - 2019,,,,105,370,3.52
,,2019 - 2020,,,,106,374,3.53
,,2020 - 2021,,,,106,374,3.53
,,2022 - 2023,,,,127,630,4.96
,7. South west garo hills,2013 - 2014,,,,295,373,1.26
,,2014 - 2015,,,,303,409,1.35
,,2015 - 2016,,,,317,431,1.36
,,2016 - 2017,,,,319,435,1.36
,,2017 - 2018,,,,320,437,1.37
,,2018 - 2019,,,,322,441,1.37
,,2019 - 2020,,,,323,444,1.37
,,2020 - 2021,,,,323,444,1.37
,,2022 - 2023,,,,324,446,1.38
,8. South west khasi hills,2013 - 2014,,,,6,11,1.83
,,2014 - 2015,,,,6,13,2.17
,,2015 - 2016,,,,6,14,2.33
,,2016 - 2017,,,,6,14,2.33
,,2017 - 2018,,,,6,14,2.33
,,2018 - 2019,,,,6,14,2.33
,,2019 - 2020,,,,6,14,2.33
,,2020 - 2021,,,,6,14,2.33
,,2022 - 2023,,,,9,25,2.78
,9. West garo hills,2013 - 2014,,,,720,862,1.2
,,2014 - 2015,,,,730,889,1.22
,,2015 - 2016,,,,741,934,1.26
,,2016 - 2017,,,,748,942,1.26
,,2017 - 2018,,,,749,945,1.26
,,2018 - 2019,,,,750,947,1.26
,,2019 - 2020,,,,751,952,1.27
,,2020 - 2021,,,,751,952,1.27
,,2022 - 2023,,,,752,955,1.27
,10. West jaintia hills,2013 - 2014,,,,100,105,1.05
,,2014 - 2015,,,,102,111,1.09
,,2015 - 2016,,,,103,116,1.13
,,2016 - 2017,,,,104,117,1.13
,,2017 - 2018,,,,104,117,1.13
,,2018 - 2019,,,,106,120,1.13
,,2019 - 2020,,,,107,122,1.14
,,2020 - 2021,,,,107,122,1.14
,,2022 - 2023,,,,120,136,1.13
,11. West khasi hills,2013 - 2014,,,,54,115,2.13
,,2014 - 2015,,,,55,122,2.22
,,2015 - 2016,,,,56,128,2.29
,,2016 - 2017,,,,57,130,2.28
,,2017 - 2018,,,,57,130,2.28
,,2018 - 2019,,,,59,135,2.29
,,2019 - 2020,,,,59,135,2.29
,,2020 - 2021,,,,59,135,2.29
,,2022 - 2023,,,,60,138,2.3
13. Nagaland,1. Chumoukedima,2022 - 2023,,,,266,290,1.09
,2. Dimapur,2013 - 2014,,,,890,970,1.09
,,2014 - 2015,,,,890,970,1.09
,,2015 - 2016,,,,910,"1,010.00",1.11
,,2016 - 2017,,,,910,"1,010.00",1.11
,,2017 - 2018,,,,920,"1,020.00",1.11
,,2018 - 2019,,,,930,"1,030.00",1.11
,,2019 - 2020,,,,932,"1,032.00",1.11
,,2020 - 2021,,,,933,"1,044.00",1.12
,,2021 - 2022,,,,415,465,1.12
,,2022 - 2023,,,,100,109,1.09
,3. Kiphire,2013 - 2014,170,220,1.29,340,360,1.06
,,2014 - 2015,170,220,1.29,340,370,1.09
,,2015 - 2016,170,220,1.29,340,370,1.09
,,2016 - 2017,170,230,1.35,350,380,1.09
,,2017 - 2018,170,230,1.35,350,380,1.09
,,2018 - 2019,170,230,1.35,350,380,1.09
,,2019 - 2020,170,229,1.35,351,381,1.09
,,2020 - 2021,,,,352,388,1.1
,,2021 - 2022,,,,136,125,0.92
,,2022 - 2023,,,,214,215,1
,4. Kohima,2013 - 2014,340,460,1.35,650,700,1.08
,,2014 - 2015,340,470,1.38,650,710,1.09
,,2015 - 2016,350,480,1.37,650,710,1.09
,,2016 - 2017,350,480,1.37,650,710,1.09
,,2017 - 2018,350,480,1.37,650,710,1.09
,,2018 - 2019,330,450,1.36,650,710,1.09
,,2019 - 2020,320,449,1.4,652,712,1.09
,,2020 - 2021,,,,653,723,1.11
,,2021 - 2022,,,,530,583,1.1
,,2022 - 2023,,,,585,636,1.09
,5. Longleng,2013 - 2014,150,200,1.33,380,410,1.08
,,2014 - 2015,150,210,1.4,380,420,1.11
,,2015 - 2016,150,210,1.4,380,420,1.11
,,2016 - 2017,150,200,1.33,380,420,1.11
,,2017 - 2018,150,200,1.33,380,420,1.11
,,2018 - 2019,150,200,1.33,380,420,1.11
,,2019 - 2020,150,199,1.33,381,421,1.1
,,2020 - 2021,,,,382,426,1.12
,,2021 - 2022,,,,240,269,1.12
,,2022 - 2023,,,,378,410,1.08
,6. Mokokchung,2013 - 2014,230,310,1.35,640,690,1.08
,,2014 - 2015,230,320,1.39,650,710,1.09
,,2015 - 2016,230,320,1.39,650,710,1.09
,,2016 - 2017,230,310,1.35,650,720,1.11
,,2017 - 2018,220,310,1.41,650,720,1.11
,,2018 - 2019,220,310,1.41,650,720,1.11
,,2019 - 2020,220,309,1.4,652,722,1.11
,,2020 - 2021,,,,653,730,1.12
,,2021 - 2022,,,,150,168,1.12
,,2022 - 2023,,,,257,262,1.02
,7. Mon,2013 - 2014,210,280,1.33,980,"1,060.00",1.08
,,2014 - 2015,210,290,1.38,980,"1,060.00",1.08
,,2015 - 2016,210,290,1.38,980,"1,060.00",1.08
,,2016 - 2017,210,280,1.33,990,"1,070.00",1.08
,,2017 - 2018,210,280,1.33,990,"1,080.00",1.09
,,2018 - 2019,210,280,1.33,990,"1,080.00",1.09
,,2019 - 2020,210,279,1.33,993,"1,083.00",1.09
,,2020 - 2021,,,,994,"1,095.00",1.1
,,2021 - 2022,,,,750,836,1.11
,,2022 - 2023,,,,"1,183.00","1,294.00",1.09
,8. Noklak,2021 - 2022,,,,200,226,1.13
,,2022 - 2023,,,,315,352,1.12
,9. Nuiland,2022 - 2023,,,,298,326,1.09
,10. Peren,2013 - 2014,230,300,1.3,460,500,1.09
,,2014 - 2015,230,300,1.3,460,510,1.11
,,2015 - 2016,230,300,1.3,460,510,1.11
,,2016 - 2017,230,300,1.3,470,520,1.11
,,2017 - 2018,220,300,1.36,480,530,1.1
,,2018 - 2019,220,300,1.36,490,540,1.1
,,2019 - 2020,220,299,1.36,492,541,1.1
,,2020 - 2021,,,,493,547,1.11
,,2021 - 2022,,,,240,264,1.1
,,2022 - 2023,,,,378,412,1.09
,11. Phek,2013 - 2014,300,400,1.33,680,730,1.07
,,2014 - 2015,310,420,1.35,690,760,1.1
,,2015 - 2016,320,440,1.38,700,770,1.1
,,2016 - 2017,320,440,1.38,700,760,1.09
,,2017 - 2018,320,440,1.38,710,790,1.11
,,2018 - 2019,320,440,1.38,710,790,1.11
,,2019 - 2020,320,439,1.37,712,792,1.11
,,2020 - 2021,,,,712,798,1.12
,,2021 - 2022,,,,300,335,1.12
,,2022 - 2023,,,,483,522,1.08
,12. Shamator,2022 - 2023,,,,174,187,1.07
,13. Tseminyu,2022 - 2023,,,,251,273,1.09
,14. Tuensang,2013 - 2014,210,280,1.33,830,890,1.07
,,2014 - 2015,210,290,1.38,830,910,1.1
,,2015 - 2016,210,290,1.38,830,910,1.1
,,2016 - 2017,210,290,1.38,830,920,1.11
,,2017 - 2018,210,290,1.38,830,920,1.11
,,2018 - 2019,210,290,1.38,830,920,1.11
,,2019 - 2020,210,289,1.38,832,922,1.11
,,2020 - 2021,,,,833,929,1.12
,,2021 - 2022,,,,322,316,0.98
,,2022 - 2023,,,,284,306,1.08
,15. Wokha,2013 - 2014,280,370,1.32,640,690,1.08
,,2014 - 2015,280,380,1.36,650,720,1.11
,,2015 - 2016,290,400,1.38,660,740,1.12
,,2016 - 2017,290,400,1.38,670,750,1.12
,,2017 - 2018,290,400,1.38,680,750,1.1
,,2018 - 2019,290,390,1.34,690,760,1.1
,,2019 - 2020,290,389,1.34,692,762,1.1
,,2020 - 2021,,,,693,771,1.11
,,2021 - 2022,,,,199,222,1.12
,,2022 - 2023,,,,324,346,1.07
,16. Zunheboto,2013 - 2014,200,260,1.3,600,640,1.07
,,2014 - 2015,200,260,1.3,600,660,1.1
,,2015 - 2016,200,260,1.3,600,660,1.1
,,2016 - 2017,190,260,1.37,600,660,1.1
,,2017 - 2018,190,260,1.37,600,660,1.1
,,2018 - 2019,190,260,1.37,600,660,1.1
,,2019 - 2020,190,259,1.36,601,662,1.1
,,2020 - 2021,,,,602,669,1.11
,,2021 - 2022,,,,190,211,1.11
,,2022 - 2023,,,,300,329,1.1
14. Odisha,1. Anugul,2019 - 2020,,,,"1,380.00","1,080.00",0.78
,2. Balangir,2019 - 2020,,,,"2,290.00","1,810.00",0.79
,3. Baleshwar,2019 - 2020,,,,660,510,0.77
,4. Bargarh,2019 - 2020,,,,"1,940.00","1,730.00",0.89
,5. Bhadrak,2019 - 2020,,,,100,80,0.8
,6. Boudh,2019 - 2020,,,,730,590,0.81
,7. Cuttack,2019 - 2020,,,,660,510,0.77
,8. Deogarh,2019 - 2020,,,,70,50,0.71
,9. Dhenkanal,2019 - 2020,,,,680,520,0.76
,10. Gajapati,2019 - 2020,,,,210,160,0.76
,11. Ganjam,2019 - 2020,,,,"2,650.00","2,030.00",0.77
,12. Jagatsinghapur,2019 - 2020,,,,100,80,0.8
,13. Jajapur,2019 - 2020,,,,350,260,0.74
,14. Jharsuguda,2019 - 2020,,,,380,300,0.79
,15. Kalahandi,2019 - 2020,,,,"1,360.00","1,030.00",0.76
,16. Kandhamal,2019 - 2020,,,,730,530,0.73
,17. Kendrapara,2019 - 2020,,,,140,110,0.79
,18. Kendujhar,2019 - 2020,,,,"2,680.00","1,980.00",0.74
,19. Khordha,2019 - 2020,,,,170,130,0.76
,20. Koraput,2019 - 2020,,,,"5,450.00","4,030.00",0.74
,21. Malkangiri,2019 - 2020,,,,300,230,0.77
,22. Mayurbhanj,2019 - 2020,,,,"2,250.00","1,760.00",0.78
,23. Nabarangpur,2019 - 2020,,,,"1,450.00","1,120.00",0.77
,24. Nayagarh,2019 - 2020,,,,970,730,0.75
,25. Nuapada,2019 - 2020,,,,920,630,0.68
,26. Puri,2019 - 2020,,,,60,50,0.83
,27. Rayagada,2019 - 2020,,,,"1,980.00","1,470.00",0.74
,28. Sambalpur,2019 - 2020,,,,500,390,0.78
