State,District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2022 - 2023,,,,581,900,1.55
,20. Chandauli,2013 - 2014,,,,"1,610.00","1,365.00",0.85
,,2014 - 2015,,,,"1,472.00","1,415.00",0.96
,,2015 - 2016,,,,"1,280.00","1,093.00",0.85
,,2016 - 2017,,,,"1,381.00","1,291.00",0.93
,,2017 - 2018,,,,"1,509.00","2,336.00",1.55
,,2018 - 2019,,,,"1,356.00","1,961.00",1.45
,,2019 - 2020,,,,"1,385.00","1,920.00",1.39
,,2020 - 2021,,,,"1,275.00","1,673.00",1.31
,,2021 - 2022,,,,"1,609.00","2,216.00",1.38
,,2022 - 2023,,,,"1,764.00","1,619.00",0.92
,21. Chitrakoot,2013 - 2014,,,,490,345,0.7
,,2014 - 2015,,,,442,78,0.18
,,2015 - 2016,,,,257,145,0.56
,,2016 - 2017,,,,"1,120.00",773,0.69
,,2017 - 2018,,,,527,449,0.85
,,2018 - 2019,,,,460,479,1.04
,,2019 - 2020,,,,580,295,0.51
,,2020 - 2021,,,,736,732,0.99
,,2021 - 2022,,,,714,690,0.97
,,2022 - 2023,,,,782,949,1.21
,22. Deoria,2013 - 2014,,,,"1,506.00",877,0.58
,,2014 - 2015,,,,"1,499.00",727,0.48
,,2015 - 2016,,,,"1,437.00","1,430.00",1
,,2016 - 2017,,,,"1,364.00","1,878.00",1.38
,,2017 - 2018,,,,"1,485.00","2,181.00",1.47
,,2018 - 2019,,,,"1,319.00","2,134.00",1.62
,,2019 - 2020,,,,"1,427.00","2,347.00",1.64
,,2020 - 2021,,,,"1,474.00","2,294.00",1.56
,,2021 - 2022,,,,"1,542.00","2,509.00",1.63
,,2022 - 2023,,,,"1,688.00","2,615.00",1.55
,23. Etah,2013 - 2014,,,,579,574,0.99
,,2014 - 2015,,,,634,822,1.3
,,2015 - 2016,,,,14,14,1
,,2017 - 2018,,,,165,242,1.47
,,2018 - 2019,,,,387,626,1.62
,,2019 - 2020,,,,284,467,1.64
,,2020 - 2021,,,,733,"1,141.00",1.56
,,2022 - 2023,,,,37,57,1.54
,24. Etawah,2013 - 2014,,,,177,310,1.75
,,2014 - 2015,,,,170,93,0.55
,,2015 - 2016,,,,104,138,1.33
,,2016 - 2017,,,,227,356,1.57
,,2017 - 2018,,,,203,335,1.65
,,2018 - 2019,,,,120,180,1.5
,,2019 - 2020,,,,205,198,0.97
,,2020 - 2021,,,,635,817,1.29
,,2021 - 2022,,,,270,439,1.63
,,2022 - 2023,,,,302,468,1.55
,25. Faizabad,2013 - 2014,,,,"3,684.00",936,0.25
,,2014 - 2015,,,,"2,236.00","1,449.00",0.65
,,2015 - 2016,,,,"2,289.00","2,278.00",1
,,2016 - 2017,,,,"1,922.00","1,169.00",0.61
,,2017 - 2018,,,,"2,266.00","3,329.00",1.47
,,2018 - 2019,,,,"1,855.00","3,001.00",1.62
,,2019 - 2020,,,,"2,389.00","3,930.00",1.65
,,2020 - 2021,,,,"2,383.00","3,708.00",1.56
,,2021 - 2022,,,,"2,471.00","4,020.00",1.63
,,2022 - 2023,,,,"2,930.00","4,539.00",1.55
,26. Farrukhabad,2013 - 2014,,,,"1,015.00","1,776.00",1.75
,,2014 - 2015,,,,852,469,0.55
,,2015 - 2016,,,,488,645,1.32
,,2016 - 2017,,,,810,"1,270.00",1.57
,,2017 - 2018,,,,809,"1,334.00",1.65
,,2018 - 2019,,,,817,"1,228.00",1.5
,,2019 - 2020,,,,804,776,0.97
,,2020 - 2021,,,,874,"1,125.00",1.29
,,2021 - 2022,,,,926,"1,507.00",1.63
,,2022 - 2023,,,,"1,014.00","1,571.00",1.55
,27. Fatehpur,2013 - 2014,,,,"1,396.00","1,480.00",1.06
,,2014 - 2015,,,,"2,481.00","1,813.00",0.73
,,2015 - 2016,,,,"1,268.00","1,209.00",0.95
,,2016 - 2017,,,,"1,625.00","2,337.00",1.44
,,2017 - 2018,,,,"1,573.00","2,048.00",1.3
,,2018 - 2019,,,,"1,467.00","1,442.00",0.98
,,2019 - 2020,,,,"1,673.00","2,233.00",1.33
,,2020 - 2021,,,,"1,512.00","1,855.00",1.23
,,2021 - 2022,,,,"2,160.00","2,553.00",1.18
,,2022 - 2023,,,,"2,369.00","3,075.00",1.3
,28. Firozabad,2013 - 2014,,,,335,733,2.19
,,2014 - 2015,,,,336,150,0.45
,,2015 - 2016,,,,316,315,1
,,2016 - 2017,,,,468,"1,318.00",2.82
,,2017 - 2018,,,,263,611,2.32
,,2018 - 2019,,,,501,811,1.62
,,2019 - 2020,,,,417,"1,151.00",2.76
,,2020 - 2021,,,,667,"2,156.00",3.23
,,2021 - 2022,,,,441,"1,425.00",3.23
,,2022 - 2023,,,,483,748,1.55
,29. Gautam buddha nagar,2013 - 2014,,,,59,59,1
,,2014 - 2015,,,,41,31,0.76
,,2015 - 2016,,,,21,21,1
,,2016 - 2017,,,,14,19,1.36
,,2017 - 2018,,,,59,87,1.47
,,2018 - 2019,,,,130,210,1.62
,,2019 - 2020,,,,59,97,1.64
,,2020 - 2021,,,,59,92,1.56
,,2021 - 2022,,,,65,106,1.63
,,2022 - 2023,,,,75,116,1.55
,30. Ghaziabad,2013 - 2014,,,,2,2,1
,,2014 - 2015,,,,7,5,0.71
,,2015 - 2016,,,,3,3,1
,,2016 - 2017,,,,42,58,1.38
,,2022 - 2023,,,,5,8,1.6
,31. Ghazipur,2013 - 2014,,,,"3,591.00","3,350.00",0.93
,,2014 - 2015,,,,"3,611.00","4,257.00",1.18
,,2015 - 2016,,,,"2,264.00","3,165.00",1.4
,,2016 - 2017,,,,"3,574.00","4,139.00",1.16
,,2017 - 2018,,,,"3,932.00","5,705.00",1.45
,,2018 - 2019,,,,"2,927.00","4,376.00",1.5
,,2019 - 2020,,,,"3,594.00","5,290.00",1.47
,,2020 - 2021,,,,"3,644.00","5,233.00",1.44
,,2021 - 2022,,,,"3,992.00","6,379.00",1.6
,,2022 - 2023,,,,"4,410.00","5,777.00",1.31
,32. Gonda,2013 - 2014,,,,"2,637.00","2,616.00",0.99
,,2014 - 2015,,,,"3,278.00","2,475.00",0.76
,,2015 - 2016,,,,"2,568.00","2,555.00",0.99
,,2016 - 2017,,,,"3,349.00","4,612.00",1.38
,,2017 - 2018,,,,"3,290.00","4,833.00",1.47
,,2018 - 2019,,,,"3,261.00","5,276.00",1.62
,,2019 - 2020,,,,893,"1,469.00",1.65
,,2020 - 2021,,,,"3,261.00","5,074.00",1.56
,,2021 - 2022,,,,"3,653.00","5,943.00",1.63
,,2022 - 2023,,,,"4,005.00","6,204.00",1.55
,33. Gorakhpur,2013 - 2014,,,,"1,480.00",861,0.58
,,2014 - 2015,,,,"2,123.00","1,030.00",0.49
,,2015 - 2016,,,,"1,845.00","1,836.00",1
,,2016 - 2017,,,,"2,233.00","3,075.00",1.38
,,2017 - 2018,,,,"2,118.00","3,111.00",1.47
,,2018 - 2019,,,,"2,388.00","3,864.00",1.62
,,2019 - 2020,,,,"2,084.00","3,428.00",1.64
,,2020 - 2021,,,,"2,182.00","3,395.00",1.56
,,2021 - 2022,,,,"2,405.00","3,913.00",1.63
,,2022 - 2023,,,,"2,640.00","4,089.00",1.55
,34. Hamirpur,2013 - 2014,,,,"11,525.00","11,525.00",1
,,2014 - 2015,,,,"20,721.00","10,153.00",0.49
,,2015 - 2016,,,,"18,307.00","12,925.00",0.71
,,2016 - 2017,,,,"12,110.00","15,464.00",1.28
,,2017 - 2018,,,,"8,472.00","11,090.00",1.31
,,2018 - 2019,,,,"8,796.00","13,018.00",1.48
,,2019 - 2020,,,,"11,197.00","14,634.00",1.31
,,2020 - 2021,,,,"9,159.00","12,639.00",1.38
,,2021 - 2022,,,,"14,762.00","20,313.00",1.38
,,2022 - 2023,,,,"16,166.00","21,210.00",1.31
,35. Hapur,2013 - 2014,,,,101,100,0.99
,,2014 - 2015,,,,16,12,0.75
,,2015 - 2016,,,,36,36,1
,,2016 - 2017,,,,60,82,1.37
,,2017 - 2018,,,,31,46,1.48
,,2018 - 2019,,,,95,154,1.62
,,2019 - 2020,,,,289,475,1.64
,,2020 - 2021,,,,48,75,1.56
,,2021 - 2022,,,,48,78,1.63
,,2022 - 2023,,,,56,87,1.55
,36. Hardoi,2013 - 2014,,,,"1,057.00","1,000.00",0.95
,,2014 - 2015,,,,"1,338.00","1,555.00",1.16
,,2015 - 2016,,,,"1,120.00","1,380.00",1.23
,,2016 - 2017,,,,"1,120.00","1,340.00",1.2
,,2017 - 2018,,,,"1,666.00","2,034.00",1.22
,,2018 - 2019,,,,"1,264.00","1,657.00",1.31
,,2019 - 2020,,,,912,740,0.81
,,2020 - 2021,,,,"1,164.00","1,351.00",1.16
,,2021 - 2022,,,,"1,071.00","1,807.00",1.69
,,2022 - 2023,,,,"1,220.00","1,614.00",1.32
,37. Hathras,2013 - 2014,,,,39,39,1
,,2014 - 2015,,,,66,85,1.29
,,2015 - 2016,,,,189,188,0.99
,,2016 - 2017,,,,46,63,1.37
,,2017 - 2018,,,,165,242,1.47
,,2018 - 2019,,,,127,206,1.62
,,2019 - 2020,,,,16,26,1.63
,,2020 - 2021,,,,68,106,1.56
,,2021 - 2022,,,,29,47,1.62
,,2022 - 2023,,,,32,50,1.56
,38. Jalaun,2013 - 2014,,,,"79,474.00","1,23,503.00",1.55
,,2014 - 2015,,,,"76,325.00","70,295.00",0.92
,,2015 - 2016,,,,"76,330.00","95,870.00",1.26
,,2016 - 2017,,,,"79,357.00","1,39,589.00",1.76
,,2017 - 2018,,,,"69,595.00","1,23,670.00",1.78
,,2018 - 2019,,,,"73,368.00","1,48,937.00",2.03
,,2019 - 2020,,,,"65,267.00","1,27,858.00",1.96
,,2020 - 2021,,,,"74,009.00","1,48,980.00",2.01
,,2021 - 2022,,,,"93,571.00","1,70,393.00",1.82
,,2022 - 2023,,,,"88,169.00","1,54,119.00",1.75
,39. Jaunpur,2013 - 2014,,,,"5,274.00","4,473.00",0.85
,,2014 - 2015,,,,"5,839.00","5,612.00",0.96
,,2015 - 2016,,,,"5,568.00","4,983.00",0.89
,,2016 - 2017,,,,"5,631.00","10,023.00",1.78
,,2017 - 2018,,,,"5,446.00","9,127.00",1.68
,,2018 - 2019,,,,"5,751.00","7,770.00",1.35
,,2019 - 2020,,,,"5,548.00","8,294.00",1.49
,,2020 - 2021,,,,"5,515.00","10,738.00",1.95
,,2021 - 2022,,,,"6,054.00","14,239.00",2.35
,,2022 - 2023,,,,"6,625.00","12,170.00",1.84
,40. Jhansi,2013 - 2014,,,,"56,429.00","37,243.00",0.66
,,2014 - 2015,,,,"94,681.00","62,395.00",0.66
,,2015 - 2016,,,,"39,255.00","43,338.00",1.1
,,2016 - 2017,,,,"65,943.00","92,320.00",1.4
,,2017 - 2018,,,,"30,394.00","37,962.00",1.25
,,2018 - 2019,,,,"52,184.00","90,122.00",1.73
,,2019 - 2020,,,,"56,429.00","1,07,554.00",1.91
,,2020 - 2021,,,,"66,818.00","92,944.00",1.39
,,2021 - 2022,,,,"95,814.00","1,36,248.00",1.42
,,2022 - 2023,,,,"98,550.00","1,59,060.00",1.61
,41. Kannauj,2013 - 2014,,,,793,"1,387.00",1.75
,,2014 - 2015,,,,641,352,0.55
,,2015 - 2016,,,,344,455,1.32
,,2016 - 2017,,,,634,994,1.57
,,2017 - 2018,,,,789,"1,301.00",1.65
,,2018 - 2019,,,,599,900,1.5
,,2019 - 2020,,,,620,598,0.96
,,2020 - 2021,,,,613,789,1.29
,,2021 - 2022,,,,675,"1,098.00",1.63
,,2022 - 2023,,,,740,"1,146.00",1.55
,42. Kanpur dehat,2013 - 2014,,,,"2,427.00","3,684.00",1.52
,,2014 - 2015,,,,"2,338.00","1,286.00",0.55
,,2015 - 2016,,,,"1,016.00","1,343.00",1.32
,,2016 - 2017,,,,"2,284.00","3,581.00",1.57
,,2017 - 2018,,,,"2,176.00","3,588.00",1.65
,,2018 - 2019,,,,"2,270.00","3,411.00",1.5
,,2019 - 2020,,,,"3,348.00","3,231.00",0.97
,,2020 - 2021,,,,"2,278.00","2,932.00",1.29
,,2021 - 2022,,,,"3,316.00","5,395.00",1.63
,,2022 - 2023,,,,"3,629.00","5,621.00",1.55
,43. Kanpur nagar,2013 - 2014,,,,"2,569.00","5,053.00",1.97
,,2014 - 2015,,,,"2,269.00","1,248.00",0.55
,,2015 - 2016,,,,"2,572.00","3,400.00",1.32
,,2016 - 2017,,,,"2,446.00","3,835.00",1.57
,,2017 - 2018,,,,"2,505.00","4,131.00",1.65
,,2018 - 2019,,,,"2,952.00","4,437.00",1.5
,,2019 - 2020,,,,"2,732.00","2,636.00",0.96
,,2020 - 2021,,,,"2,599.00","3,345.00",1.29
,,2021 - 2022,,,,"2,655.00","4,320.00",1.63
,,2022 - 2023,,,,"2,908.00","4,504.00",1.55
,44. Kasganj,2013 - 2014,,,,"1,726.00","1,712.00",0.99
,,2015 - 2016,,,,"2,627.00","2,614.00",1
,,2018 - 2019,,,,"6,939.00","11,227.00",1.62
,,2020 - 2021,,,,"6,926.00","10,777.00",1.56
,45. Kaushambi,2013 - 2014,,,,"1,020.00","1,081.00",1.06
,,2014 - 2015,,,,"1,793.00","1,311.00",0.73
,,2015 - 2016,,,,"1,156.00","1,103.00",0.95
,,2016 - 2017,,,,"1,347.00","1,596.00",1.18
,,2017 - 2018,,,,"1,306.00","1,958.00",1.5
,,2018 - 2019,,,,"1,127.00","1,410.00",1.25
,,2019 - 2020,,,,"1,103.00",988,0.9
,,2020 - 2021,,,,"1,726.00","2,183.00",1.26
,,2021 - 2022,,,,"1,640.00","2,968.00",1.81
,,2022 - 2023,,,,"1,795.00","2,897.00",1.61
,46. Kheri,2013 - 2014,,,,586,554,0.95
,,2014 - 2015,,,,429,499,1.16
,,2015 - 2016,,,,625,770,1.23
,,2016 - 2017,,,,418,500,1.2
,,2017 - 2018,,,,432,527,1.22
,,2018 - 2019,,,,"1,023.00","1,341.00",1.31
,,2019 - 2020,,,,361,293,0.81
,,2020 - 2021,,,,498,578,1.16
,,2021 - 2022,,,,374,631,1.69
,,2022 - 2023,,,,416,550,1.32
,47. Kushi nagar,2013 - 2014,,,,552,321,0.58
,,2014 - 2015,,,,485,235,0.48
,,2015 - 2016,,,,526,523,0.99
,,2016 - 2017,,,,511,704,1.38
,,2017 - 2018,,,,556,817,1.47
,,2018 - 2019,,,,241,390,1.62
,,2019 - 2020,,,,551,906,1.64
,,2020 - 2021,,,,449,699,1.56
,,2021 - 2022,,,,588,957,1.63
,,2022 - 2023,,,,648,"1,004.00",1.55
,48. Lalitpur,2013 - 2014,,,,"63,268.00","61,750.00",0.98
,,2014 - 2015,,,,"68,573.00","57,190.00",0.83
,,2015 - 2016,,,,"36,396.00","29,736.00",0.82
,,2016 - 2017,,,,"69,626.00","1,07,572.00",1.54
,,2017 - 2018,,,,"48,627.00","87,577.00",1.8
,,2018 - 2019,,,,"51,082.00","82,038.00",1.61
,,2019 - 2020,,,,"60,370.00","1,01,784.00",1.69
,,2020 - 2021,,,,"58,695.00","85,812.00",1.46
,,2021 - 2022,,,,"64,564.00","1,23,769.00",1.92
,,2022 - 2023,,,,"73,314.00","1,11,657.00",1.52
,49. Lucknow,2013 - 2014,,,,783,741,0.95
,,2014 - 2015,,,,815,947,1.16
,,2015 - 2016,,,,566,697,1.23
,,2016 - 2017,,,,740,885,1.2
,,2017 - 2018,,,,659,805,1.22
,,2018 - 2019,,,,744,975,1.31
,,2019 - 2020,,,,629,510,0.81
,,2020 - 2021,,,,767,890,1.16
,,2021 - 2022,,,,844,"1,424.00",1.69
,,2022 - 2023,,,,949,"1,256.00",1.32
,50. Maharajganj,2013 - 2014,,,,"1,180.00",687,0.58
,,2014 - 2015,,,,"1,042.00",505,0.48
,,2015 - 2016,,,,782,778,0.99
,,2016 - 2017,,,,"1,174.00","1,616.00",1.38
,,2017 - 2018,,,,"1,233.00","1,811.00",1.47
,,2018 - 2019,,,,"1,063.00","1,720.00",1.62
,,2019 - 2020,,,,"1,184.00","1,948.00",1.65
,,2020 - 2021,,,,"1,124.00","1,749.00",1.56
,,2021 - 2022,,,,"1,317.00","2,143.00",1.63
,,2022 - 2023,,,,"1,441.00","2,232.00",1.55
,51. Mahoba,2013 - 2014,,,,"29,727.00","18,431.00",0.62
,,2014 - 2015,,,,"37,842.00","16,688.00",0.44
,,2015 - 2016,,,,"13,914.00","4,355.00",0.31
,,2016 - 2017,,,,"42,188.00","33,582.00",0.8
,,2017 - 2018,,,,"24,408.00","16,329.00",0.67
,,2018 - 2019,,,,"24,218.00","27,076.00",1.12
,,2019 - 2020,,,,"37,004.00","62,574.00",1.69
,,2020 - 2021,,,,"29,223.00","41,760.00",1.43
,,2021 - 2022,,,,"27,530.00","31,412.00",1.14
,,2022 - 2023,,,,"36,332.00","59,003.00",1.62
,52. Mainpuri,2013 - 2014,,,,"1,218.00","2,666.00",2.19
,,2014 - 2015,,,,"1,120.00",500,0.45
,,2015 - 2016,,,,"1,141.00","1,135.00",0.99
,,2016 - 2017,,,,"1,346.00","3,789.00",2.82
,,2017 - 2018,,,,"1,065.00","2,475.00",2.32
,,2018 - 2019,,,,962,"1,556.00",1.62
,,2019 - 2020,,,,"1,099.00","3,032.00",2.76
,,2020 - 2021,,,,"1,067.00","3,449.00",3.23
,,2021 - 2022,,,,"1,443.00","4,662.00",3.23
,,2022 - 2023,,,,"1,579.00","2,446.00",1.55
,53. Mathura,2013 - 2014,,,,1,2,2
,,2014 - 2015,,,,6,2,0.33
,,2015 - 2016,,,,2,2,1
,,2016 - 2017,,,,11,31,2.82
,,2017 - 2018,,,,1,2,2
,,2018 - 2019,,,,23,37,1.61
,,2019 - 2020,,,,1,3,3
,,2020 - 2021,,,,1,3,3
,54. Mau,2013 - 2014,,,,"1,205.00",686,0.57
,,2014 - 2015,,,,"1,562.00","2,228.00",1.43
,,2015 - 2016,,,,"1,458.00","1,330.00",0.91
,,2016 - 2017,,,,"1,561.00","2,285.00",1.46
,,2017 - 2018,,,,"1,411.00","1,769.00",1.25
,,2018 - 2019,,,,"1,437.00","2,230.00",1.55
,,2019 - 2020,,,,"1,497.00","2,380.00",1.59
,,2020 - 2021,,,,"1,434.00","2,145.00",1.5
,,2021 - 2022,,,,"1,574.00","2,670.00",1.7
,,2022 - 2023,,,,"1,752.00","2,300.00",1.31
,55. Meerut,2013 - 2014,,,,795,790,0.99
,,2014 - 2015,,,,275,208,0.76
,,2015 - 2016,,,,362,360,0.99
,,2016 - 2017,,,,143,197,1.38
,,2017 - 2018,,,,421,618,1.47
,,2018 - 2019,,,,551,892,1.62
,,2019 - 2020,,,,280,461,1.65
,,2020 - 2021,,,,366,569,1.55
,,2021 - 2022,,,,375,610,1.63
,,2022 - 2023,,,,428,663,1.55
,56. Mirzapur,2013 - 2014,,,,"4,354.00","4,916.00",1.13
,,2014 - 2015,,,,"3,158.00","3,935.00",1.25
,,2015 - 2016,,,,"2,878.00","2,800.00",0.97
,,2016 - 2017,,,,"3,866.00","4,616.00",1.19
,,2017 - 2018,,,,"3,878.00","4,436.00",1.14
,,2018 - 2019,,,,"4,965.00","6,325.00",1.27
,,2019 - 2020,,,,"3,319.00","2,579.00",0.78
,,2020 - 2021,,,,"3,063.00","3,522.00",1.15
,,2021 - 2022,,,,"3,486.00","3,929.00",1.13
,,2022 - 2023,,,,"5,693.00","7,498.00",1.32
,57. Moradabad,2013 - 2014,,,,321,321,1
,,2014 - 2015,,,,175,168,0.96
,,2015 - 2016,,,,126,112,0.89
,,2016 - 2017,,,,107,102,0.95
,,2017 - 2018,,,,102,97,0.95
,,2018 - 2019,,,,240,246,1.03
,,2019 - 2020,,,,144,176,1.22
,,2020 - 2021,,,,104,114,1.1
,,2021 - 2022,,,,195,900,4.62
,,2022 - 2023,,,,213,330,1.55
,58. Muzaffarnagar,2013 - 2014,,,,32,32,1
,,2014 - 2015,,,,37,28,0.76
,,2015 - 2016,,,,27,27,1
,,2016 - 2017,,,,36,50,1.39
,,2017 - 2018,,,,74,109,1.47
,,2018 - 2019,,,,52,84,1.62
,,2019 - 2020,,,,35,58,1.66
,,2020 - 2021,,,,44,69,1.57
,,2021 - 2022,,,,21,34,1.62
,,2022 - 2023,,,,24,37,1.54
,59. Pilibhit,2013 - 2014,,,,557,"1,202.00",2.16
,,2014 - 2015,,,,295,289,0.98
,,2015 - 2016,,,,247,244,0.99
,,2016 - 2017,,,,530,730,1.38
,,2017 - 2018,,,,939,"2,213.00",2.36
,,2018 - 2019,,,,993,"2,727.00",2.75
,,2019 - 2020,,,,242,428,1.77
,,2020 - 2021,,,,417,"1,259.00",3.02
,,2021 - 2022,,,,582,952,1.64
,,2022 - 2023,,,,639,615,0.96
,60. Pratapgarh,2013 - 2014,,,,"4,251.00","4,506.00",1.06
,,2014 - 2015,,,,"4,228.00","3,091.00",0.73
,,2015 - 2016,,,,"3,753.00","3,580.00",0.95
,,2016 - 2017,,,,"4,237.00","5,020.00",1.18
,,2017 - 2018,,,,"4,160.00","4,967.00",1.19
,,2018 - 2019,,,,"4,673.00","5,042.00",1.08
,,2019 - 2020,,,,"4,266.00","4,368.00",1.02
,,2020 - 2021,,,,"4,102.00","4,205.00",1.03
,,2021 - 2022,,,,"4,764.00","6,093.00",1.28
,,2022 - 2023,,,,"5,212.00","6,338.00",1.22
,61. Rae bareli,2013 - 2014,,,,"1,931.00","1,827.00",0.95
,,2014 - 2015,,,,"2,867.00","3,331.00",1.16
,,2015 - 2016,,,,"2,045.00","2,519.00",1.23
,,2016 - 2017,,,,"2,080.00","2,487.00",1.2
,,2017 - 2018,,,,"2,191.00","2,675.00",1.22
,,2018 - 2019,,,,"2,077.00","2,723.00",1.31
,,2019 - 2020,,,,"2,126.00","1,724.00",0.81
,,2020 - 2021,,,,"2,062.00","2,394.00",1.16
,,2021 - 2022,,,,"2,216.00","3,738.00",1.69
,,2022 - 2023,,,,"2,425.00","3,208.00",1.32
,62. Rampur,2013 - 2014,,,,"2,333.00","2,333.00",1
,,2014 - 2015,,,,"1,466.00","1,409.00",0.96
,,2015 - 2016,,,,"2,398.00","2,132.00",0.89
,,2016 - 2017,,,,"2,380.00","2,268.00",0.95
,,2017 - 2018,,,,"1,953.00","1,855.00",0.95
,,2018 - 2019,,,,"2,846.00","2,912.00",1.02
,,2019 - 2020,,,,"1,845.00","2,260.00",1.22
,,2020 - 2021,,,,"1,889.00","2,072.00",1.1
,,2021 - 2022,,,,"2,364.00","10,915.00",4.62
,,2022 - 2023,,,,"2,835.00","4,391.00",1.55
,63. Saharanpur,2013 - 2014,,,,14,14,1
,,2014 - 2015,,,,43,33,0.77
,,2015 - 2016,,,,24,24,1
,,2016 - 2017,,,,90,124,1.38
,,2017 - 2018,,,,44,64,1.45
,,2018 - 2019,,,,22,36,1.64
,,2019 - 2020,,,,22,36,1.64
,,2020 - 2021,,,,20,31,1.55
,,2021 - 2022,,,,17,28,1.65
,,2022 - 2023,,,,19,29,1.53
,64. Sambhal,2013 - 2014,,,,318,318,1
,,2014 - 2015,,,,268,258,0.96
,,2015 - 2016,,,,85,75,0.88
,,2016 - 2017,,,,259,247,0.95
,,2017 - 2018,,,,127,121,0.95
,,2018 - 2019,,,,162,166,1.02
,,2019 - 2020,,,,122,150,1.23
,,2020 - 2021,,,,129,142,1.1
,,2021 - 2022,,,,139,642,4.62
,,2022 - 2023,,,,152,235,1.55
,65. Sant kabeer nagar,2013 - 2014,,,,"3,905.00","3,874.00",0.99
,,2014 - 2015,,,,"3,386.00","2,556.00",0.75
,,2015 - 2016,,,,"3,270.00","3,254.00",1
,,2016 - 2017,,,,"4,007.00","4,308.00",1.08
,,2017 - 2018,,,,"3,843.00","4,247.00",1.11
,,2018 - 2019,,,,"3,448.00","3,789.00",1.1
,,2019 - 2020,,,,"3,811.00","3,289.00",0.86
,,2020 - 2021,,,,"3,928.00","3,677.00",0.94
,,2021 - 2022,,,,"4,297.00","4,331.00",1.01
,,2022 - 2023,,,,"4,705.00","5,260.00",1.12
,66. Sant ravidas nagar,2013 - 2014,,,,"1,076.00","1,050.00",0.98
,,2014 - 2015,,,,"1,131.00","1,146.00",1.01
,,2015 - 2016,,,,"1,186.00","1,154.00",0.97
,,2016 - 2017,,,,"1,047.00","1,174.00",1.12
,,2017 - 2018,,,,"1,030.00","1,045.00",1.01
,,2018 - 2019,,,,877,926,1.06
,,2019 - 2020,,,,971,777,0.8
,,2020 - 2021,,,,"1,029.00","1,063.00",1.03
,,2021 - 2022,,,,"1,211.00","1,265.00",1.04
,,2022 - 2023,,,,"1,340.00","1,876.00",1.4
,67. Shahjahanpur,2013 - 2014,,,,803,"1,733.00",2.16
,,2014 - 2015,,,,505,495,0.98
,,2015 - 2016,,,,548,542,0.99
,,2016 - 2017,,,,509,701,1.38
,,2017 - 2018,,,,812,"1,914.00",2.36
,,2018 - 2019,,,,606,"1,664.00",2.75
,,2019 - 2020,,,,700,"1,238.00",1.77
,,2020 - 2021,,,,682,"2,060.00",3.02
,,2021 - 2022,,,,659,"1,077.00",1.63
,,2022 - 2023,,,,721,694,0.96
,68. Shamli,2013 - 2014,,,,12,12,1
,,2014 - 2015,,,,7,5,0.71
,,2015 - 2016,,,,39,39,1
,,2016 - 2017,,,,17,23,1.35
,,2017 - 2018,,,,6,9,1.5
,,2018 - 2019,,,,11,18,1.64
,,2019 - 2020,,,,26,43,1.65
,,2020 - 2021,,,,11,17,1.55
,,2021 - 2022,,,,12,19,1.58
,,2022 - 2023,,,,13,20,1.54
,69. Shravasti,2013 - 2014,,,,666,660,0.99
,,2014 - 2015,,,,592,447,0.76
,,2015 - 2016,,,,409,407,1
,,2016 - 2017,,,,241,332,1.38
,,2017 - 2018,,,,237,348,1.47
,,2018 - 2019,,,,"1,239.00","2,005.00",1.62
,,2019 - 2020,,,,402,661,1.64
,,2020 - 2021,,,,246,383,1.56
,,2021 - 2022,,,,256,417,1.63
,,2022 - 2023,,,,282,437,1.55
,70. Siddharth nagar,2013 - 2014,,,,"3,305.00","3,278.00",0.99
,,2014 - 2015,,,,"3,108.00","2,347.00",0.76
,,2015 - 2016,,,,"2,295.00","2,283.00",0.99
,,2016 - 2017,,,,"3,275.00","3,620.00",1.11
,,2017 - 2018,,,,"3,333.00","4,156.00",1.25
,,2018 - 2019,,,,"3,193.00","2,960.00",0.93
,,2019 - 2020,,,,"3,186.00","2,791.00",0.88
,,2020 - 2021,,,,"3,245.00","3,174.00",0.98
,,2021 - 2022,,,,"3,475.00","3,503.00",1.01
,,2022 - 2023,,,,"3,802.00","4,251.00",1.12
,71. Sitapur,2013 - 2014,,,,"1,762.00","1,667.00",0.95
,,2014 - 2015,,,,"1,710.00","1,987.00",1.16
,,2015 - 2016,,,,"1,968.00","2,425.00",1.23
,,2016 - 2017,,,,"2,177.00","2,604.00",1.2
,,2017 - 2018,,,,"1,891.00","2,309.00",1.22
,,2018 - 2019,,,,"2,525.00","3,310.00",1.31
,,2019 - 2020,,,,"2,248.00","1,823.00",0.81
,,2020 - 2021,,,,"2,463.00","2,860.00",1.16
,,2021 - 2022,,,,"2,213.00","3,733.00",1.69
,,2022 - 2023,,,,"2,422.00","3,204.00",1.32
,72. Sonbhadra,2013 - 2014,,,,"4,069.00","3,296.00",0.81
,,2014 - 2015,,,,"3,624.00","2,935.00",0.81
,,2015 - 2016,,,,"2,886.00","2,808.00",0.97
,,2016 - 2017,,,,"3,569.00","3,744.00",1.05
,,2017 - 2018,,,,"3,349.00","2,897.00",0.87
,,2018 - 2019,,,,"3,885.00","3,019.00",0.78
,,2019 - 2020,,,,"3,736.00","3,064.00",0.82
,,2020 - 2021,,,,"3,163.00","2,910.00",0.92
