State,District,Year,rice_area,rice_production,rice_yield
Andhra Pradesh,West godavari,2013-2014,420619.0,1342335.0,6.73
Andhra Pradesh,West godavari,2014-2015,409286.0,1624324.0,8.18
Andhra Pradesh,West godavari,2015-2016,403802.0,1558506.0,7.939999999999999
Andhra Pradesh,West godavari,2016-2017,399411.0,1666097.0,8.57
Andhra Pradesh,West godavari,2017-2018,393223.0,1693907.0,8.88
Andhra Pradesh,West godavari,2018-2019,396877.0,1744704.0,9.0
Andhra Pradesh,West godavari,2019-2020,394173.0,1766642.0,9.18
Andhra Pradesh,West godavari,2020-2021,414027.0,1613457.0,8.02
Andhra Pradesh,West godavari,2021-2022,421951.0,1735499.0,8.34
Andhra Pradesh,West godavari,2022-2023,175965.0,800687.0,9.01
Arunachal Pradesh,Anjaw,2013-2014,3561.0,2624.0,0.74
Arunachal Pradesh,Anjaw,2014-2015,3561.0,2394.0,0.67
Arunachal Pradesh,Anjaw,2015-2016,3655.0,2507.0,0.69
Arunachal Pradesh,Anjaw,2016-2017,3655.0,2508.0,0.69
Arunachal Pradesh,Anjaw,2017-2018,3703.0,3774.66,1.02
Arunachal Pradesh,Anjaw,2018-2019,3727.0,3853.3,1.03
Arunachal Pradesh,Anjaw,2019-2020,3741.0,4069.0,1.09
Arunachal Pradesh,Anjaw,2020-2021,3752.0,4160.0,1.11
Arunachal Pradesh,Anjaw,2021-2022,3802.0,4245.33,1.12
Arunachal Pradesh,Anjaw,2022-2023,3826.0,4294.0,1.12
Arunachal Pradesh,Changlang,2013-2014,9681.0,19750.0,2.04
Arunachal Pradesh,Changlang,2014-2015,9081.0,20169.0,2.22
Arunachal Pradesh,Changlang,2015-2016,9175.0,19987.0,2.18
Arunachal Pradesh,Changlang,2016-2017,9375.0,20653.33,2.2
Arunachal Pradesh,Changlang,2017-2018,9423.0,20814.0,2.21
Arunachal Pradesh,Changlang,2018-2019,9447.0,20892.6,2.21
Arunachal Pradesh,Changlang,2019-2020,9461.0,21108.0,2.23
Arunachal Pradesh,Changlang,2020-2021,9471.0,21199.33,2.24
Arunachal Pradesh,Changlang,2021-2022,9671.0,21598.67,2.23
Arunachal Pradesh,Changlang,2022-2023,9703.0,21779.3,2.24
Arunachal Pradesh,Dibang valley,2013-2014,1690.0,1486.0,0.88
Arunachal Pradesh,Dibang valley,2014-2015,1690.0,1485.0,0.88
Arunachal Pradesh,Dibang valley,2015-2016,1690.0,1487.0,0.88
Arunachal Pradesh,Dibang valley,2016-2017,1759.0,1634.0,0.93
Arunachal Pradesh,Dibang valley,2017-2018,1807.0,1834.0,1.01
Arunachal Pradesh,Dibang valley,2018-2019,1831.0,1912.6,1.04
Arunachal Pradesh,Dibang valley,2019-2020,1845.0,2128.0,1.15
Arunachal Pradesh,Dibang valley,2020-2021,1856.0,2219.33,1.2
