State,District,Year,Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare)
,22. Tirupati,2022 - 2023,112,204,1.82,71,130,1.83,,,,,,
,23. Visakhapatanam,2013 - 2014,"2,798.00","8,196.00",2.93,,,,,,,,,
,,2014 - 2015,"2,840.00","12,510.00",4.4,,,,,,,,,
,,2015 - 2016,"2,123.00","3,609.00",1.7,,,,,,,,,
,,2016 - 2017,"1,652.00","1,950.00",1.18,,,,,,,,,
,,2017 - 2018,"1,474.00","2,000.00",1.36,,,,,,,,,
,,2018 - 2019,"1,092.00","1,632.00",1.49,,,,,,,,,
,,2019 - 2020,976,396,0.41,,,,,,,,,
,,2020 - 2021,810,660,0.81,,,,,,,,,
,,2021 - 2022,274,315,1.15,,,,,,,,,
,24. Vizianagaram,2013 - 2014,"15,303.00","26,735.00",1.75,,,,,,,,,
,,2014 - 2015,"15,698.00","37,286.00",2.38,,,,,,,,,
,,2015 - 2016,"15,597.00","33,141.00",2.12,,,,,,,,,
,,2016 - 2017,"14,632.00","31,148.00",2.13,2,4,2,,,,,,
,,2017 - 2018,"13,630.00","33,550.00",2.46,,,,,,,,,
,,2018 - 2019,"11,485.00","26,016.00",2.27,,,,,,,,,
,,2019 - 2020,"12,257.00","5,430.00",0.44,,,,,,,,,
,,2020 - 2021,"10,070.00","21,451.00",2.13,,,,,,,,,
,,2021 - 2022,"9,228.00","19,279.00",2.09,,,,,,,,,
,,2022 - 2023,"2,039.00","5,892.00",2.89,,,,,,,,,
,25. West godavari,2013 - 2014,"5,240.00","13,038.00",2.49,,,,,,,,,
,,2014 - 2015,"9,795.00","13,807.00",1.41,,,,,,,,,
,,2015 - 2016,"8,392.00","27,715.00",3.3,,,,,,,,,
,,2016 - 2017,"4,615.00","14,782.00",3.2,,,,,,,,,
,,2017 - 2018,"4,525.00","13,985.00",3.09,,,,,,,,,
,,2018 - 2019,"5,235.00","16,989.00",3.25,,,,,,,,,
,,2019 - 2020,"4,856.00","2,285.00",0.47,,,,,,,,,
,,2020 - 2021,"4,770.00","7,792.00",1.63,,,,,,,,,
,,2021 - 2022,"2,929.00","8,184.00",2.79,,,,,,,,,
2. Assam,1. Baksa,2013 - 2014,10,4,0.4,,,,,,,,,
