State,District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,6. Bhojpur,2013 - 2014,,,,,,,280,"14,576.00",52.06,,,,,,
,,2014 - 2015,,,,,,,542,"36,117.00",66.64,,,,,,
,,2015 - 2016,,,,,,,209,"9,843.00",47.1,,,,,,
,,2016 - 2017,,,,,,,205,"11,143.00",54.36,,,,,,
,,2017 - 2018,,,,,,,47,"2,999.00",63.81,,,,,,
,,2018 - 2019,,,,,,,2,119,59.5,,,,,,
,,2019 - 2020,,,,,,,1,61,61,,,,,,
,,2021 - 2022,,,,,,,2,115,57.5,,,,,,
,,2022 - 2023,,,,,,,1,69,69,,,,,,
,7. Buxar,2013 - 2014,,,,,,,611,"36,025.00",58.96,,,,,,
,,2014 - 2015,,,,,,,590,"39,315.00",66.64,,,,,,
,,2015 - 2016,,,,,,,392,"17,102.00",43.63,,,,,,
,,2016 - 2017,,,,,,,162,"8,695.00",53.67,,,,,,
,,2017 - 2018,,,,,,,117,"7,540.00",64.44,,,,,,
,,2018 - 2019,,,,,,,6,354,59,,,,,,
,,2019 - 2020,,,,,,,63,"3,817.00",60.59,,,,,,
,,2020 - 2021,,,,,,,7,384,54.86,,,,,,
,,2021 - 2022,,,,,,,39,"2,233.00",57.26,,,,,,
,,2022 - 2023,,,,,,,29,"2,136.00",73.66,,,,,,
,8. Darbhanga,2013 - 2014,,,,,,,"2,189.00","1,15,141.00",52.6,,,,,,
,,2014 - 2015,,,,,,,"2,486.00","1,02,325.00",41.16,,,,,,
,,2015 - 2016,,,,,,,"2,502.00","1,19,598.00",47.8,,,,,,
,,2016 - 2017,,,,,,,"2,227.00","1,28,231.00",57.58,,,,,,
,,2017 - 2018,,,,,,,"2,238.00","1,32,675.00",59.28,,,,,,
,,2018 - 2019,,,,,,,"2,093.00","80,326.00",38.38,,,,,,
,,2019 - 2020,,,,,,,"1,479.00","86,772.00",58.67,,,,,,
,,2020 - 2021,,,,,,,"1,100.00","21,898.00",19.91,,,,,,
,,2021 - 2022,,,,,,,948,"48,072.00",50.71,,,,,,
,,2022 - 2023,,,,,,,889,"41,176.00",46.32,,,,,,
,9. Gaya,2013 - 2014,,,,,,,459,"13,140.00",28.63,,,,,,
,,2014 - 2015,,,,,,,313,"24,774.00",79.15,,,,,,
,,2015 - 2016,,,,,,,200,"21,813.00",109.07,,,,,,
,,2016 - 2017,,,,,,,192,"13,130.00",68.39,,,,,,
,,2017 - 2018,,,,,,,142,"7,775.00",54.75,,,,,,
,,2018 - 2019,,,,,,,149,"10,186.00",68.36,,,,,,
,10. Gopalganj,2013 - 2014,,,,,,,"27,119.00","14,75,256.00",54.4,,,,,,
,,2014 - 2015,,,,,,,"24,795.00","14,32,537.00",57.78,,,,,,
,,2015 - 2016,,,,,,,"23,675.00","13,45,728.00",56.84,,,,,,
,,2016 - 2017,,,,,,,"21,481.00","11,53,526.00",53.7,,,,,,
,,2017 - 2018,,,,,,,"24,634.00","14,02,526.00",56.93,,,,,,
,,2018 - 2019,,,,,,,"18,290.00","10,41,951.00",56.97,,,,,,
,,2019 - 2020,,,,,,,"16,261.00","10,78,901.00",66.35,,,,,,
,,2020 - 2021,,,,,,,"13,413.00","7,64,339.00",56.98,,,,,,
,,2021 - 2022,,,,,,,"7,838.00","5,88,853.00",75.13,,,,,,
,,2022 - 2023,,,,,,,"7,367.00","4,66,540.00",63.33,,,,,,
,11. Jamui,2013 - 2014,,,,,,,"1,003.00","48,804.00",48.66,,,,,,
,,2014 - 2015,,,,,,,610,"34,770.00",57,,,,,,
,,2015 - 2016,,,,,,,800,"53,088.00",66.36,,,,,,
,,2016 - 2017,,,,,,,903,"51,163.00",56.66,,,,,,
,,2017 - 2018,,,,,,,319,"16,929.00",53.07,,,,,,
,,2018 - 2019,,,,,,,46,"2,103.00",45.72,,,,,,
,,2019 - 2020,,,,,,,25,"1,467.00",58.68,,,,,,
,,2020 - 2021,,,,,,,25,"1,526.00",61.04,,,,,,
,,2021 - 2022,,,,,,,1,42,42,,,,,,
,12. Jehanabad,2013 - 2014,,,,,,,210,"5,194.00",24.73,,,,,,
,,2014 - 2015,,,,,,,18,"2,039.00",113.28,,,,,,
,,2015 - 2016,,,,,,,18,"1,989.00",110.5,,,,,,
,,2016 - 2017,,,,,,,17,"2,083.00",122.53,,,,,,
,,2017 - 2018,,,,,,,39,"1,587.00",40.69,,,,,,
,,2019 - 2020,,,,,,,143,"8,664.00",60.59,,,,,,
,13. Kaimur (bhabua),2013 - 2014,,,,,,,323,"12,644.00",39.15,,,,,,
,,2014 - 2015,,,,,,,153,"10,195.00",66.63,,,,,,
,,2015 - 2016,,,,,,,141,"6,141.00",43.55,,,,,,
,,2016 - 2017,,,,,,,120,"6,441.00",53.68,,,,,,
,,2017 - 2018,,,,,,,74,"4,769.00",64.45,,,,,,
,,2018 - 2019,,,,,,,54,"3,209.00",59.43,,,,,,
,,2019 - 2020,,,,,,,64,"3,877.00",60.58,,,,,,
,,2020 - 2021,,,,,,,64,"3,507.00",54.8,,,,,,
,,2021 - 2022,,,,,,,44,"2,514.00",57.14,,,,,,
,,2022 - 2023,,,,,,,27,"1,862.00",68.96,,,,,,
,14. Katihar,2013 - 2014,,,,,,,224,"11,903.00",53.14,,,,,,
,,2014 - 2015,,,,,,,230,"13,481.00",58.61,,,,,,
,,2015 - 2016,,,,,,,223,"11,393.00",51.09,,,,,,
,,2016 - 2017,,,,,,,226,"12,667.00",56.05,,,,,,
,,2018 - 2019,,,,,,,237,"13,435.00",56.69,,,,,,
,15. Khagaria,2013 - 2014,,,,,,,74,"5,498.00",74.3,,,,,,
,,2014 - 2015,,,,,,,74,"4,110.00",55.54,,,,,,
,,2015 - 2016,,,,,,,7,375,53.57,,,,,,
,,2019 - 2020,,,,,,,11,672,61.09,,,,,,
,,2020 - 2021,,,,,,,10,602,60.2,,,,,,
,,2021 - 2022,,,,,,,10,544,54.4,,,,,,
,,2022 - 2023,,,,,,,2,150,75,,,,,,
,16. Kishanganj,2013 - 2014,,,,,,,81,"4,634.00",57.21,,,,,,
,,2014 - 2015,,,,,,,78,"4,332.00",55.54,,,,,,
,,2015 - 2016,,,,,,,82,"4,392.00",53.56,,,,,,
,,2016 - 2017,,,,,,,85,"4,893.00",57.56,,,,,,
,,2017 - 2018,,,,,,,86,"5,119.00",59.52,,,,,,
,,2018 - 2019,,,,,,,92,"5,215.00",56.68,,,,,,
,,2019 - 2020,,,,,,,75,"4,584.00",61.12,,,,,,
,,2020 - 2021,,,,,,,78,"4,256.00",54.56,,,,,,
,,2021 - 2022,,,,,,,70,"3,809.00",54.41,,,,,,
,,2022 - 2023,,,,,,,64,"4,289.00",67.02,,,,,,
,17. Madhepura,2013 - 2014,,,,,,,385,"22,028.00",57.22,,,,,,
,,2014 - 2015,,,,,,,593,"35,822.00",60.41,,,,,,
,,2015 - 2016,,,,,,,252,"21,536.00",85.46,,,,,,
,,2016 - 2017,,,,,,,313,"20,872.00",66.68,,,,,,
,,2017 - 2018,,,,,,,182,"11,112.00",61.05,,,,,,
,,2018 - 2019,,,,,,,210,"14,127.00",67.27,,,,,,
,,2019 - 2020,,,,,,,211,"12,881.00",61.05,,,,,,
,,2020 - 2021,,,,,,,218,"6,452.00",29.6,,,,,,
,,2021 - 2022,,,,,,,197,"10,750.00",54.57,,,,,,
,18. Madhubani,2013 - 2014,,,,,,,73,"4,144.00",56.77,,,,,,
,,2014 - 2015,,,,,,,94,"3,361.00",35.76,,,,,,
,,2015 - 2016,,,,,,,93,"4,138.00",44.49,,,,,,
,,2016 - 2017,,,,,,,11,582,52.91,,,,,,
,,2017 - 2018,,,,,,,15,857,57.13,,,,,,
