State,District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2016 - 2017,,,,,,,"14,644.00","8,73,100.00",59.62,,,,,,
,,2017 - 2018,,,,,,,"21,325.00","11,72,900.00",55,,,,,,
,,2018 - 2019,,,,,,,"26,337.00","13,27,730.00",50.41,,,,,,
,,2019 - 2020,,,,,,,"13,304.00","7,41,275.00",55.72,,,,,,
,,2020 - 2021,,,,,,,"18,603.40","14,42,196.88",77.52,,,,,,
,,2021 - 2022,,,,,,,"40,030.00","22,87,961.28",57.16,,,,,,
,,2022 - 2023,,,,,,,"40,000.00","32,09,600.00",80.24,,,,,,
,9. Dharashiv,2013 - 2014,,,,,,,"68,900.00","31,75,200.00",46.08,,,,,,
,,2014 - 2015,,,,,,,"39,800.00","15,92,200.00",40.01,,,,,,
,,2015 - 2016,,,,,,,"22,700.00","6,13,700.00",27.04,,,,,,
,,2016 - 2017,,,,,,,"12,000.00","4,27,900.00",35.66,,,,,,
,,2017 - 2018,,,,,,,"35,000.00","15,75,000.00",45,,,,,,
,,2018 - 2019,,,,,,,"57,200.00","28,39,246.00",49.64,,,,,,
,,2019 - 2020,,,,,,,"30,006.00","16,21,905.00",54.05,,,,,,
,,2020 - 2021,,,,,,,"60,000.00","46,27,647.19",77.13,,,,,,
,,2021 - 2022,,,,,,,"93,396.00","63,27,878.46",67.75,,,,,,
,,2022 - 2023,,,,,,,"74,275.00","40,47,244.75",54.49,,,,,,
,10. Dhule,2013 - 2014,,,,,,,"6,500.00","5,36,900.00",82.6,,,,,,
,,2014 - 2015,,,,,,,"7,000.00","4,38,400.00",62.63,,,,,,
,,2015 - 2016,,,,,,,"2,100.00","1,54,000.00",73.33,,,,,,
,,2016 - 2017,,,,,,,"4,508.00","5,22,400.00",115.88,,,,,,
,,2017 - 2018,,,,,,,"2,501.00","1,99,200.00",79.65,,,,,,
,,2018 - 2019,,,,,,,"2,924.00","2,04,680.00",70,,,,,,
,,2021 - 2022,,,,,,,"4,000.00","3,73,437.61",93.36,,,,,,
,,2022 - 2023,,,,,,,"4,381.00","3,94,290.00",90,,,,,,
,11. Gadchiroli,2014 - 2015,,,,,,,100,"9,900.00",99,,,,,,
,,2015 - 2016,,,,,,,100,"4,600.00",46,,,,,,
,,2018 - 2019,,,,,,,15,"1,009.00",67.27,,,,,,
,,2019 - 2020,,,,,,,14,949,67.79,,,,,,
,12. Gondia,2013 - 2014,,,,,,,300,"21,500.00",71.67,,,,,,
,,2014 - 2015,,,,,,,"1,500.00","97,000.00",64.67,,,,,,
,,2015 - 2016,,,,,,,"1,000.00","57,700.00",57.7,,,,,,
,,2016 - 2017,,,,,,,667,"28,300.00",42.43,,,,,,
,,2017 - 2018,,,,,,,"1,129.00","45,200.00",40.04,,,,,,
,,2018 - 2019,,,,,,,"1,528.00","1,02,812.00",67.29,,,,,,
,,2019 - 2020,,,,,,,"1,030.00","76,838.00",74.6,,,,,,
,,2022 - 2023,,,,,,,"1,728.00","1,05,632.64",61.13,,,,,,
,13. Hingoli,2013 - 2014,,,,,,,"7,200.00","5,16,500.00",71.74,,,,,,
,,2014 - 2015,,,,,,,"15,200.00","8,55,700.00",56.3,,,,,,
,,2015 - 2016,,,,,,,"15,200.00","4,62,800.00",30.45,,,,,,
,,2016 - 2017,,,,,,,"5,000.00","3,12,700.00",62.54,,,,,,
,,2017 - 2018,,,,,,,"9,500.00","66,500.00",7,,,,,,
,,2018 - 2019,,,,,,,"11,200.00","7,84,000.00",70,,,,,,
,,2019 - 2020,,,,,,,"6,121.00","4,01,124.00",65.53,,,,,,
,,2020 - 2021,,,,,,,"13,500.00","10,17,432.18",75.37,,,,,,
,,2021 - 2022,,,,,,,"27,968.00","23,11,725.13",82.66,,,,,,
,,2022 - 2023,,,,,,,"17,520.00","12,03,448.80",68.69,,,,,,
,14. Jalgaon,2013 - 2014,,,,,,,"11,700.00","8,83,200.00",75.49,,,,,,
,,2014 - 2015,,,,,,,"7,900.00","5,53,600.00",70.08,,,,,,
,,2015 - 2016,,,,,,,"10,000.00","7,76,600.00",77.66,,,,,,
,,2016 - 2017,,,,,,,"9,163.00","8,45,900.00",92.32,,,,,,
,,2017 - 2018,,,,,,,"9,330.00","7,93,100.00",85.01,,,,,,
,,2018 - 2019,,,,,,,"10,006.00","6,89,413.00",68.9,,,,,,
,,2019 - 2020,,,,,,,"6,988.00","4,83,270.00",69.16,,,,,,
,,2020 - 2021,,,,,,,"4,860.00","5,35,070.41",110.1,,,,,,
,,2021 - 2022,,,,,,,"12,035.00","7,31,795.42",60.81,,,,,,
,,2022 - 2023,,,,,,,"16,000.00","11,20,000.00",70,,,,,,
,15. Jalna,2013 - 2014,,,,,,,"13,500.00","9,72,300.00",72.02,,,,,,
,,2014 - 2015,,,,,,,"21,100.00","10,07,500.00",47.75,,,,,,
,,2015 - 2016,,,,,,,"26,100.00","13,34,100.00",51.11,,,,,,
,,2016 - 2017,,,,,,,"16,430.00","6,11,600.00",37.22,,,,,,
,,2017 - 2018,,,,,,,"23,792.00","14,17,400.00",59.57,,,,,,
,,2018 - 2019,,,,,,,"37,766.00","20,01,598.00",53,,,,,,
,,2019 - 2020,,,,,,,"26,471.00","14,90,170.00",56.29,,,,,,
,,2020 - 2021,,,,,,,"39,093.00","30,09,886.66",76.99,,,,,,
,,2021 - 2022,,,,,,,"34,434.00","20,01,481.13",58.13,,,,,,
,,2022 - 2023,,,,,,,"47,227.00","37,78,160.00",80,,,,,,
,16. Kolhapur,2013 - 2014,,,,,,,"1,35,200.00","1,35,80,200.00",100.45,,,,,,
,,2014 - 2015,,,,,,,"1,46,300.00","1,50,31,600.00",102.75,,,,,,
,,2015 - 2016,,,,,,,"1,45,300.00","1,30,97,700.00",90.14,,,,,,
,,2016 - 2017,,,,,,,"1,32,631.00","1,24,99,000.00",94.24,,,,,,
,,2017 - 2018,,,,,,,"1,43,905.00","1,47,79,000.00",102.7,,,,,,
,,2018 - 2019,,,,,,,"1,49,280.00","1,24,91,750.00",83.68,,,,,,
,,2019 - 2020,,,,,,,"1,40,484.00","1,13,84,118.00",81.03,,,,,,
,,2020 - 2021,,,,,,,"1,57,752.00","1,46,99,900.74",93.18,,,,,,
,,2021 - 2022,,,,,,,"1,78,091.00","1,71,46,726.25",96.28,,,,,,
,,2022 - 2023,,,,,,,"1,75,560.00","1,58,17,956.00",90.1,,,,,,
,17. Latur,2013 - 2014,,,,,,,"41,500.00","29,02,800.00",69.95,,,,,,
,,2014 - 2015,,,,,,,"46,400.00","23,54,600.00",50.75,,,,,,
,,2015 - 2016,,,,,,,"41,500.00","12,47,900.00",30.07,,,,,,
,,2016 - 2017,,,,,,,"9,000.00","5,09,300.00",56.59,,,,,,
,,2017 - 2018,,,,,,,"40,000.00","24,40,000.00",61,,,,,,
,,2018 - 2019,,,,,,,"62,300.00","37,74,134.00",60.58,,,,,,
,,2019 - 2020,,,,,,,"29,762.00","20,32,745.00",68.3,,,,,,
,,2020 - 2021,,,,,,,"30,100.00","22,75,681.57",75.6,,,,,,
,,2021 - 2022,,,,,,,"71,218.00","63,04,898.62",88.53,,,,,,
,,2022 - 2023,,,,,,,"63,158.00","55,85,798.78",88.44,,,,,,
,18. Nagpur,2013 - 2014,,,,,,,300,"20,000.00",66.67,,,,,,
,,2014 - 2015,,,,,,,"3,800.00","2,58,500.00",68.03,,,,,,
,,2015 - 2016,,,,,,,"4,400.00","2,96,500.00",67.39,,,,,,
,,2016 - 2017,,,,,,,"4,599.00","1,98,300.00",43.12,,,,,,
,,2017 - 2018,,,,,,,"4,268.00","2,21,900.00",51.99,,,,,,
,,2018 - 2019,,,,,,,"4,757.00","2,64,394.00",55.58,,,,,,
,,2019 - 2020,,,,,,,"3,750.00","2,12,925.00",56.78,,,,,,
,,2020 - 2021,,,,,,,"3,227.00","1,82,536.87",56.57,,,,,,
,,2021 - 2022,,,,,,,"3,526.00","3,48,897.65",98.95,,,,,,
,,2022 - 2023,,,,,,,"3,242.00","1,71,210.02",52.81,,,,,,
,19. Nanded,2013 - 2014,,,,,,,"12,200.00","10,20,700.00",83.66,,,,,,
,,2014 - 2015,,,,,,,"18,800.00","11,13,200.00",59.21,,,,,,
,,2015 - 2016,,,,,,,"18,800.00","5,29,500.00",28.16,,,,,,
,,2016 - 2017,,,,,,,"14,501.00","8,60,400.00",59.33,,,,,,
,,2017 - 2018,,,,,,,"23,000.00","14,95,000.00",65,,,,,,
,,2018 - 2019,,,,,,,"23,303.00","7,45,696.00",32,,,,,,
,,2019 - 2020,,,,,,,"30,000.00","19,66,125.00",65.54,,,,,,
,,2020 - 2021,,,,,,,"21,900.00","18,36,294.46",83.85,,,,,,
,,2021 - 2022,,,,,,,"38,052.00","32,21,788.46",84.67,,,,,,
,,2022 - 2023,,,,,,,"35,943.00","17,97,150.00",50,,,,,,
,20. Nandurbar,2013 - 2014,,,,,,,"10,800.00","8,32,600.00",77.09,,,,,,
,,2014 - 2015,,,,,,,"8,000.00","6,33,800.00",79.23,,,,,,
,,2015 - 2016,,,,,,,"14,100.00","10,44,800.00",74.1,,,,,,
,,2016 - 2017,,,,,,,"10,952.00","8,72,300.00",79.65,,,,,,
,,2017 - 2018,,,,,,,"14,887.00","12,66,900.00",85.1,,,,,,
,,2018 - 2019,,,,,,,"15,477.00","13,54,857.00",87.54,,,,,,
,,2019 - 2020,,,,,,,"14,585.00","11,28,876.00",77.4,,,,,,
,,2020 - 2021,,,,,,,"17,671.00","13,18,193.19",74.6,,,,,,
,,2021 - 2022,,,,,,,"23,201.00","9,62,023.58",41.46,,,,,,
,,2022 - 2023,,,,,,,"24,042.00","20,56,071.84",85.52,,,,,,
,21. Nashik,2013 - 2014,,,,,,,"21,000.00","17,86,500.00",85.07,,,,,,
,,2014 - 2015,,,,,,,"16,800.00","13,84,200.00",82.39,,,,,,
,,2015 - 2016,,,,,,,"19,000.00","15,31,200.00",80.59,,,,,,
,,2016 - 2017,,,,,,,"11,216.00","9,66,200.00",86.14,,,,,,
,,2017 - 2018,,,,,,,"11,865.00","9,88,600.00",83.32,,,,,,
,,2018 - 2019,,,,,,,"15,345.00","14,61,304.00",95.23,,,,,,
,,2019 - 2020,,,,,,,"13,644.00","10,94,464.00",80.22,,,,,,
,,2020 - 2021,,,,,,,"14,366.00","16,23,785.20",113.03,,,,,,
,,2021 - 2022,,,,,,,"20,923.00","16,03,003.29",76.61,,,,,,
,,2022 - 2023,,,,,,,"30,965.00","28,36,084.35",91.59,,,,,,
,22. Parbhani,2013 - 2014,,,,,,,"35,900.00","25,49,700.00",71.02,,,,,,
,,2014 - 2015,,,,,,,"26,600.00","15,77,200.00",59.29,,,,,,
,,2015 - 2016,,,,,,,"28,500.00","7,63,600.00",26.79,,,,,,
,,2016 - 2017,,,,,,,"9,000.00","5,78,614.00",64.29,,,,,,
,,2017 - 2018,,,,,,,"25,000.00","13,75,000.00",55,,,,,,
,,2018 - 2019,,,,,,,"45,700.00","19,19,400.00",42,,,,,,
,,2019 - 2020,,,,,,,"15,759.00","10,32,727.00",65.53,,,,,,
,,2020 - 2021,,,,,,,"31,500.00","23,17,556.61",73.57,,,,,,
,,2021 - 2022,,,,,,,"50,898.00","43,45,889.15",85.38,,,,,,
,,2022 - 2023,,,,,,,"47,058.00","42,35,220.00",90,,,,,,
,23. Pune,2013 - 2014,,,,,,,"1,43,900.00","1,69,63,500.00",117.88,,,,,,
,,2014 - 2015,,,,,,,"1,27,800.00","1,38,33,900.00",108.25,,,,,,
,,2015 - 2016,,,,,,,"1,18,400.00","1,22,85,400.00",103.76,,,,,,
,,2016 - 2017,,,,,,,"95,903.00","90,70,900.00",94.58,,,,,,
,,2017 - 2018,,,,,,,"1,13,140.00","1,32,70,600.00",117.29,,,,,,
,,2018 - 2019,,,,,,,"1,41,730.00","1,32,33,330.00",93.37,,,,,,
,,2019 - 2020,,,,,,,"1,10,264.00","1,13,85,547.00",103.26,,,,,,
,,2020 - 2021,,,,,,,"1,17,830.00","1,33,59,894.69",113.38,,,,,,
,,2021 - 2022,,,,,,,"1,55,265.00","1,71,38,495.27",110.38,,,,,,
,,2022 - 2023,,,,,,,"1,57,570.00","1,68,59,990.00",107,,,,,,
,24. Ratnagiri,2016 - 2017,,,,,,,95,"9,600.00",101.05,,,,,,
,,2017 - 2018,,,,,,,44,"2,600.00",59.09,,,,,,
,,2022 - 2023,,,,,,,19,"1,523.80",80.2,,,,,,
,25. Sangli,2013 - 2014,,,,,,,"62,600.00","74,66,700.00",119.28,,,,,,
,,2014 - 2015,,,,,,,"74,500.00","81,07,100.00",108.82,,,,,,
,,2015 - 2016,,,,,,,"84,000.00","80,87,900.00",96.28,,,,,,
,,2016 - 2017,,,,,,,"72,358.00","78,09,500.00",107.93,,,,,,
,,2017 - 2018,,,,,,,"80,176.00","85,46,800.00",106.6,,,,,,
,,2018 - 2019,,,,,,,"89,918.00","91,78,829.00",102.08,,,,,,
,,2019 - 2020,,,,,,,"89,827.00","89,87,585.00",100.05,,,,,,
,,2020 - 2021,,,,,,,"1,11,945.00","1,23,94,752.83",110.72,,,,,,
,,2021 - 2022,,,,,,,"92,715.00","98,67,440.05",106.43,,,,,,
,,2022 - 2023,,,,,,,"1,37,585.00","1,42,26,289.00",103.4,,,,,,
,26. Satara,2013 - 2014,,,,,,,"59,800.00","60,15,200.00",100.59,,,,,,
,,2014 - 2015,,,,,,,"70,000.00","69,27,400.00",98.96,,,,,,
,,2015 - 2016,,,,,,,"65,500.00","63,29,800.00",96.64,,,,,,
,,2016 - 2017,,,,,,,"50,329.00","62,59,700.00",124.38,,,,,,
,,2017 - 2018,,,,,,,"80,644.00","79,83,800.00",99,,,,,,
,,2018 - 2019,,,,,,,"82,485.00","80,38,163.00",97.45,,,,,,
,,2019 - 2020,,,,,,,"84,010.00","89,77,829.00",106.87,,,,,,
,,2020 - 2021,,,,,,,"94,933.00","1,04,67,495.70",110.26,,,,,,
,,2021 - 2022,,,,,,,"1,16,626.00","1,31,26,135.11",112.55,,,,,,
,,2022 - 2023,,,,,,,"1,16,625.00","1,27,47,112.50",109.3,,,,,,
,27. Sindhudurg,2013 - 2014,,,,,,,"1,100.00","96,700.00",87.91,,,,,,
,,2015 - 2016,,,,,,,"1,400.00","1,08,300.00",77.36,,,,,,
,,2016 - 2017,,,,,,,"1,209.00","1,21,400.00",100.41,,,,,,
,,2017 - 2018,,,,,,,"1,098.00","65,900.00",60.02,,,,,,
,,2022 - 2023,,,,,,,"1,236.00","99,127.20",80.2,,,,,,
,28. Solapur,2013 - 2014,,,,,,,"1,22,600.00","1,04,88,200.00",85.55,,,,,,
,,2014 - 2015,,,,,,,"2,05,500.00","2,00,49,700.00",97.57,,,,,,
,,2015 - 2016,,,,,,,"1,83,100.00","1,09,64,400.00",59.88,,,,,,
,,2016 - 2017,,,,,,,"64,744.00","47,62,070.00",73.55,,,,,,
,,2017 - 2018,,,,,,,"1,00,505.00","1,04,68,150.00",104.16,,,,,,
,,2018 - 2019,,,,,,,"1,90,018.00","1,40,93,635.00",74.17,,,,,,
,,2019 - 2020,,,,,,,"97,086.00","88,86,198.00",91.53,,,,,,
,,2020 - 2021,,,,,,,"2,15,000.00","2,26,08,354.26",105.16,,,,,,
,,2021 - 2022,,,,,,,"2,54,125.00","2,60,87,769.41",102.66,,,,,,
,,2022 - 2023,,,,,,,"2,30,050.00","2,00,58,059.50",87.19,,,,,,
,29. Thane,2022 - 2023,,,,,,,11,882.2,80.2,,,,,,
,30. Wardha,2013 - 2014,,,,,,,"3,200.00","1,87,500.00",58.59,,,,,,
,,2014 - 2015,,,,,,,"3,100.00","2,01,800.00",65.1,,,,,,
,,2015 - 2016,,,,,,,"3,100.00","2,14,700.00",69.26,,,,,,
,,2016 - 2017,,,,,,,"3,017.00","1,80,200.00",59.73,,,,,,
,,2017 - 2018,,,,,,,"2,168.00","1,30,100.00",60.01,,,,,,
,,2018 - 2019,,,,,,,"2,505.00","1,69,488.00",67.66,,,,,,
,,2019 - 2020,,,,,,,"2,660.00","1,71,916.00",64.63,,,,,,
,,2020 - 2021,,,,,,,"1,407.00","96,250.00",68.41,,,,,,
,,2021 - 2022,,,,,,,532,"33,576.96",63.11,,,,,,
,,2022 - 2023,,,,,,,"1,784.00","89,200.00",50,,,,,,
,31. Washim,2014 - 2015,,,,,,,200,"5,800.00",29,,,,,,
,,2015 - 2016,,,,,,,200,"7,200.00",36,,,,,,
,,2016 - 2017,,,,,,,256,"13,500.00",52.73,,,,,,
,,2017 - 2018,,,,,,,154,"6,900.00",44.81,,,,,,
,,2018 - 2019,,,,,,,183,"8,784.00",48,,,,,,
,,2019 - 2020,,,,,,,99,"4,178.00",42.2,,,,,,
,,2022 - 2023,,,,,,,117,"5,850.00",50,,,,,,
,32. Yavatmal,2013 - 2014,,,,,,,"6,500.00","4,90,700.00",75.49,,,,,,
,,2014 - 2015,,,,,,,"8,100.00","5,53,700.00",68.36,,,,,,
,,2015 - 2016,,,,,,,"13,600.00","9,08,400.00",66.79,,,,,,
,,2016 - 2017,,,,,,,"12,493.00","8,88,300.00",71.1,,,,,,
,,2017 - 2018,,,,,,,"14,127.00","5,93,300.00",42,,,,,,
,,2018 - 2019,,,,,,,"3,826.00","2,29,560.00",60,,,,,,
,,2019 - 2020,,,,,,,"8,846.00","6,14,827.00",69.5,,,,,,
,,2020 - 2021,,,,,,,"10,960.00","8,27,719.91",75.52,,,,,,
,,2021 - 2022,,,,,,,"12,011.00","11,84,561.80",98.62,,,,,,
,,2022 - 2023,,,,,,,"12,000.00","7,63,560.00",63.63,,,,,,
19. Manipur,1. Bishnupur,2013 - 2014,,,,,,,"1,760.00","1,03,000.00",58.52,,,,,,
,,2014 - 2015,,,,,,,"1,760.00","1,03,000.00",58.52,,,,,,
,,2015 - 2016,,,,,,,"1,750.00","1,05,000.00",60,,,,,,
,,2016 - 2017,,,,,,,"1,750.00","1,05,000.00",60,,,,,,
,,2017 - 2018,,,,,,,"1,750.00","1,05,000.00",60,,,,,,
,,2018 - 2019,,,,,,,"1,200.00","73,000.00",60.83,,,,,,
,,2021 - 2022,,,,,,,"1,000.00","60,250.00",60.25,,,,,,
,,2022 - 2023,,,,,,,"1,000.00","60,250.00",60.25,,,,,,
,2. Chandel,2013 - 2014,,,,,,,260,"14,630.00",56.27,,,,,,
,,2014 - 2015,,,,,,,260,"14,630.00",56.27,,,,,,
,,2015 - 2016,,,,,,,300,"14,090.00",46.97,,,,,,
,,2016 - 2017,,,,,,,300,"14,090.00",46.97,,,,,,
,,2017 - 2018,,,,,,,300,"14,090.00",46.97,,,,,,
,,2018 - 2019,,,,,,,300,"14,090.00",46.97,,,,,,
,,2021 - 2022,,,,,,,300,"14,090.00",46.97,,,,,,
,,2022 - 2023,,,,,,,280,"13,850.00",49.46,,,,,,
,3. Churachandpur,2013 - 2014,,,,,,,240,"13,600.00",56.67,,,,,,
,,2014 - 2015,,,,,,,240,"13,600.00",56.67,,,,,,
,,2015 - 2016,,,,,,,280,"13,070.00",46.68,,,,,,
,,2016 - 2017,,,,,,,280,"13,070.00",46.68,,,,,,
,,2017 - 2018,,,,,,,280,"13,070.00",46.68,,,,,,
,,2018 - 2019,,,,,,,280,"13,070.00",46.68,,,,,,
,,2021 - 2022,,,,,,,280,"12,350.00",44.11,,,,,,
,,2022 - 2023,,,,,,,230,"9,750.00",42.39,,,,,,
,4. Imphal east,2013 - 2014,,,,,,,630,"37,000.00",58.73,,,,,,
,,2014 - 2015,,,,,,,630,"37,000.00",58.73,,,,,,
,,2015 - 2016,,,,,,,620,"39,430.00",63.6,,,,,,
,,2016 - 2017,,,,,,,620,"39,430.00",63.6,,,,,,
,,2017 - 2018,,,,,,,620,"39,430.00",63.6,,,,,,
,,2018 - 2019,,,,,,,620,"38,500.00",62.1,,,,,,
,,2021 - 2022,,,,,,,620,"39,430.00",63.6,,,,,,
,,2022 - 2023,,,,,,,600,"34,260.00",57.1,,,,,,
,5. Imphal west,2013 - 2014,,,,,,,890,"51,000.00",57.3,,,,,,
,,2014 - 2015,,,,,,,890,"51,000.00",57.3,,,,,,
,,2015 - 2016,,,,,,,870,"52,290.00",60.1,,,,,,
,,2016 - 2017,,,,,,,870,"52,290.00",60.1,,,,,,
,,2017 - 2018,,,,,,,870,"52,290.00",60.1,,,,,,
,,2018 - 2019,,,,,,,870,"52,290.00",60.1,,,,,,
,,2021 - 2022,,,,,,,530,"28,770.00",54.28,,,,,,
,,2022 - 2023,,,,,,,790,"46,210.00",58.49,,,,,,
,6. Senapati,2013 - 2014,,,,,,,230,"13,110.00",57,,,,,,
,,2014 - 2015,,,,,,,230,"13,110.00",57,,,,,,
,,2015 - 2016,,,,,,,270,"12,850.00",47.59,,,,,,
,,2016 - 2017,,,,,,,270,"12,850.00",47.59,,,,,,
,,2017 - 2018,,,,,,,270,"12,850.00",47.59,,,,,,
,,2018 - 2019,,,,,,,270,"12,850.00",47.59,,,,,,
,,2021 - 2022,,,,,,,300,"13,250.00",44.17,,,,,,
,,2022 - 2023,,,,,,,300,"13,250.00",44.17,,,,,,
,7. Tamenglong,2013 - 2014,,,,,,,210,"11,910.00",56.71,,,,,,
,,2014 - 2015,,,,,,,210,"11,910.00",56.71,,,,,,
,,2015 - 2016,,,,,,,250,"13,100.00",52.4,,,,,,
,,2016 - 2017,,,,,,,250,"13,100.00",52.4,,,,,,
,,2017 - 2018,,,,,,,250,"13,100.00",52.4,,,,,,
,,2018 - 2019,,,,,,,250,"13,100.00",52.4,,,,,,
,,2021 - 2022,,,,,,,250,"13,100.00",52.4,,,,,,
,,2022 - 2023,,,,,,,250,"13,040.00",52.16,,,,,,
,8. Thoubal,2013 - 2014,,,,,,,"1,460.00","86,010.00",58.91,,,,,,
,,2014 - 2015,,,,,,,"1,460.00","86,010.00",58.91,,,,,,
,,2015 - 2016,,,,,,,"1,450.00","87,270.00",60.19,,,,,,
,,2016 - 2017,,,,,,,"1,450.00","87,270.00",60.19,,,,,,
,,2017 - 2018,,,,,,,"1,450.00","87,270.00",60.19,,,,,,
,,2018 - 2019,,,,,,,"1,450.00","87,270.00",60.19,,,,,,
,,2021 - 2022,,,,,,,"1,450.00","87,270.00",60.19,,,,,,
,,2022 - 2023,,,,,,,"1,370.00","88,000.00",64.23,,,,,,
,9. Ukhrul,2013 - 2014,,,,,,,170,"9,050.00",53.24,,,,,,
,,2014 - 2015,,,,,,,170,"9,050.00",53.24,,,,,,
,,2015 - 2016,,,,,,,210,"10,900.00",51.9,,,,,,
,,2016 - 2017,,,,,,,210,"10,900.00",51.9,,,,,,
,,2017 - 2018,,,,,,,210,"10,900.00",51.9,,,,,,
,,2018 - 2019,,,,,,,210,"10,900.00",51.9,,,,,,
,,2021 - 2022,,,,,,,210,"10,900.00",51.9,,,,,,
,,2022 - 2023,,,,,,,210,"10,900.00",51.9,,,,,,
20. Meghalaya,1. East garo hills,2013 - 2014,,,,,,,21,62,2.95,,,,,,
,,2014 - 2015,,,,,,,22,64,2.91,,,,,,
,,2015 - 2016,,,,,,,24,71,2.96,,,,,,
,,2016 - 2017,,,,,,,24,71,2.96,,,,,,
,,2017 - 2018,,,,,,,24,71,2.96,,,,,,
,,2018 - 2019,,,,,,,25,74,2.96,,,,,,
,,2019 - 2020,,,,,,,26,77,2.96,,,,,,
,,2020 - 2021,,,,,,,27,80,2.96,,,,,,
,,2022 - 2023,,,,,,,28,83,2.96,,,,,,
,2. East jaintia hills,2013 - 2014,,,,,,,5,4,0.8,,,,,,
,,2014 - 2015,,,,,,,5,4,0.8,,,,,,
,,2015 - 2016,,,,,,,6,5,0.83,,,,,,
,,2016 - 2017,,,,,,,6,5,0.83,,,,,,
,,2017 - 2018,,,,,,,6,5,0.83,,,,,,
,,2018 - 2019,,,,,,,6,5,0.83,,,,,,
,,2019 - 2020,,,,,,,6,5,0.83,,,,,,
,,2020 - 2021,,,,,,,6,5,0.83,,,,,,
,,2022 - 2023,,,,,,,6,5,0.83,,,,,,
,3. North garo hills,2013 - 2014,,,,,,,17,52,3.06,,,,,,
,,2014 - 2015,,,,,,,18,56,3.11,,,,,,
,,2015 - 2016,,,,,,,19,57,3,,,,,,
,,2016 - 2017,,,,,,,20,58,2.9,,,,,,
,,2017 - 2018,,,,,,,20,58,2.9,,,,,,
,,2018 - 2019,,,,,,,21,61,2.9,,,,,,
,,2019 - 2020,,,,,,,22,64,2.91,,,,,,
,,2020 - 2021,,,,,,,23,67,2.91,,,,,,
,,2022 - 2023,,,,,,,24,70,2.92,,,,,,
,4. South garo hills,2013 - 2014,,,,,,,9,32,3.56,,,,,,
,,2014 - 2015,,,,,,,10,37,3.7,,,,,,
,,2015 - 2016,,,,,,,10,38,3.8,,,,,,
,,2016 - 2017,,,,,,,11,39,3.55,,,,,,
,,2017 - 2018,,,,,,,11,39,3.55,,,,,,
,,2018 - 2019,,,,,,,11,39,3.55,,,,,,
,,2019 - 2020,,,,,,,11,39,3.55,,,,,,
,,2020 - 2021,,,,,,,11,39,3.55,,,,,,
,,2022 - 2023,,,,,,,11,39,3.55,,,,,,
,5. South west garo hills,2013 - 2014,,,,,,,11,40,3.64,,,,,,
,,2014 - 2015,,,,,,,12,43,3.58,,,,,,
,,2015 - 2016,,,,,,,12,44,3.67,,,,,,
,,2016 - 2017,,,,,,,13,45,3.46,,,,,,
,,2017 - 2018,,,,,,,13,45,3.46,,,,,,
,,2018 - 2019,,,,,,,15,52,3.47,,,,,,
,,2019 - 2020,,,,,,,15,52,3.47,,,,,,
,,2020 - 2021,,,,,,,15,52,3.47,,,,,,
,,2022 - 2023,,,,,,,15,52,3.47,,,,,,
,6. West garo hills,2013 - 2014,,,,,,,26,93,3.58,,,,,,
,,2014 - 2015,,,,,,,28,99,3.54,,,,,,
,,2015 - 2016,,,,,,,28,101,3.61,,,,,,
,,2016 - 2017,,,,,,,29,103,3.55,,,,,,
,,2017 - 2018,,,,,,,29,103,3.55,,,,,,
,,2018 - 2019,,,,,,,29,103,3.55,,,,,,
,,2019 - 2020,,,,,,,30,107,3.57,,,,,,
,,2020 - 2021,,,,,,,30,107,3.57,,,,,,
,,2022 - 2023,,,,,,,30,107,3.57,,,,,,
,7. West jaintia hills,2013 - 2014,,,,,,,7,8,1.14,,,,,,
,,2014 - 2015,,,,,,,6,7,1.17,,,,,,
,,2015 - 2016,,,,,,,7,9,1.29,,,,,,
,,2016 - 2017,,,,,,,7,9,1.29,,,,,,
,,2017 - 2018,,,,,,,7,9,1.29,,,,,,
,,2018 - 2019,,,,,,,7,9,1.29,,,,,,
,,2019 - 2020,,,,,,,7,9,1.29,,,,,,
,,2020 - 2021,,,,,,,7,9,1.29,,,,,,
,,2022 - 2023,,,,,,,7,9,1.29,,,,,,
,8. West khasi hills,2013 - 2014,,,,,,,9,24,2.67,,,,,,
,,2014 - 2015,,,,,,,10,28,2.8,,,,,,
,,2015 - 2016,,,,,,,11,31,2.82,,,,,,
,,2016 - 2017,,,,,,,11,31,2.82,,,,,,
,,2017 - 2018,,,,,,,11,31,2.82,,,,,,
,,2018 - 2019,,,,,,,11,31,2.82,,,,,,
,,2019 - 2020,,,,,,,11,31,2.82,,,,,,
,,2020 - 2021,,,,,,,11,31,2.82,,,,,,
21. Mizoram,1. Aizawl,2013 - 2014,,,,,,,412,860,2.09,,,,,,
,,2014 - 2015,,,,,,,413,"14,455.00",35,,,,,,
,,2015 - 2016,,,,,,,421,"15,288.00",36.31,,,,,,
,,2016 - 2017,,,,,,,428,"15,630.00",36.52,,,,,,
