State,District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2019 - 2020,,,,"4,646.00","5,502.00",1.18,,,,26,8.66,0.33,,,
,,2020 - 2021,,,,"4,354.00","5,156.00",1.18,,,,26,45.33,1.74,,,
,,2021 - 2022,,,,"4,534.00","5,686.00",1.25,,,,,,,,,
,,2022 - 2023,,,,"4,985.00","9,876.00",1.98,,,,,,,,,
,3. Anuppur,2013 - 2014,,,,"1,05,066.00","1,90,548.00",1.81,,,,,,,,,
,,2014 - 2015,,,,"1,07,000.00","2,06,670.00",1.93,,,,,,,,,
,,2015 - 2016,,,,"92,000.00","1,48,000.00",1.61,,,,,,,,,
,,2016 - 2017,,,,"1,09,000.00","2,06,660.00",1.9,,,,,,,,,
,,2017 - 2018,,,,"1,07,200.00","1,71,440.00",1.6,,,,,,,,,
,,2018 - 2019,,,,"1,02,416.00","1,36,084.00",1.33,,,,,,,,,
,,2019 - 2020,,,,"1,24,947.00","2,54,430.66",2.04,,,,67,,0,,,
,,2020 - 2021,,,,"1,29,351.00","2,63,398.67",2.04,,,,67,187.33,2.8,,,
,,2021 - 2022,,,,"1,35,252.00","2,03,328.66",1.5,,,,,,,,,
,,2022 - 2023,,,,"1,35,881.00","3,20,000.00",2.36,,,,,,,,,
,4. Ashoknagar,2013 - 2014,,,,"1,409.00","2,336.00",1.66,,,,,,,,,
,,2014 - 2015,,,,"2,000.00","3,330.00",1.67,,,,,,,,,
,,2015 - 2016,,,,"2,000.00","3,330.00",1.67,,,,,,,,,
,,2017 - 2018,,,,"3,700.00","5,760.00",1.56,,,,20,30,1.5,,,
,,2018 - 2019,,,,"4,646.00","9,321.33",2.01,,,,,,,,,
,,2019 - 2020,,,,"8,298.00","23,857.33",2.88,,,,,,,,,
,,2020 - 2021,,,,"8,035.00","23,101.33",2.88,,,,,,,,,
,,2021 - 2022,,,,"11,512.00","27,706.00",2.41,,,,,,,,,
,,2022 - 2023,,,,"20,750.00","74,908.00",3.61,,,,,,,,,
,5. Balaghat,2013 - 2014,,,,"2,58,647.00","4,34,079.00",1.68,,,,,,,,,
,,2014 - 2015,,,,"2,45,000.00","4,49,330.00",1.83,,,,,,,,,
,,2015 - 2016,,,,"2,66,000.00","4,49,330.00",1.69,,,,,,,,,
,,2016 - 2017,,,,"2,72,000.00","6,75,330.00",2.48,,,,,,,,,
,,2017 - 2018,,,,"2,15,000.00","3,78,540.00",1.76,,,,"5,210.00","16,940.00",3.25,,,
,,2018 - 2019,,,,"3,00,301.00","6,03,446.00",2.01,,,,,,,,,
,,2019 - 2020,,,,"3,21,002.00","7,07,237.33",2.2,,,,"27,133.00","92,487.33",3.41,,,
,,2020 - 2021,,,,"3,10,239.00","6,83,524.00",2.2,,,,"28,430.00","1,07,750.00",3.79,,,
,,2021 - 2022,,,,"3,01,090.00","5,88,130.00",1.95,,,,,,,,,
,,2022 - 2023,,,,"3,06,354.00","8,97,617.00",2.93,,,,,,,,,
,6. Barwani,2013 - 2014,,,,"1,092.00",414,0.38,,,,,,,,,
,,2014 - 2015,,,,"1,000.00","2,000.00",2,,,,,,,,,
,,2015 - 2016,,,,"1,000.00",660,0.66,,,,,,,,,
,,2016 - 2017,,,,"1,000.00",660,0.66,,,,,,,,,
,,2017 - 2018,,,,700,426,0.61,,,,660,"1,370.00",2.08,,,
,,2018 - 2019,,,,652,210,0.32,,,,,,,,,
,,2019 - 2020,,,,421,166,0.39,,,,865,,0,,,
,,2020 - 2021,,,,413,163.33,0.4,,,,"1,165.00","2,951.33",2.53,,,
,,2021 - 2022,,,,302,360.66,1.19,,,,,,,,,
,,2022 - 2023,,,,268,507,1.89,,,,,,,,,
,7. Betul,2013 - 2014,,,,"43,844.00","98,853.00",2.25,,,,,,,,,
,,2014 - 2015,,,,"47,000.00","1,05,330.00",2.24,,,,,,,,,
,,2015 - 2016,,,,"42,000.00","74,660.00",1.78,,,,,,,,,
,,2016 - 2017,,,,"55,000.00","97,330.00",1.77,,,,,,,,,
,,2017 - 2018,,,,"45,000.00","79,110.00",1.76,,,,,,,,,
,,2018 - 2019,,,,"28,209.00","42,102.00",1.49,,,,,,,,,
,,2019 - 2020,,,,"24,178.00","43,842.66",1.81,,,,10,26.66,2.67,,,
,,2020 - 2021,,,,"26,985.00","52,530.67",1.95,,,,10,26.66,2.67,,,
,,2021 - 2022,,,,"35,486.00","66,713.30",1.88,,,,,,,,,
,,2022 - 2023,,,,"33,807.00","96,349.00",2.85,,,,,,,,,
,8. Bhind,2013 - 2014,,,,"4,800.00","20,805.00",4.33,,,,,,,,,
,,2014 - 2015,,,,"6,000.00","20,670.00",3.45,,,,,,,,,
,,2015 - 2016,,,,"6,000.00","27,330.00",4.56,,,,,,,,,
,,2016 - 2017,,,,"7,000.00","15,330.00",2.19,,,,,,,,,
,,2017 - 2018,,,,"3,000.00","5,760.00",1.92,,,,,,,,,
,,2018 - 2019,,,,"21,279.00","76,180.00",3.58,,,,,,,,,
,,2019 - 2020,,,,"25,121.00","1,11,606.66",4.44,,,,,,,,,
,,2020 - 2021,,,,"24,934.00","1,07,216.00",4.3,,,,,,,,,
,,2021 - 2022,,,,"19,402.00","64,155.33",3.31,,,,,,,,,
,,2022 - 2023,,,,"25,407.00","1,09,708.00",4.32,,,,,,,,,
,9. Bhopal,2013 - 2014,,,,522,678,1.3,,,,,,,,,
,,2014 - 2015,,,,"11,000.00","28,000.00",2.55,,,,,,,,,
,,2015 - 2016,,,,"9,000.00","22,000.00",2.44,,,,,,,,,
,,2017 - 2018,,,,"8,950.00","5,650.00",0.63,,,,,,,,,
,,2018 - 2019,,,,"12,920.00","12,083.33",0.94,,,,,,,,,
,,2019 - 2020,,,,"14,503.00","17,652.00",1.22,,,,,,,,,
,,2020 - 2021,,,,"11,701.00","19,580.00",1.67,,,,,,,,,
,,2021 - 2022,,,,"23,844.00","36,720.00",1.54,,,,,,,,,
,,2022 - 2023,,,,"23,641.00","84,872.00",3.59,,,,,,,,,
,10. Burhanpur,2013 - 2014,,,,919,909,0.99,,,,,,,,,
,,2017 - 2018,,,,400,330,0.83,,,,,,,,,
,,2018 - 2019,,,,"1,044.00","1,270.00",1.22,,,,,,,,,
,,2019 - 2020,,,,898,"1,548.00",1.72,,,,45,29.33,0.65,,,
,,2020 - 2021,,,,874,"1,506.67",1.72,,,,65,121.33,1.87,,,
,,2021 - 2022,,,,875,"1,212.00",1.39,,,,,,,,,
,,2022 - 2023,,,,535,"1,054.00",1.97,,,,,,,,,
,11. Chhatarpur,2013 - 2014,,,,"5,369.00","4,745.00",0.88,,,,,,,,,
,,2014 - 2015,,,,"10,000.00","8,670.00",0.87,,,,,,,,,
,,2015 - 2016,,,,"8,000.00","2,660.00",0.33,,,,,,,,,
,,2016 - 2017,,,,"8,000.00","8,660.00",1.08,,,,,,,,,
,,2017 - 2018,,,,"6,330.00","2,980.00",0.47,,,,,,,,,
,,2018 - 2019,,,,"2,039.00","1,647.33",0.81,,,,,,,,,
,,2019 - 2020,,,,"1,554.00","1,677.33",1.08,,,,,,,,,
,,2020 - 2021,,,,"1,881.00","2,520.67",1.34,,,,,,,,,
,,2021 - 2022,,,,"1,475.00","2,040.00",1.38,,,,,,,,,
,,2022 - 2023,,,,"1,779.00","3,576.00",2.01,,,,,,,,,
,12. Chhindwara,2013 - 2014,,,,"13,808.00","28,052.00",2.03,,,,,,,,,
,,2014 - 2015,,,,"20,000.00","48,000.00",2.4,,,,,,,,,
,,2015 - 2016,,,,"31,000.00","58,000.00",1.87,,,,,,,,,
,,2016 - 2017,,,,"35,000.00","53,330.00",1.52,,,,,,,,,
,,2017 - 2018,,,,"34,010.00","42,060.00",1.24,,,,,,,,,
,,2018 - 2019,,,,"14,639.00","15,620.00",1.07,,,,,,,,,
,,2019 - 2020,,,,"12,150.00","19,396.66",1.6,,,,8,13.33,1.67,,,
,,2020 - 2021,,,,"15,291.00","24,411.33",1.6,,,,8,22,2.75,,,
,,2021 - 2022,,,,"35,631.00","69,837.33",1.96,,,,,,,,,
,,2022 - 2023,,,,"35,664.00","1,04,852.00",2.94,,,,,,,,,
,13. Damoh,2013 - 2014,,,,"55,634.00","62,313.00",1.12,,,,,,,,,
,,2014 - 2015,,,,"66,000.00","70,670.00",1.07,,,,,,,,,
,,2015 - 2016,,,,"73,000.00","86,660.00",1.19,,,,,,,,,
,,2016 - 2017,,,,"80,000.00","1,50,000.00",1.88,,,,,,,,,
,,2017 - 2018,,,,"75,700.00","1,26,160.00",1.67,,,,30,60,2,,,
,,2018 - 2019,,,,"76,526.00","81,774.00",1.07,,,,,,,,,
,,2019 - 2020,,,,"77,713.00","1,03,630.00",1.33,,,,,,,,,
,,2020 - 2021,,,,"87,252.00","1,16,350.00",1.33,,,,,,,,,
,,2021 - 2022,,,,"1,00,977.00","1,60,216.66",1.59,,,,,,,,,
,,2022 - 2023,,,,"91,167.00","3,45,067.00",3.78,,,,,,,,,
,14. Datia,2013 - 2014,,,,"12,141.00","13,898.00",1.14,,,,,,,,,
,,2014 - 2015,,,,"30,000.00","29,330.00",0.98,,,,,,,,,
,,2015 - 2016,,,,"14,000.00","24,000.00",1.71,,,,,,,,,
,,2016 - 2017,,,,"17,000.00","36,660.00",2.16,,,,,,,,,
,,2017 - 2018,,,,"16,600.00","30,180.00",1.82,,,,,,,,,
,,2018 - 2019,,,,"44,552.00","61,147.33",1.37,,,,,,,,,
,,2019 - 2020,,,,"65,110.00","96,966.66",1.49,,,,,,,,,
,,2020 - 2021,,,,"74,624.00","1,31,338.00",1.76,,,,,,,,,
,,2021 - 2022,,,,"79,564.00","1,24,119.33",1.56,,,,,,,,,
,,2022 - 2023,,,,"86,457.00","2,13,549.00",2.47,,,,,,,,,
,15. Dewas,2013 - 2014,,,,113,76,0.67,,,,,,,,,
,,2014 - 2015,,,,"1,000.00",670,0.67,,,,,,,,,
,,2017 - 2018,,,,100,73,0.73,,,,,,,,,
,,2018 - 2019,,,,20,23.33,1.17,,,,,,,,,
,,2019 - 2020,,,,3,4,1.33,,,,,,,,,
,,2020 - 2021,,,,6,8.67,1.45,,,,,,,,,
,,2021 - 2022,,,,106,151.33,1.43,,,,,,,,,
,,2022 - 2023,,,,80,171,2.14,,,,,,,,,
,16. Dhar,2013 - 2014,,,,664,500,0.75,,,,,,,,,
,,2014 - 2015,,,,"1,000.00",670,0.67,,,,,,,,,
,,2015 - 2016,,,,"1,000.00",528,0.53,,,,,,,,,
,,2017 - 2018,,,,230,213,0.93,,,,500,840,1.68,,,
,,2018 - 2019,,,,131,75.33,0.58,,,,,,,,,
,,2019 - 2020,,,,137,106,0.77,,,,"2,075.00",705.33,0.34,,,
,,2020 - 2021,,,,95,73.33,0.77,,,,"2,375.00","5,225.33",2.2,,,
,,2021 - 2022,,,,11,14.66,1.33,,,,,,,,,
,,2022 - 2023,,,,16,29,1.81,,,,,,,,,
,17. Dindori,2013 - 2014,,,,"81,182.00","1,24,803.00",1.54,,,,,,,,,
,,2014 - 2015,,,,"80,000.00","1,42,000.00",1.78,,,,,,,,,
,,2015 - 2016,,,,"83,000.00","1,07,330.00",1.29,,,,,,,,,
,,2016 - 2017,,,,"84,000.00","1,22,660.00",1.46,,,,,,,,,
,,2017 - 2018,,,,"78,800.00","1,23,450.00",1.57,,,,,,,,,
,,2018 - 2019,,,,"1,01,427.00","1,76,705.33",1.74,,,,,,,,,
,,2019 - 2020,,,,"1,19,720.00","2,08,670.00",1.74,,,,,,,,,
,,2020 - 2021,,,,"1,36,279.00","2,68,015.33",1.97,,,,,,,,,
,,2021 - 2022,,,,"1,38,847.00","2,04,567.33",1.47,,,,,,,,,
,,2022 - 2023,,,,"1,59,580.00","3,52,672.00",2.21,,,,,,,,,
,18. Guna,2013 - 2014,,,,512,826,1.61,,,,,,,,,
,,2014 - 2015,,,,"1,000.00","3,330.00",3.33,,,,,,,,,
,,2015 - 2016,,,,"2,000.00","2,660.00",1.33,,,,,,,,,
,,2017 - 2018,,,,"1,990.00","3,320.00",1.67,,,,,,,,,
,,2018 - 2019,,,,"1,606.00","2,347.33",1.46,,,,,,,,,
,,2019 - 2020,,,,"3,164.00","5,454.60",1.72,,,,,,,,,
,,2020 - 2021,,,,"2,678.00","4,617.33",1.72,,,,,,,,,
,,2021 - 2022,,,,"4,204.00","9,804.00",2.33,,,,,,,,,
,,2022 - 2023,,,,"8,991.00","32,008.00",3.56,,,,,,,,,
,19. Gwalior,2013 - 2014,,,,"57,509.00","1,35,088.00",2.35,,,,,,,,,
,,2014 - 2015,,,,"49,000.00","1,11,330.00",2.27,,,,,,,,,
,,2015 - 2016,,,,"53,000.00","1,54,000.00",2.91,,,,,,,,,
,,2016 - 2017,,,,"58,000.00","95,330.00",1.64,,,,,,,,,
,,2017 - 2018,,,,"8,900.00","25,930.00",2.91,,,,210,360,1.71,,,
,,2018 - 2019,,,,"62,168.00","1,69,531.33",2.73,,,,,,,,,
,,2019 - 2020,,,,"90,668.00","2,79,190.00",3.08,,,,228,615.33,2.7,,,
,,2020 - 2021,,,,"1,06,715.00","3,28,602.67",3.08,,,,245,663.33,2.71,,,
,,2021 - 2022,,,,"1,03,289.00","2,95,406.66",2.86,,,,,,,,,
,,2022 - 2023,,,,"1,08,001.00","4,79,848.00",4.44,,,,,,,,,
,20. Harda,2013 - 2014,,,,859,"1,257.00",1.46,,,,,,,,,
,,2014 - 2015,,,,"7,000.00","12,000.00",1.71,,,,,,,,,
,,2015 - 2016,,,,"3,000.00","4,660.00",1.55,,,,,,,,,
,,2017 - 2018,,,,"1,800.00",820,0.46,,,,"1,000.00","1,670.00",1.67,,,
,,2018 - 2019,,,,"1,915.00","1,076.00",0.56,,,,,,,,,
,,2019 - 2020,,,,"1,253.00","1,680.66",1.34,,,,,,,,,
,,2020 - 2021,,,,"1,266.00","1,698.00",1.34,,,,,,,,,
,,2021 - 2022,,,,"7,289.00","16,998.00",2.33,,,,,,,,,
,,2022 - 2023,,,,"6,620.00","23,155.00",3.5,,,,,,,,,
,21. Hoshangabad,2013 - 2014,,,,"40,939.00","64,662.00",1.58,,,,,,,,,
,,2014 - 2015,,,,"96,000.00","1,78,670.00",1.86,,,,,,,,,
,,2015 - 2016,,,,"1,08,000.00","3,14,000.00",2.91,,,,,,,,,
,,2016 - 2017,,,,"1,22,000.00","2,80,660.00",2.3,,,,,,,,,
,,2017 - 2018,,,,"1,34,000.00","3,10,160.00",2.31,,,,,,,,,
,,2018 - 2019,,,,"1,33,280.00","3,35,548.00",2.52,,,,,,,,,
,,2019 - 2020,,,,"1,47,040.00","4,28,104.66",2.91,,,,,,,,,
,,2020 - 2021,,,,"1,54,781.00","4,50,642.00",2.91,,,,,,,,,
,,2021 - 2022,,,,"2,01,287.00","5,90,440.66",2.93,,,,,,,,,
,,2022 - 2023,,,,"2,37,086.00","10,19,470.00",4.3,,,,,,,,,
,22. Indore,2013 - 2014,,,,5,2,0.4,,,,,,,,,
,,2017 - 2018,,,,,,,,,,450,"1,020.00",2.27,,,
,,2018 - 2019,,,,1,1.33,1.33,,,,,,,,,
,,2019 - 2020,,,,1,1.33,1.33,,,,,,,,,
,,2020 - 2021,,,,12,12.67,1.06,,,,,,,,,
,,2021 - 2022,,,,65,106.66,1.64,,,,,,,,,
,,2022 - 2023,,,,16,38,2.38,,,,,,,,,
,23. Jabalpur,2013 - 2014,,,,"81,546.00","76,621.00",0.94,,,,,,,,,
,,2014 - 2015,,,,"80,000.00","86,670.00",1.08,,,,,,,,,
,,2015 - 2016,,,,"94,000.00","86,660.00",0.92,,,,,,,,,
,,2016 - 2017,,,,"1,15,000.00","3,22,660.00",2.81,,,,,,,,,
,,2017 - 2018,,,,"1,09,000.00","2,71,620.00",2.49,,,,,,,,,
,,2018 - 2019,,,,"1,51,818.00","2,10,609.33",1.39,,,,,,,,,
,,2019 - 2020,,,,"1,65,591.00","4,26,947.33",2.58,,,,,,,,,
,,2020 - 2021,,,,"1,80,140.00","4,64,459.33",2.58,,,,,,,,,
,,2021 - 2022,,,,"1,86,169.00","5,22,267.33",2.81,,,,,,,,,
,,2022 - 2023,,,,"1,81,663.00","6,73,606.00",3.71,,,,,,,,,
,24. Jhabua,2013 - 2014,,,,"11,867.00","19,964.00",1.68,,,,,,,,,
,,2014 - 2015,,,,"11,000.00","6,670.00",0.61,,,,,,,,,
,,2015 - 2016,,,,"10,000.00","6,000.00",0.6,,,,,,,,,
,,2016 - 2017,,,,"12,000.00","14,660.00",1.22,,,,,,,,,
,,2017 - 2018,,,,"8,370.00","11,760.00",1.41,,,,,,,,,
,,2018 - 2019,,,,"5,568.00","3,809.33",0.68,,,,,,,,,
,,2019 - 2020,,,,"4,992.00","5,268.66",1.06,,,,5,2,0.4,,,
,,2020 - 2021,,,,"5,395.00","5,694.00",1.06,,,,5,8,1.6,,,
,,2021 - 2022,,,,"4,289.00","4,812.00",1.12,,,,,,,,,
,,2022 - 2023,,,,"4,024.00","7,927.00",1.97,,,,,,,,,
,25. Katni,2013 - 2014,,,,"1,07,140.00","2,87,742.00",2.69,,,,,,,,,
,,2014 - 2015,,,,"99,000.00","1,41,330.00",1.43,,,,,,,,,
,,2015 - 2016,,,,"75,000.00","1,10,660.00",1.48,,,,,,,,,
,,2016 - 2017,,,,"1,10,000.00","3,30,000.00",3,,,,,,,,,
,,2017 - 2018,,,,"1,01,200.00","2,54,550.00",2.52,,,,,,,,,
,,2018 - 2019,,,,"1,64,148.00","3,85,000.00",2.35,,,,,,,,,
,,2019 - 2020,,,,"1,75,034.00","5,26,383.33",3.01,,,,,,,,,
,,2020 - 2021,,,,"1,93,961.00","5,83,302.67",3.01,,,,,,,,,
,,2021 - 2022,,,,"1,98,166.00","5,14,438.00",2.6,,,,,,,,,
,,2022 - 2023,,,,"1,22,956.00","4,84,447.00",3.94,,,,,,,,,
,26. Khandwa,2013 - 2014,,,,"3,964.00","3,009.00",0.76,,,,,,,,,
,,2014 - 2015,,,,"8,000.00","10,000.00",1.25,,,,,,,,,
,,2015 - 2016,,,,"7,000.00","3,330.00",0.48,,,,,,,,,
,,2016 - 2017,,,,"8,000.00","7,330.00",0.92,,,,,,,,,
,,2017 - 2018,,,,"5,300.00","2,690.00",0.51,,,,190,360,1.89,,,
,,2018 - 2019,,,,"3,453.00","3,499.33",1.01,,,,,,,,,
,,2019 - 2020,,,,"3,468.00","2,562.00",0.74,,,,"2,605.00",,0,,,
,,2020 - 2021,,,,"3,137.00","3,137.33",1,,,,"2,905.00","5,713.33",1.97,,,
,,2021 - 2022,,,,"3,436.00","4,192.00",1.22,,,,,,,,,
,,2022 - 2023,,,,"2,035.00","3,928.00",1.93,,,,,,,,,
,27. Khargone,2013 - 2014,,,,"1,735.00",803,0.46,,,,,,,,,
,,2014 - 2015,,,,"1,000.00","2,000.00",2,,,,,,,,,
,,2015 - 2016,,,,"1,000.00",382,0.38,,,,,,,,,
,,2017 - 2018,,,,400,140,0.35,,,,,,,,,
,,2018 - 2019,,,,215,230,1.07,,,,,,,,,
,,2019 - 2020,,,,98,104.66,1.07,,,,,,,,,
,,2020 - 2021,,,,71,76,1.07,,,,,,,,,
,,2021 - 2022,,,,10,12,1.2,,,,,,,,,
,,2022 - 2023,,,,40,73,1.83,,,,,,,,,
,28. Mandla,2013 - 2014,,,,"1,31,499.00","1,17,351.00",0.89,,,,,,,,,
,,2014 - 2015,,,,"1,29,000.00","1,32,000.00",1.02,,,,,,,,,
,,2015 - 2016,,,,"1,32,000.00","2,66,000.00",2.02,,,,,,,,,
,,2016 - 2017,,,,"1,43,000.00","3,18,000.00",2.22,,,,,,,,,
,,2017 - 2018,,,,"1,36,300.00","5,66,000.00",4.15,,,,,,,,,
,,2018 - 2019,,,,"1,48,099.00","2,23,697.33",1.51,,,,,,,,,
,,2019 - 2020,,,,"1,82,611.00","3,52,748.00",1.93,,,,,,,,,
,,2020 - 2021,,,,"1,87,791.00","3,63,062.67",1.93,,,,,,,,,
,,2021 - 2022,,,,"1,86,955.00","3,77,648.00",2.02,,,,,,,,,
,,2022 - 2023,,,,"1,94,475.00","6,03,845.00",3.11,,,,,,,,,
,29. Mandsaur,2017 - 2018,,,,,,,,,,520,"1,120.00",2.15,,,
,,2018 - 2019,,,,8,4,0.5,,,,,,,,,
,,2019 - 2020,,,,3,1.33,0.44,,,,,,,,,
,,2020 - 2021,,,,43,15.33,0.36,,,,,,,,,
,,2021 - 2022,,,,13,16,1.23,,,,,,,,,
,,2022 - 2023,,,,8,15,1.88,,,,,,,,,
,30. Morena,2013 - 2014,,,,540,"1,052.00",1.95,,,,,,,,,
,,2014 - 2015,,,,"1,000.00","3,330.00",3.33,,,,,,,,,
,,2015 - 2016,,,,"1,000.00","4,000.00",4,,,,,,,,,
,,2017 - 2018,,,,"1,400.00","3,400.00",2.43,,,,,,,,,
,,2018 - 2019,,,,"5,803.00","11,639.33",2.01,,,,,,,,,
,,2019 - 2020,,,,"8,855.00","21,688.00",2.45,,,,,,,,,
,,2020 - 2021,,,,"8,028.00","19,662.67",2.45,,,,,,,,,
,,2021 - 2022,,,,"4,445.00","11,972.00",2.69,,,,,,,,,
,,2022 - 2023,,,,"4,333.00","17,505.00",4.04,,,,,,,,,
,31. Narsinghpur,2013 - 2014,,,,"18,364.00","24,989.00",1.36,,,,,,,,,
,,2014 - 2015,,,,"18,000.00","25,330.00",1.41,,,,,,,,,
,,2015 - 2016,,,,"34,000.00","93,330.00",2.75,,,,,,,,,
,,2016 - 2017,,,,"55,000.00","1,54,660.00",2.81,,,,,,,,,
,,2017 - 2018,,,,"38,600.00","1,80,130.00",4.67,,,,500,"1,170.00",2.34,,,
,,2018 - 2019,,,,"55,924.00","1,02,012.00",1.82,,,,,,,,,
,,2019 - 2020,,,,"61,702.00","1,30,195.33",2.11,,,,380,,0,,,
,,2020 - 2021,,,,"71,490.00","1,50,848.67",2.11,,,,380,"1,165.33",3.07,,,
,,2021 - 2022,,,,"82,720.00","1,58,932.66",1.92,,,,,,,,,
,,2022 - 2023,,,,"87,429.00","3,40,011.00",3.89,,,,,,,,,
,32. Neemuch,2013 - 2014,,,,38,14,0.37,,,,,,,,,
,,2017 - 2018,,,,,,,,,,280,640,2.29,,,
,,2018 - 2019,,,,263,78,0.3,,,,,,,,,
,,2019 - 2020,,,,160,54.66,0.34,,,,225,127.33,0.57,,,
,,2020 - 2021,,,,607,206,0.34,,,,310,620,2,,,
,,2021 - 2022,,,,165,211.33,1.28,,,,,,,,,
,,2022 - 2023,,,,164,213,1.3,,,,,,,,,
,33. Niwari,2020 - 2021,,,,102,81.33,0.8,,,,,,,,,
,,2021 - 2022,,,,128,145.33,1.14,,,,,,,,,
,,2022 - 2023,,,,224,435,1.94,,,,,,,,,
,34. Panna,2013 - 2014,,,,"80,645.00","91,512.00",1.13,,,,,,,,,
,,2014 - 2015,,,,"56,000.00","76,670.00",1.37,,,,,,,,,
,,2015 - 2016,,,,"55,000.00","17,330.00",0.32,,,,,,,,,
,,2016 - 2017,,,,"69,000.00","1,79,330.00",2.6,,,,,,,,,
,,2017 - 2018,,,,"58,400.00","1,40,200.00",2.4,,,,,,,,,
,,2018 - 2019,,,,"76,286.00","84,359.33",1.11,,,,,,,,,
,,2019 - 2020,,,,"78,261.00","1,41,443.33",1.81,,,,,,,,,
,,2020 - 2021,,,,"1,09,304.00","2,12,122.67",1.94,,,,,,,,,
,,2021 - 2022,,,,"1,27,863.00","2,45,667.33",1.92,,,,,,,,,
,,2022 - 2023,,,,"1,22,244.00","3,84,457.00",3.14,,,,,,,,,
,35. Raisen,2013 - 2014,,,,"62,686.00","54,136.00",0.86,,,,,,,,,
,,2014 - 2015,,,,"1,37,000.00","3,42,670.00",2.5,,,,,,,,,
,,2015 - 2016,,,,"99,000.00","2,29,330.00",2.32,,,,,,,,,
,,2016 - 2017,,,,"1,35,000.00","3,04,660.00",2.26,,,,,,,,,
,,2017 - 2018,,,,"1,12,000.00","2,36,840.00",2.11,,,,,,,,,
,,2018 - 2019,,,,"1,77,125.00","4,18,496.00",2.36,,,,,,,,,
,,2019 - 2020,,,,"1,97,944.00","4,17,285.33",2.11,,,,,,,,,
,,2020 - 2021,,,,"1,70,384.00","3,70,528.67",2.17,,,,,,,,,
,,2021 - 2022,,,,"2,46,286.00","5,60,712.00",2.28,,,,,,,,,
,,2022 - 2023,,,,"2,85,453.00","10,16,498.00",3.56,,,,,,,,,
,36. Rajgarh,2013 - 2014,,,,364,236,0.65,,,,,,,,,
,,2014 - 2015,,,,"1,000.00",670,0.67,,,,,,,,,
,,2015 - 2016,,,,"1,000.00","1,330.00",1.33,,,,,,,,,
,,2016 - 2017,,,,"1,000.00","2,660.00",2.66,,,,,,,,,
,,2017 - 2018,,,,"1,150.00",746,0.65,,,,,,,,,
,,2018 - 2019,,,,21,25.33,1.21,,,,,,,,,
,,2019 - 2020,,,,6,9.33,1.56,,,,,,,,,
,,2020 - 2021,,,,8,12.67,1.58,,,,5,13.33,2.67,,,
,,2021 - 2022,,,,98,157.33,1.61,,,,,,,,,
,,2022 - 2023,,,,259,598,2.31,,,,,,,,,
,37. Ratlam,2013 - 2014,,,,"1,293.00","1,546.00",1.2,,,,,,,,,
,,2016 - 2017,,,,"1,000.00",660,0.66,,,,,,,,,
,,2018 - 2019,,,,162,87.33,0.54,,,,,,,,,
,,2019 - 2020,,,,145,90.66,0.63,,,,180,150,0.83,,,
,,2020 - 2021,,,,134,83.33,0.62,,,,380,772.66,2.03,,,
,,2021 - 2022,,,,22,30,1.36,,,,,,,,,
,,2022 - 2023,,,,37,77,2.08,,,,,,,,,
,38. Rewa,2013 - 2014,,,,"1,19,623.00","2,14,112.00",1.79,,,,,,,,,
,,2014 - 2015,,,,"1,36,000.00","2,46,000.00",1.81,,,,,,,,,
,,2015 - 2016,,,,"1,21,000.00","1,18,660.00",0.98,,,,,,,,,
,,2016 - 2017,,,,"1,26,000.00","3,52,000.00",2.79,,,,,,,,,
,,2017 - 2018,,,,"1,21,300.00","6,25,900.00",5.16,,,,,,,,,
,,2018 - 2019,,,,"2,30,346.00","4,43,550.00",1.93,,,,,,,,,
,,2019 - 2020,,,,"2,51,894.00","6,80,354.66",2.7,,,,,,,,,
,,2020 - 2021,,,,"2,99,099.00","8,07,853.33",2.7,,,,,,,,,
,,2021 - 2022,,,,"3,23,983.00","8,92,248.66",2.75,,,,,,,,,
,,2022 - 2023,,,,"2,80,363.00","11,17,807.00",3.99,,,,,,,,,
,39. Sagar,2013 - 2014,,,,"4,776.00","2,092.00",0.44,,,,,,,,,
,,2014 - 2015,,,,"5,000.00","5,330.00",1.07,,,,,,,,,
,,2015 - 2016,,,,"7,000.00","2,000.00",0.29,,,,,,,,,
,,2016 - 2017,,,,"6,000.00","6,000.00",1,,,,,,,,,
,,2017 - 2018,,,,"5,060.00","5,690.00",1.12,,,,,,,,,
,,2018 - 2019,,,,"7,177.00","7,644.00",1.07,,,,,,,,,
,,2019 - 2020,,,,"7,185.00","10,894.00",1.52,,,,,,,,,
,,2020 - 2021,,,,"12,483.00","21,720.67",1.74,,,,,,,,,
,,2021 - 2022,,,,"56,313.00","98,397.33",1.75,,,,,,,,,
,,2022 - 2023,,,,"54,558.00","1,42,669.00",2.61,,,,,,,,,
,40. Satna,2013 - 2014,,,,"82,067.00","1,88,564.00",2.3,,,,,,,,,
,,2014 - 2015,,,,"1,04,000.00","2,01,330.00",1.94,,,,,,,,,
,,2015 - 2016,,,,"1,04,000.00","2,42,000.00",2.33,,,,,,,,,
