State,District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2020 - 2021,,,,"26,622.00","90,446.00",3.4,"61,737.00","2,11,429.00",3.42,,,,,,
,,2021 - 2022,,,,"33,260.00","1,02,419.00",3.08,"56,252.00","1,84,207.00",3.27,,,,,,
,,2022 - 2023,,,,"12,432.00","41,051.00",3.3,"14,091.00","50,943.00",3.62,,,,,,
,20. Spsr nellore,2013 - 2014,,,,"32,241.00","1,15,455.00",3.58,"1,92,652.00","7,95,653.00",4.13,,,,,,
,,2014 - 2015,,,,"62,232.00","2,32,561.00",3.74,"1,78,491.00","7,36,454.00",4.13,,,,,,
,,2015 - 2016,,,,"30,413.00","1,10,683.00",3.64,"2,57,837.00","11,79,003.00",4.57,,,,,,
,,2016 - 2017,,,,"73,827.00","2,87,991.00",3.9,"1,30,801.00","5,77,103.00",4.41,,,,,,
,,2017 - 2018,,,,"21,184.00","81,029.00",3.83,"2,03,344.00","9,55,513.00",4.7,,,,,,
,,2018 - 2019,,,,"26,638.00","94,011.00",3.53,"1,40,225.00","5,91,174.00",4.22,,,,,,
,,2019 - 2020,,,,"16,680.00","64,015.00",3.84,"2,15,725.00","9,25,460.00",4.29,,,,,,
,,2020 - 2021,,,,"88,911.00","3,20,079.00",3.6,"2,24,307.00","9,06,866.00",4.04,,,,,,
,,2021 - 2022,,,,"52,223.00","1,96,602.00",3.76,"2,21,311.00","9,72,588.00",4.39,,,,,,
,,2022 - 2023,,,,"24,534.00","94,995.00",3.87,"1,25,957.00","5,76,295.00",4.58,,,,,,
,21. Sri sathya sai,2022 - 2023,,,,"4,317.00","11,187.00",2.59,"2,210.00","6,993.00",3.16,,,,,,
,22. Srikakulam,2013 - 2014,,,,"1,99,717.00","3,47,108.00",1.74,"3,425.00","8,158.00",2.38,,,,,,
,,2014 - 2015,,,,"2,05,485.00","4,34,806.00",2.12,"4,730.00","12,866.00",2.72,,,,,,
,,2015 - 2016,,,,"2,04,003.00","4,70,320.00",2.31,"2,791.00","7,565.00",2.71,,,,,,
,,2016 - 2017,,,,"2,03,411.00","6,05,174.00",2.98,"2,344.00","6,524.00",2.78,,,,,,
,,2017 - 2018,,,,"2,10,682.00","5,31,129.00",2.52,"4,045.00","12,293.00",3.04,,,,,,
,,2018 - 2019,,,,"2,09,426.00","4,31,177.00",2.06,"5,236.00","14,926.00",2.85,,,,,,
,,2019 - 2020,,,,"2,09,640.00","5,94,503.00",2.84,"9,520.00","30,457.00",3.2,,,,,,
,,2020 - 2021,,,,"1,95,124.00","5,04,643.00",2.59,"14,471.00","44,271.00",3.06,,,,,,
,,2021 - 2022,,,,"1,97,038.00","5,14,680.00",2.61,"8,157.00","23,938.00",2.93,,,,,,
,,2022 - 2023,,,,"1,51,116.00","4,73,679.00",3.13,"8,721.00","27,529.00",3.16,,,,,,
,23. Tirupati,2022 - 2023,,,,"21,884.00","85,187.00",3.89,"78,713.00","3,00,946.00",3.82,,,,,,
,24. Visakhapatanam,2013 - 2014,,,,"98,637.00","1,71,530.00",1.74,"6,759.00","13,126.00",1.94,,,,,,
,,2014 - 2015,,,,"98,190.00","1,59,755.00",1.63,"7,238.00","18,052.00",2.49,,,,,,
,,2015 - 2016,,,,"1,03,090.00","2,19,339.00",2.13,"4,515.00","10,920.00",2.42,,,,,,
,,2016 - 2017,,,,"1,05,460.00","2,37,203.00",2.25,"4,455.00","9,361.00",2.1,,,,,,
,,2017 - 2018,,,,"1,04,922.00","2,18,972.00",2.09,"4,038.00","9,905.00",2.45,,,,,,
,,2018 - 2019,,,,"99,900.00","1,68,397.00",1.69,"2,984.00","7,742.00",2.59,,,,,,
,,2019 - 2020,,,,"96,998.00","2,30,642.00",2.38,"6,559.00","18,873.00",2.88,,,,,,
,,2020 - 2021,,,,"1,02,722.00","2,49,848.00",2.43,"5,548.00","19,377.00",3.49,,,,,,
,,2021 - 2022,,,,"98,935.00","2,44,463.00",2.47,"3,435.00","10,309.00",3,,,,,,
,,2022 - 2023,,,,"5,008.00","16,831.00",3.36,472,"1,417.00",3,,,,,,
,25. Vizianagaram,2013 - 2014,,,,"1,09,271.00","2,70,446.00",2.48,"7,507.00","20,479.00",2.73,,,,,,
,,2014 - 2015,,,,"1,19,229.00","3,14,526.00",2.64,"5,357.00","17,314.00",3.23,,,,,,
,,2015 - 2016,,,,"1,24,275.00","3,66,590.00",2.95,"2,416.00","6,667.00",2.76,,,,,,
,,2016 - 2017,,,,"1,22,205.00","3,71,142.00",3.04,"3,094.00","9,410.00",3.04,,,,,,
,,2017 - 2018,,,,"1,22,675.00","3,64,590.00",2.97,"6,167.00","20,098.00",3.26,,,,,,
,,2018 - 2019,,,,"1,21,499.00","2,84,061.00",2.34,"3,119.00","10,010.00",3.21,,,,,,
,,2019 - 2020,,,,"1,19,381.00","3,84,713.00",3.22,"7,266.00","22,985.00",3.16,,,,,,
,,2020 - 2021,,,,"1,08,497.00","3,10,379.00",2.86,"8,102.00","25,365.00",3.13,,,,,,
,,2021 - 2022,,,,"1,27,872.00","3,74,275.00",2.93,"4,005.00","12,450.00",3.11,,,,,,
,,2022 - 2023,,,,"93,643.00","3,39,003.00",3.62,862,"2,772.00",3.22,,,,,,
,26. West godavari,2013 - 2014,,,,"2,40,396.00","5,21,419.00",2.17,"1,80,223.00","8,20,916.00",4.56,,,,,,
,,2014 - 2015,,,,"2,31,475.00","7,33,313.00",3.17,"1,77,811.00","8,91,011.00",5.01,,,,,,
,,2015 - 2016,,,,"2,29,204.00","7,27,885.00",3.18,"1,74,598.00","8,30,621.00",4.76,,,,,,
,,2016 - 2017,,,,"2,30,785.00","8,20,044.00",3.55,"1,68,626.00","8,46,053.00",5.02,,,,,,
,,2017 - 2018,,,,"2,26,760.00","8,07,492.00",3.56,"1,66,463.00","8,86,415.00",5.32,,,,,,
,,2018 - 2019,,,,"2,26,925.00","8,57,555.00",3.78,"1,69,952.00","8,87,149.00",5.22,,,,,,
,,2019 - 2020,,,,"2,24,398.00","8,50,763.00",3.79,"1,69,775.00","9,15,879.00",5.39,,,,,,
,,2020 - 2021,,,,"2,23,249.00","5,72,064.00",2.56,"1,90,778.00","10,41,393.00",5.46,,,,,,
,,2021 - 2022,,,,"2,21,874.00","6,75,091.00",3.04,"2,00,077.00","10,60,408.00",5.3,,,,,,
,,2022 - 2023,,,,"84,891.00","2,83,083.00",3.33,"91,074.00","5,17,604.00",5.68,,,,,,
3. Arunachal Pradesh,1. Anjaw,2013 - 2014,,,,"3,561.00","2,624.00",0.74,,,,,,,,,
,,2014 - 2015,,,,"3,561.00","2,394.00",0.67,,,,,,,,,
,,2015 - 2016,,,,"3,655.00","2,507.00",0.69,,,,,,,,,
,,2016 - 2017,,,,"3,655.00","2,508.00",0.69,,,,,,,,,
,,2017 - 2018,,,,"3,703.00","3,774.66",1.02,,,,,,,,,
,,2018 - 2019,,,,"3,727.00","3,853.30",1.03,,,,,,,,,
,,2019 - 2020,,,,"3,741.00","4,069.00",1.09,,,,,,,,,
,,2020 - 2021,,,,"3,752.00","4,160.00",1.11,,,,,,,,,
,,2021 - 2022,,,,"3,802.00","4,245.33",1.12,,,,,,,,,
,,2022 - 2023,,,,"3,826.00","4,294.00",1.12,,,,,,,,,
,2. Changlang,2013 - 2014,,,,"9,681.00","19,750.00",2.04,,,,,,,,,
,,2014 - 2015,,,,"9,081.00","20,169.00",2.22,,,,,,,,,
,,2015 - 2016,,,,"9,175.00","19,987.00",2.18,,,,,,,,,
,,2016 - 2017,,,,"9,375.00","20,653.33",2.2,,,,,,,,,
,,2017 - 2018,,,,"9,423.00","20,814.00",2.21,,,,,,,,,
,,2018 - 2019,,,,"9,447.00","20,892.60",2.21,,,,,,,,,
,,2019 - 2020,,,,"9,461.00","21,108.00",2.23,,,,,,,,,
,,2020 - 2021,,,,"9,471.00","21,199.33",2.24,,,,,,,,,
,,2021 - 2022,,,,"9,671.00","21,598.67",2.23,,,,,,,,,
,,2022 - 2023,,,,"9,703.00","21,779.30",2.24,,,,,,,,,
,3. Dibang valley,2013 - 2014,,,,"1,690.00","1,486.00",0.88,,,,,,,,,
,,2014 - 2015,,,,"1,690.00","1,485.00",0.88,,,,,,,,,
,,2015 - 2016,,,,"1,690.00","1,487.00",0.88,,,,,,,,,
,,2016 - 2017,,,,"1,759.00","1,634.00",0.93,,,,,,,,,
,,2017 - 2018,,,,"1,807.00","1,834.00",1.01,,,,,,,,,
,,2018 - 2019,,,,"1,831.00","1,912.60",1.04,,,,,,,,,
,,2019 - 2020,,,,"1,845.00","2,128.00",1.15,,,,,,,,,
,,2020 - 2021,,,,"1,856.00","2,219.33",1.2,,,,,,,,,
,,2021 - 2022,,,,"1,896.00","2,262.66",1.19,,,,,,,,,
,,2022 - 2023,,,,"1,917.00","2,297.30",1.2,,,,,,,,,
,4. East kameng,2013 - 2014,,,,"8,968.00","9,087.00",1.01,,,,,,,,,
,,2014 - 2015,,,,"8,968.00","9,436.00",1.05,,,,,,,,,
