State,District,Year,gram_area,gram_production,gram_yield
Chhattisgarh,Narayanpur,2015-2016,44.0,39.0,0.89
Chhattisgarh,Narayanpur,2016-2017,26.0,29.0,1.12
Chhattisgarh,Narayanpur,2017-2018,80.0,59.0,0.74
Chhattisgarh,Narayanpur,2018-2019,31.0,32.0,1.03
Chhattisgarh,Narayanpur,2019-2020,48.0,19.0,0.4
Chhattisgarh,Narayanpur,2020-2021,47.0,30.0,0.64
Chhattisgarh,Narayanpur,2021-2022,27.0,17.0,0.63
Chhattisgarh,Narayanpur,2022-2023,47.0,31.0,0.66
Chhattisgarh,Raigarh,2013-2014,516.0,444.0,0.86
Chhattisgarh,Raigarh,2014-2015,569.0,758.0,1.33
Chhattisgarh,Raigarh,2015-2016,494.0,460.0,0.93
Chhattisgarh,Raigarh,2016-2017,493.0,621.0,1.26
Chhattisgarh,Raigarh,2017-2018,420.0,434.0,1.03
Chhattisgarh,Raigarh,2018-2019,353.0,377.0,1.07
Chhattisgarh,Raigarh,2019-2020,322.0,155.0,0.48
Chhattisgarh,Raigarh,2020-2021,235.0,193.0,0.82
Chhattisgarh,Raigarh,2021-2022,217.0,154.0,0.71
Chhattisgarh,Raigarh,2022-2023,216.0,166.0,0.77
Chhattisgarh,Raipur,2013-2014,4556.0,4546.0,1.0
Chhattisgarh,Raipur,2014-2015,6263.0,6731.0,1.07
Chhattisgarh,Raipur,2015-2016,4104.0,4008.0,0.98
Chhattisgarh,Raipur,2016-2017,4032.0,5965.0,1.48
Chhattisgarh,Raipur,2017-2018,4187.0,4981.0,1.19
Chhattisgarh,Raipur,2018-2019,2650.0,2892.0,1.09
Chhattisgarh,Raipur,2019-2020,2126.0,946.0,0.44
Chhattisgarh,Raipur,2020-2021,1250.0,916.0,0.73
Chhattisgarh,Raipur,2021-2022,822.0,694.0,0.84
Chhattisgarh,Raipur,2022-2023,630.0,578.0,0.92
Chhattisgarh,Rajnandgaon,2013-2014,56368.0,38215.0,0.68
Chhattisgarh,Rajnandgaon,2014-2015,57986.0,55683.0,0.96
Chhattisgarh,Rajnandgaon,2015-2016,58461.0,41548.0,0.71
Chhattisgarh,Rajnandgaon,2016-2017,68752.0,80602.0,1.17
Chhattisgarh,Rajnandgaon,2017-2018,79393.0,80198.0,1.01
Chhattisgarh,Rajnandgaon,2018-2019,79463.0,85926.0,1.08
Chhattisgarh,Rajnandgaon,2019-2020,127832.0,37117.0,0.29
Chhattisgarh,Rajnandgaon,2020-2021,95678.0,88651.0,0.93
Chhattisgarh,Rajnandgaon,2021-2022,103482.0,93394.0,0.9
Chhattisgarh,Rajnandgaon,2022-2023,34665.0,30111.0,0.87
Chhattisgarh,Sakti,2022-2023,23.0,17.0,0.74
Chhattisgarh,Sarangarh bilaigarh,2022-2023,13.0,9.0,0.69
Chhattisgarh,Sukma,2013-2014,1.0,1.0,1.0
Chhattisgarh,Sukma,2014-2015,1.0,0.0,0.0
Chhattisgarh,Sukma,2019-2020,14.0,5.0,0.36
Chhattisgarh,Sukma,2020-2021,10.0,7.0,0.7
Chhattisgarh,Sukma,2021-2022,5.0,5.0,1.0
Chhattisgarh,Sukma,2022-2023,5.0,5.0,1.0
Chhattisgarh,Surajpur,2013-2014,929.0,765.0,0.82
Chhattisgarh,Surajpur,2014-2015,940.0,860.0,0.91
Chhattisgarh,Surajpur,2015-2016,902.0,530.0,0.59
Chhattisgarh,Surajpur,2016-2017,905.0,940.0,1.04
Chhattisgarh,Surajpur,2017-2018,771.0,691.0,0.9
Chhattisgarh,Surajpur,2018-2019,665.0,589.0,0.89
